GEP,1,2,3,4,5,6,7,8,9
1,-0.33269740681208204,0.9864640873577746,0.8030904947913864,0.35897507718637583,0.6857122125134516,0.08380927041831075,0.7415850594589921,0.7390453845978312,0.7085692862639
2,1.0,-0.29938311627002184,-0.29242050261263614,-0.2383299577127462,-0.6323529411764707,-0.5220588235294118,-0.6225490196078433,-0.17156862745098042,-0.5245098039215687
3,-0.3001838787881928,0.7730426548579243,0.9972677595628415,0.245147940474829,0.7103489200634391,-0.13585908307224243,0.6663564550686176,0.833269042843087,0.7879826818190062
4,-0.22850191821943713,0.29886387663972014,0.1971560156199683,0.9975369458128076,0.19901779973950973,0.43489074757892865,0.1302215232863459,0.20884583923281888,0.09090936531310939
5,-0.625,0.6651566307087096,0.7155245041804769,0.20884583923281888,0.9975490196078433,0.34558823529411764,0.698529411764706,0.7647058823529413,0.8333333333333335
6,-0.5073529411764706,0.07014834523481683,-0.15397362748187476,0.4324337377056014,0.35294117647058826,0.9975490196078433,0.22058823529411767,0.04656862745098039,0.1985294117647059
7,-0.16911764705882354,0.7403155720317276,0.8500896912234599,0.23587294783941895,0.7500000000000001,0.019607843137254905,0.6299019607843138,0.9975490196078433,0.7377450980392158
8,-0.49754901960784315,0.6814410679953635,0.7284634644730713,0.08845235543978211,0.7794117647058825,0.21568627450980393,0.8529411764705884,0.7230392156862746,0.982843137254902
