GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,57,0.736,0.673,0.415,0.856,22429
2,25,0.746,0.781,0.47,0.995,950
5,6,0.917,0.917,0.898,0.936,131
6,32,0.658,0.69,0.443,0.988,1295
7,1,0.947,0.947,0.947,0.947,21
8,8,0.838,0.834,0.644,0.973,189
12,6,0.775,0.762,0.632,0.867,123
15,1,0.839,0.839,0.839,0.839,22
