GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,46,0.88,0.808,0.54,0.975,2016
2,54,0.811,0.727,0.45,0.896,9174
3,56,0.713,0.659,0.42,0.818,8826
4,8,0.673,0.672,0.512,0.829,443
5,53,0.758,0.739,0.472,0.906,4799
6,2,0.759,0.759,0.735,0.783,41
7,6,0.869,0.865,0.787,0.925,184
15,1,0.774,0.774,0.774,0.774,32
