GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,53,0.767,0.752,0.514,0.894,10045
2,51,0.913,0.892,0.689,0.966,8729
3,15,0.719,0.724,0.579,0.86,1497
4,10,0.831,0.801,0.55,0.918,239
5,28,0.885,0.859,0.642,0.971,972
6,11,0.743,0.731,0.57,0.882,876
7,9,0.605,0.614,0.517,0.706,355
8,7,0.708,0.679,0.553,0.804,470
9,5,0.698,0.694,0.602,0.765,167
10,7,0.807,0.809,0.693,0.885,167
11,5,0.773,0.772,0.672,0.879,281
12,11,0.671,0.671,0.462,0.837,364
13,11,0.798,0.797,0.673,0.939,329
14,2,0.728,0.728,0.652,0.805,54
15,2,0.808,0.808,0.784,0.832,109
16,7,0.897,0.9,0.813,0.965,192
18,1,0.778,0.778,0.778,0.778,24
