K,celltype,n_GEPs,n_samples,median_ROGUE,max_ROGUE,total_cells
22,cDC1_CLEC9A,1,6,0.8007686174947162,0.8920617254537169,156
22,cDC2_CD1C,2,15,0.7651087323325982,0.8800294314686513,586
22,cDC2_CD33,1,51,0.750280559932009,0.9385979616829409,5972
22,mregDC_LAMP3,2,11,0.8138431858433164,0.9387940677773948,439
23,DC_pDC,1,28,0.8847072509607565,0.9711358070118904,975
23,Mac_CXCL9,3,17,0.6902650603733463,0.8652742762857906,2050
23,Mac_IL1B,2,13,0.7521591326495233,0.9076462245388408,1165
23,Mac_SPP1,3,8,0.734747670836589,0.8370177281048019,555
23,Mast,1,7,0.896706147065347,0.9645159504406876,191
23,Mono_CD14_THBS1,1,48,0.9156661854826652,0.9705150364428436,8693
23,Mono_CD16,1,40,0.8916558103271268,0.9746345896598906,3621
23,Mono_TIL,1,5,0.7727277580964758,0.8491657955126272,259
23,cDC1_CLEC9A,1,6,0.8179856828531623,0.8963673395723015,153
23,cDC2_CD1C,2,14,0.7116530508055784,0.9283153459302264,506
23,cDC2_CD33,1,50,0.7449662944080752,0.9083842545432494,5966
23,mregDC_LAMP3,2,11,0.8138431858433164,0.9387940677773948,428
24,DC_pDC,1,28,0.881328872296579,0.966903494800651,934
24,Mac_CXCL9,1,23,0.6259780601213707,0.7697828898471508,3017
24,Mac_SPP1,2,5,0.8157767322532803,0.8732985575772014,223
24,Mast,1,7,0.8957384433307878,0.9645159504406876,195
24,Mono_CD16,1,59,0.7310271664692027,0.861322473132684,19968
24,Mono_TIL,1,7,0.7399734525126282,0.9090194294991316,402
24,cDC2_CD1C,1,9,0.6250171201819072,0.7579498839983327,326
24,mregDC_LAMP3,2,10,0.7764534741775528,0.9448736709405624,344
25,DC_pDC,3,58,0.7759821046123386,0.9803672919440772,13740
25,Mac_IL1B,1,16,0.7152469738155037,0.8714138244980959,1340
25,Mac_SPP1,3,5,0.7869043535206329,0.90517176556432,170
25,Mast,1,7,0.8957384433307878,0.9645159504406876,196
25,Mono_TIL,1,36,0.8052559176565635,0.978611494175654,2648
25,cDC2_CD1C,1,3,0.7461630370674845,0.7840461517421318,144
25,mregDC_LAMP3,2,55,0.827110673783918,0.9841460181339338,6830
26,DC_pDC,5,62,0.783334422568184,0.9724549643734882,24573
26,Mac_SPP1,2,4,0.7505665001808379,0.8356639515495763,83
26,Mast,1,6,0.8044268027541943,0.9149235681184008,198
26,Mono_CD14_ID1,1,5,0.609954972233749,0.8941767883122839,213
26,cDC2_CD1C,1,7,0.7856224237497855,0.8701624373254817,170
27,DC_pDC,3,58,0.6972482822198112,0.8970859739173562,17233
27,Mast,1,6,0.8430994862681961,0.9248409247287176,192
27,cDC1_CLEC9A,2,48,0.8746076232710478,0.9791439793522532,6427
27,cDC2_CD1C,3,21,0.7269140907117687,0.9856016223925144,971
28,DC_pDC,3,17,0.8739299245129974,0.974267153769814,678
28,Mast,1,5,0.8969874070322625,0.9133790323200316,148
28,Mono_CD16,1,62,0.7333627068803193,0.859371379109354,24311
28,mregDC_LAMP3,1,13,0.7067945487119761,0.89497583643401,429
29,DC_pDC,4,32,0.838188209906084,1.0,1513
29,Mac_SPP1,1,3,0.84742183888785,0.8496625873407282,55
29,Mast,1,6,0.8935512497899396,0.9248409247287176,183
29,cDC1_CLEC9A,1,58,0.7381068994389813,0.8626911127201644,14322
29,cDC2_CD1C,1,17,0.8495961401750458,1.0,509
29,mregDC_LAMP3,2,54,0.8210199456051275,0.9615278003537708,8020
30,DC_pDC,4,59,0.7263395512050044,0.987767551868399,23935
30,Mast,2,6,0.9250802893747826,0.9467194730572956,152
30,Mono_CD14_THBS1,1,6,0.7751588153543809,0.8668167530782275,123
30,cDC2_CD1C,1,25,0.7459190899440633,0.9953576229704066,950
31,DC_pDC,3,55,0.7897862693821871,0.9059171745633804,14005
31,Mac_SPP1,2,9,0.709066677094861,0.8293098040948819,484
31,Mast,1,6,0.8689335193626438,0.9248409247287176,184
31,cDC2_CD1C,2,56,0.7377800041662804,0.974827405743056,10842
32,DC_pDC,3,63,0.7169576082709403,0.8914557235636549,25726
32,Mac_SPP1,1,2,0.763200820925954,0.7679493788714514,43
32,Mast,2,4,0.9175846084874588,0.9368797269194478,108
33,DC_pDC,2,61,0.7392916385130681,0.918243702539117,22422
33,Mac_SPP1,3,3,0.8855736776211801,0.8948161962034986,67
33,Mast,1,5,0.8902110855991464,0.9324252169732,145
33,cDC2_CD1C,2,49,0.8580379406498815,0.9770522252002726,2772
33,mregDC_LAMP3,1,2,0.8432914268969244,0.8937541695030211,35
34,DC_pDC,4,60,0.7810227656779971,1.0,20880
34,Mac_IL1B,1,16,0.6595029284270131,0.8586968304786233,1616
34,Mac_SPP1,3,7,0.7423016957426183,0.8542774094136383,319
34,Mast,2,4,0.9143310763997606,0.9299903892274212,118
34,cDC2_CD1C,1,47,0.8969805036625409,0.9728657828476662,2321
35,DC_pDC,2,59,0.7164888279460823,0.8553794897091462,16347
35,Mac_IL1B,3,11,0.7442740176093683,0.837759687824669,1285
35,Mac_SPP1,4,5,0.6940669527815958,0.903715393865519,302
35,Mast,2,5,0.9129697306771118,0.9244171927840564,136
35,cDC2_CD1C,5,53,0.8764272641601619,0.988729844795323,6720
