K,celltype,n_GEPs,n_samples,median_ROGUE,max_ROGUE,total_cells
3,DC_pDC,1,30,0.8444896083296084,0.9734765783553796,1048
3,Mac_CXCL9,1,27,0.5101715981242251,0.8405975632208184,6412
3,Mono_CD14_ID1,1,56,0.7540393972167054,0.8547981703310085,18670
4,DC_pDC,1,29,0.8799495661933338,0.9734765783553796,1016
4,Mac_CXCL9,1,28,0.526683122108501,0.7786185846781718,5302
4,Mac_IL1B,1,13,0.7080783228409984,0.8695267711307134,1077
4,Mono_CD14_ID1,1,56,0.7628770442021426,0.8744697339766898,18689
5,DC_pDC,1,29,0.8799495661933338,0.9734765783553796,1018
5,Mac_CXCL9,1,28,0.5283343148235355,0.7994460426114505,4935
5,Mac_IL1B,1,13,0.7080783228409984,0.8695267711307134,1084
5,Mast,1,7,0.8957384433307878,0.9645159504406876,195
5,Mono_CD14_ID1,1,56,0.7628770442021426,0.859371379109354,18739
6,DC_pDC,1,28,0.8926228238086631,0.9734765783553796,948
6,Mac_CXCL9,1,19,0.6601938726997186,0.8903200865844496,2313
6,Mac_IL1B,1,13,0.6962987398909993,0.8798068446087677,1139
6,Mast,1,7,0.896706147065347,0.9645159504406876,193
6,Mono_CD14_ID1,1,55,0.7614304172376538,0.8634775896965428,18765
6,cDC2_CD1C,1,26,0.5295274003279797,0.8089707411276875,2447
7,DC_pDC,1,28,0.8847072509607565,0.9734765783553796,961
7,Mac_CXCL9,1,19,0.6602911579189352,0.8599609417239843,2296
7,Mac_IL1B,1,13,0.6989260798547166,0.827975048918522,1177
7,Mast,1,7,0.896706147065347,0.9645159504406876,192
7,Mono_CD14_ID1,1,55,0.7756679181467486,0.8634775896965428,18525
7,cDC2_CD1C,1,30,0.6387311281398376,0.92603581232219,1465
7,mregDC_LAMP3,1,17,0.5792130413546692,0.8018338668840274,1049
8,DC_pDC,1,29,0.8786148019607563,0.9734765783553796,980
8,Mac_CXCL9,1,13,0.6839185729801707,0.8418473597275447,1559
8,Mac_IL1B,1,13,0.6989260798547166,0.8703418446556379,1184
8,Mac_SPP1,1,8,0.6296790300090571,0.7471504184860034,660
8,Mast,1,7,0.896706147065347,0.9645159504406876,192
8,Mono_CD14_ID1,1,55,0.7741056170714717,0.8634775896965428,18563
8,cDC2_CD1C,1,30,0.6355306646947592,0.92603581232219,1444
8,mregDC_LAMP3,1,17,0.5763456282220883,0.7905537425806832,978
9,DC_pDC,1,29,0.8786148019607563,0.9734765783553796,979
9,Mac_CXCL9,1,13,0.69261516197758,0.903987152272331,1455
9,Mac_IL1B,1,13,0.6921334993189445,0.8703418446556379,1202
9,Mac_SPP1,1,8,0.6294559867622534,0.7495692507447501,657
9,Mast,1,7,0.896706147065347,0.9645159504406876,192
9,Mono_CD14_ID1,1,55,0.7765576201309096,0.8634775896965428,18437
9,cDC2_CD1C,2,30,0.6198346957906995,0.9216507115362133,2197
9,mregDC_LAMP3,1,11,0.8130185819947704,0.9387940677773948,329
10,DC_pDC,1,28,0.8690439585883747,0.966903494800651,968
10,Mac_CXCL9,1,15,0.6944571416112422,0.903987152272331,1556
10,Mac_IL1B,1,13,0.6910479044388534,0.8666781220991706,1223
10,Mac_SPP1,1,8,0.6320152860769069,0.7832489585092886,690
10,Mast,1,7,0.896706147065347,0.9645159504406876,192
10,Mono_CD14_ID1,1,53,0.8549815650298374,0.9341671401865368,12669
10,Mono_CD16,1,46,0.8358699586685925,0.970019354654508,5361
10,cDC2_CD1C,2,33,0.6368783598353249,0.912372456203579,2329
10,mregDC_LAMP3,1,11,0.8130185819947704,0.9387940677773948,329
11,DC_pDC,1,28,0.873131444740196,0.974267153769814,963
11,Mac_CXCL9,1,12,0.6941992825916597,0.8508716447506929,1314
11,Mac_IL1B,1,12,0.7212678487165697,0.8513879472677537,1013
11,Mac_SPP1,1,8,0.6266879687569902,0.7495692507447501,667
11,Mast,1,7,0.896706147065347,0.9645159504406876,191
11,Mono_CD14_ID1,1,55,0.7635396585953751,0.8634775896965428,18705
11,Mono_TIL,1,4,0.7915222199051566,0.9205973725717932,230
11,cDC2_CD1C,2,28,0.6131286054995788,0.9406784831956986,2021
11,mregDC_LAMP3,1,11,0.8137664962628042,0.9404151195681256,329
12,DC_pDC,1,28,0.8690439585883747,0.966903494800651,969
12,Mac_CXCL9,1,14,0.7114749665652028,0.8974406933509346,1434
12,Mac_IL1B,1,12,0.7228150466848141,0.8480997273366273,1043
12,Mac_SPP1,1,8,0.6279560098277746,0.7555901881173561,699
12,Mast,1,7,0.896706147065347,0.9645159504406876,191
12,Mono_CD14_ID1,1,53,0.85760825576188,0.932465752523302,12592
12,Mono_CD16,1,45,0.829850638060574,0.9901871448653774,5435
12,Mono_TIL,1,4,0.784559623397,0.8963671046692533,240
12,cDC2_CD1C,2,32,0.6414217119782386,0.912372456203579,2306
12,mregDC_LAMP3,1,11,0.8137664962628042,0.9404151195681256,328
13,DC_pDC,1,28,0.8690439585883747,0.966903494800651,968
13,Mac_CXCL9,1,12,0.700025249366445,0.8157820284913924,1415
13,Mac_IL1B,1,11,0.7370185080538348,0.8860367848291117,878
13,Mac_SPP1,1,8,0.6328168362247535,0.7555901881173561,703
13,Mast,1,7,0.896706147065347,0.9645159504406876,191
13,Mono_CD14_ID1,1,53,0.8532803234763153,0.9320368011460765,12660
13,Mono_CD16,1,46,0.8360829703062599,0.9617262726709972,5417
13,Mono_TIL,1,4,0.8042386527813785,0.867902581891292,242
13,cDC2_CD1C,2,32,0.6336964550739848,0.912372456203579,2412
13,mregDC_LAMP3,1,11,0.8137664962628042,0.9404151195681256,328
14,DC_pDC,1,27,0.8786148019607563,0.966903494800651,957
14,Mac_CXCL9,1,14,0.7139736603550677,0.9022805850596458,1449
14,Mac_IL1B,1,11,0.774115476948043,0.8918973117146426,792
14,Mac_SPP1,1,8,0.6329754279226066,0.7520860216988434,714
14,Mast,1,7,0.896706147065347,0.9645159504406876,193
14,Mono_CD14_ID1,1,53,0.8573067865190974,0.9321840936808908,12475
14,Mono_CD16,1,48,0.8347588672776578,0.9594431557691184,5542
14,Mono_TIL,1,5,0.7828750640213685,0.8554733602147353,261
14,cDC2_CD1C,3,31,0.6745701467755882,0.9185179704055562,2404
14,mregDC_LAMP3,1,11,0.8138431858433164,0.9387940677773948,328
15,DC_pDC,2,29,0.8847745999133987,0.966903494800651,976
15,Mac_CXCL9,2,20,0.6605661567288166,0.8604701382149982,2308
15,Mac_IL1B,2,11,0.7760906040198101,0.8931405366989471,920
15,Mast,1,7,0.8957384433307878,0.9645159504406876,194
15,Mono_CD14_ID1,1,56,0.7439186082816336,0.8992868877015827,15238
15,Mono_CD16,1,51,0.8122740829830937,0.8917879447685133,5007
15,Mono_TIL,1,5,0.7567005757391059,0.8874464668875177,300
15,mregDC_LAMP3,2,12,0.741439682362775,0.9246800709084148,421
16,DC_pDC,3,25,0.8503184874558469,0.975098697839045,928
16,Mac_CXCL9,1,62,0.7307342438015685,0.8547981703310085,24715
16,Mast,1,6,0.9216344836609838,0.9362991937472388,132
17,DC_pDC,1,30,0.8459299608438626,0.9631144655292482,1057
17,Mac_CXCL9,1,62,0.7307342438015685,0.8558132198267003,24015
17,Mast,1,7,0.9130594085324027,0.9645159504406876,165
17,Mono_TIL,1,8,0.7082222670943212,0.7920903612672887,570
17,mregDC_LAMP3,1,1,0.8020408036730251,0.8020408036730251,17
18,DC_pDC,2,25,0.8361062389824938,0.9631144655292482,902
18,Mac_CXCL9,2,62,0.7272342752579188,0.8949668127140473,24685
18,Mast,1,6,0.9154565083497136,0.9385880021530776,130
19,DC_pDC,1,53,0.7673861272216155,0.9147588225382652,2113
19,Mac_CXCL9,2,56,0.7743519519504292,0.8923842386861558,14265
19,Mac_IL1B,1,16,0.709983629062524,0.9093838404830428,1450
19,Mac_SPP1,1,47,0.7990099839978244,0.8957545312153387,6204
19,Mast,1,6,0.8975431794936176,0.93506545782884,172
19,Mono_TIL,1,11,0.8515407739026375,0.9536726307875572,554
19,cDC2_CD1C,1,2,0.7990869064108431,0.8239677409630961,97
19,mregDC_LAMP3,2,13,0.7177363994237241,0.9211332385853224,465
20,DC_pDC,1,25,0.8654197361365821,0.966903494800651,891
20,Mac_CXCL9,1,17,0.719887265849482,0.8828534029723173,1651
20,Mac_IL1B,1,12,0.7322500052347223,0.8406226687940626,964
20,Mac_IL1Bint,1,2,0.7865595049121172,0.7867633642290313,112
20,Mac_SPP1,1,7,0.599727538138791,0.7977477200211875,537
20,Mast,1,7,0.896706147065347,0.9645159504406876,192
20,Mono_CD14_THBS1,1,52,0.9102663050187856,0.9668075655512128,8919
20,Mono_CD16,1,39,0.887026374337416,0.9746345896598906,3635
20,Mono_TIL,1,5,0.7596884217021701,0.8699487529037877,279
20,cDC1_CLEC9A,1,12,0.6792960655494573,0.8303755566536806,391
20,cDC2_CD1C,1,12,0.5830220486427616,0.6945416467714971,528
20,cDC2_CD33,1,53,0.729010536774991,0.8583325083454736,6673
20,mregDC_LAMP3,1,12,0.7926470634438938,0.9325688668000236,371
21,DC_pDC,1,28,0.8847072509607565,0.9711358070118904,972
21,Mac_CXCL9,2,17,0.7087434674437758,0.8598686527793313,1664
21,Mac_IL1B,1,11,0.7425763665386967,0.8819645718664292,876
21,Mac_SPP1,3,8,0.7140640758933996,0.804638819580507,548
21,Mast,1,7,0.896706147065347,0.9645159504406876,192
21,Mono_CD14_THBS1,1,51,0.9125326036966254,0.9662521655822836,8729
21,Mono_TIL,1,5,0.7727277580964758,0.8791807415005747,281
21,cDC1_CLEC9A,1,7,0.8072114610167751,0.8854792131299454,167
21,cDC2_CD1C,3,18,0.6933578125139572,0.91841970041718,958
21,cDC2_CD33,1,53,0.7669007972290369,0.8939016212170658,10045
21,mregDC_LAMP3,2,11,0.7979461276622118,0.9387940677773948,438
22,DC_pDC,1,28,0.8817591773266048,0.9711358070118904,978
22,Mac_CXCL9,3,17,0.6902650603733463,0.8652742762857906,2050
22,Mac_IL1B,1,11,0.7413555039733646,0.879935313601275,888
22,Mac_SPP1,3,8,0.6937922422440315,0.8088277420921058,590
22,Mast,1,7,0.896706147065347,0.9645159504406876,192
22,Mono_CD14_THBS1,1,51,0.912153625846612,0.9712569840445462,8916
22,Mono_CD16,1,38,0.8875247198856264,0.9530940547137686,3628
22,Mono_TIL,1,5,0.7727277580964758,0.881880794274281,282
