GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,56,0.744,0.732,0.491,0.899,15238
2,51,0.812,0.761,0.52,0.892,5007
3,20,0.703,0.699,0.529,0.86,1494
4,29,0.88,0.842,0.66,0.967,961
5,11,0.765,0.745,0.549,0.883,652
6,5,0.757,0.761,0.643,0.887,300
7,10,0.627,0.632,0.464,0.846,814
8,8,0.791,0.801,0.681,0.925,213
9,7,0.659,0.663,0.535,0.78,208
10,7,0.896,0.894,0.783,0.965,194
11,7,0.784,0.788,0.678,0.893,268
12,1,0.92,0.92,0.92,0.92,15
