GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,52,0.91,0.888,0.696,0.967,8919
2,53,0.729,0.716,0.489,0.858,6673
3,39,0.887,0.893,0.83,0.975,3635
4,17,0.72,0.72,0.574,0.883,1651
5,12,0.732,0.718,0.529,0.841,964
6,12,0.583,0.602,0.5,0.695,528
7,12,0.679,0.673,0.51,0.83,391
8,25,0.865,0.851,0.619,0.967,891
9,7,0.6,0.642,0.531,0.798,537
10,5,0.76,0.767,0.673,0.87,279
11,12,0.793,0.772,0.586,0.933,371
12,2,0.787,0.787,0.786,0.787,112
13,7,0.897,0.898,0.81,0.965,192
