GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,59,0.73,0.674,0.427,0.85,15617
2,47,0.897,0.826,0.535,0.973,2321
3,16,0.66,0.67,0.508,0.859,1616
4,6,0.715,0.713,0.564,0.854,274
5,51,0.781,0.738,0.433,0.995,3338
6,2,0.896,0.896,0.884,0.908,44
9,42,0.882,0.861,0.584,0.975,1717
10,1,0.738,0.738,0.738,0.738,22
11,1,0.802,0.802,0.802,0.802,23
15,9,0.964,0.961,0.866,1.0,208
18,3,0.924,0.923,0.914,0.93,74
