GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,49,0.87,0.798,0.458,0.959,2616
2,61,0.729,0.664,0.408,0.854,12580
3,56,0.778,0.72,0.419,0.918,9842
6,1,0.883,0.883,0.883,0.883,15
7,2,0.794,0.794,0.699,0.888,37
10,5,0.89,0.867,0.783,0.932,145
12,6,0.733,0.747,0.594,0.977,156
15,2,0.843,0.843,0.793,0.894,35
19,1,0.895,0.895,0.895,0.895,15
