sample,cluster,ROGUE,n_cells,K
GSM4138134,1,0.9274804990459082,822,10
GSM4138116,1,0.8974721576477416,680,10
GSM4138126,1,0.8851798119776572,676,10
GSM4138156,1,0.8370655998717346,649,10
GSM4138120,1,0.8216418295600657,512,10
GSM4138142,1,0.8807924244464486,489,10
GSM4138110,1,0.894963409309012,463,10
GSM4138140,1,0.911588607439212,460,10
GSM4138132,1,0.9211143184322709,416,10
GSM4138160,1,0.8659575317012249,414,10
GSM4138123,4,0.5854936897847711,396,10
GSM4138136,1,0.8534242080672035,390,10
GSM4138134,2,0.8217027247661881,389,10
GSM4138138,1,0.9219749618222841,377,10
GSM4138163,1,0.9114062067757484,347,10
GSM4138125,8,0.5445688079886515,337,10
GSM4138162,1,0.9003756722467257,324,10
GSM4138128,2,0.8302389882974147,319,10
GSM4138122,2,0.8302389882974147,319,10
GSM4138135,4,0.6464482655675158,307,10
GSM4138152,1,0.8672036789903625,303,10
GSM4138130,1,0.8272784413791774,302,10
GSM4138146,2,0.8436161592827947,291,10
GSM4138154,1,0.8303907842898942,289,10
GSM4138130,2,0.8662991642095069,280,10
GSM4138118,1,0.8510704760373897,269,10
GSM4138165,1,0.8887903564517995,268,10
GSM4138156,2,0.8308704937876352,259,10
GSM4138166,1,0.867806121139471,252,10
GSM4138135,5,0.6494133557699648,245,10
GSM4138136,2,0.8714612302058478,240,10
GSM4138114,1,0.8436225113517846,234,10
GSM4138124,1,0.9341671401865368,229,10
GSM4138140,2,0.837704273859502,229,10
GSM4138137,4,0.6910722399546838,228,10
GSM4138158,1,0.8392902682527714,220,10
GSM4138132,2,0.7988285821316071,220,10
GSM4138128,1,0.8238438241800183,216,10
GSM4138122,1,0.8238438241800183,216,10
GSM4138167,1,0.8838062712523183,215,10
GSM4138141,1,0.8648022789099906,207,10
GSM4138166,2,0.8250256471975788,200,10
GSM4138138,2,0.9030806901443756,194,10
GSM4138142,2,0.8604334398240948,192,10
GSM4138145,1,0.7505110976684679,186,10
GSM4138112,1,0.8467326164027954,185,10
GSM4138145,3,0.5625771055262698,184,10
GSM4138155,3,0.4590359012205846,175,10
GSM4138131,4,0.6944571416112422,169,10
GSM4138137,5,0.6673404911509001,167,10
GSM4138112,2,0.8245416228908382,164,10
GSM4138144,1,0.7820205097917673,162,10
GSM4138165,2,0.8158599425950106,161,10
GSM4138146,1,0.8581658756498477,159,10
GSM4138110,2,0.855549616052986,157,10
GSM4138155,1,0.7019814370597706,154,10
GSM4138139,5,0.7146256770373178,147,10
GSM4138162,2,0.81928893206119,139,10
GSM4138155,5,0.555922911163869,138,10
GSM4138152,2,0.8382553614500858,138,10
GSM4138150,1,0.8843021801739623,127,10
GSM4138117,1,0.6713437915908126,124,10
GSM4138127,1,0.8160568069655706,116,10
GSM4138127,5,0.6910479044388534,116,10
GSM4138127,6,0.5872347048690738,115,10
GSM4138131,5,0.6556307221956075,115,10
GSM4138167,2,0.7726703684233132,112,10
GSM4138131,7,0.7730599609830913,110,10
GSM4138144,2,0.8299286508086752,110,10
GSM4138148,1,0.8757914314975148,109,10
GSM4138124,2,0.8340356434776831,108,10
GSM4138161,7,0.7079394742406384,107,10
GSM4138139,1,0.7951118780979187,107,10
GSM4138135,1,0.8321393258866904,105,10
GSM4138143,3,0.5587035009189145,102,10
GSM4138137,1,0.7673818415655027,102,10
GSM4138114,2,0.8038320486940855,102,10
GSM4138161,3,0.4898222735263533,101,10
GSM4138141,3,0.5565610942007537,99,10
GSM4138161,1,0.7590227581464846,97,10
GSM4138139,4,0.6725927189978534,97,10
GSM4138121,5,0.5706419327856209,93,10
GSM4138164,1,0.866389256202589,91,10
GSM4138125,1,0.8646863781972458,86,10
GSM4138111,6,0.5066198934044311,86,10
GSM4138123,6,0.5197614328310981,83,10
GSM4138137,8,0.6517555950890113,81,10
GSM4138126,2,0.8521298143257937,81,10
GSM4138131,6,0.5644757091780848,80,10
GSM4138115,3,0.5963212699595075,80,10
GSM4138143,1,0.7639937077054778,80,10
GSM4138133,3,0.6368783598353249,76,10
GSM4138139,8,0.5831796175203872,74,10
GSM4138120,2,0.7925960342887541,74,10
GSM4138141,7,0.7865564529341352,73,10
GSM4138133,4,0.5916089289192903,71,10
GSM4138155,8,0.5152741752727696,71,10
GSM4138129,1,0.8653000546420088,70,10
GSM4138131,2,0.7735452706302508,68,10
GSM4138141,2,0.8050237790932916,67,10
GSM4138160,2,0.8436638307142774,65,10
GSM4138111,3,0.5453491548112677,65,10
GSM4138117,4,0.6677689192026653,64,10
GSM4138131,9,0.7051480466620346,64,10
GSM4138111,7,0.7811993669268263,64,10
GSM4138163,2,0.8093920853641339,63,10
GSM4138131,1,0.8537079481698793,63,10
GSM4138117,6,0.584449632132797,63,10
GSM4138141,4,0.6931305724405178,62,10
GSM4138150,2,0.8436017851379625,61,10
GSM4138133,6,0.5935687733238715,60,10
GSM4138131,3,0.6482261947687049,60,10
GSM4138139,10,0.896706147065347,59,10
GSM4138137,6,0.6000965814328569,57,10
GSM4138113,1,0.8010548367001802,56,10
GSM4138164,2,0.5500175368699824,55,10
GSM4138141,9,0.7140292092207772,53,10
GSM4138157,3,0.5864389474030423,53,10
GSM4138111,1,0.7580340711065936,53,10
GSM4138154,2,0.8230428166405847,52,10
GSM4138148,2,0.7951577444465466,52,10
GSM4138161,5,0.632951362781984,51,10
GSM4138139,3,0.6655777594670025,51,10
GSM4138155,7,0.6514808636504937,51,10
GSM4138123,7,0.7877474391376307,48,10
GSM4138111,2,0.8150624804612598,46,10
GSM4138159,3,0.5814163142310425,46,10
GSM4138143,7,0.805194388027331,46,10
GSM4138145,7,0.8078364970285496,45,10
GSM4138143,2,0.7830253357957624,44,10
GSM4138158,2,0.8787182932517523,43,10
GSM4138119,1,0.7561982987249958,42,10
GSM4138129,8,0.7332141962208458,42,10
GSM4138123,5,0.6945864954919967,42,10
GSM4138123,3,0.4907864382516324,42,10
GSM4138143,9,0.7276346103369173,42,10
GSM4138161,6,0.5353496176980597,40,10
GSM4138121,1,0.7251058847699827,40,10
GSM4138135,3,0.6755120750129597,39,10
