GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,48,0.916,0.9,0.698,0.971,8693
2,50,0.745,0.745,0.506,0.908,5966
3,40,0.892,0.896,0.836,0.975,3621
4,15,0.719,0.725,0.578,0.865,1519
5,5,0.839,0.809,0.56,0.928,124
6,28,0.885,0.858,0.642,0.971,975
7,13,0.752,0.753,0.589,0.887,901
8,9,0.615,0.614,0.52,0.692,359
9,3,0.658,0.693,0.65,0.771,74
10,6,0.818,0.818,0.698,0.896,153
11,7,0.735,0.689,0.551,0.837,457
12,5,0.698,0.69,0.595,0.755,172
13,11,0.66,0.67,0.471,0.812,382
14,5,0.773,0.771,0.675,0.849,259
15,11,0.814,0.801,0.674,0.939,327
16,6,0.776,0.782,0.666,0.908,264
17,7,0.897,0.898,0.813,0.965,191
18,2,0.816,0.816,0.795,0.836,101
19,1,0.778,0.778,0.778,0.778,24
