GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,62,0.731,0.666,0.413,0.856,24015
2,30,0.846,0.815,0.569,0.963,1057
3,8,0.708,0.719,0.614,0.792,570
4,7,0.913,0.915,0.868,0.965,165
9,1,0.802,0.802,0.802,0.802,17
