sample,cluster,ROGUE,n_cells,K
GSM4138134,1,0.8023846860604645,1208,17
GSM4138156,1,0.7742030103476152,910,17
GSM4138135,1,0.5265598414178333,791,17
GSM4138126,1,0.8174480131605322,754,17
GSM4138116,1,0.8558132198267003,703,17
GSM4138140,1,0.7626945597490934,700,17
GSM4138142,1,0.7863999353739495,686,17
GSM4138137,1,0.5793430253409975,676,17
GSM4138136,1,0.7676106798588338,638,17
GSM4138132,1,0.7879289035486643,634,17
GSM4138110,1,0.7652860052322608,625,17
GSM4138155,1,0.41272281147932033,607,17
GSM4138120,1,0.759780686197728,606,17
GSM4138123,1,0.5015958319712472,594,17
GSM4138130,1,0.749641935670729,574,17
GSM4138138,1,0.7422122284482242,574,17
GSM4138128,1,0.7495983767561126,543,17
GSM4138122,1,0.7495983767561126,543,17
GSM4138125,1,0.5163327969267861,507,17
GSM4138141,1,0.5159950622157697,488,17
GSM4138160,1,0.78261100758408,483,17
GSM4138162,1,0.7499281913659089,482,17
GSM4138139,1,0.5334233867803371,469,17
GSM4138145,1,0.5381051786730129,464,17
GSM4138166,1,0.7540715281055831,462,17
GSM4138152,1,0.7563468517931311,458,17
GSM4138146,1,0.7753774902726611,453,17
GSM4138165,1,0.8149511363958785,434,17
GSM4138163,1,0.8044008818232878,423,17
GSM4138131,1,0.5453010607671197,379,17
GSM4138154,1,0.7310271664692027,358,17
GSM4138112,1,0.7594315048317456,353,17
GSM4138114,1,0.7129034573090447,349,17
GSM4138127,1,0.5716181314149393,342,17
GSM4138167,1,0.7383545237343163,339,17
GSM4138124,1,0.8289241415502039,332,17
GSM4138143,1,0.49552106013019215,309,17
GSM4138117,1,0.524814367114266,299,17
GSM4138144,1,0.7220693030949885,296,17
GSM4138118,1,0.7942369415442538,291,17
GSM4138133,1,0.5029867673651385,285,17
GSM4138161,1,0.4615114552710241,283,17
GSM4138158,1,0.726214534667682,277,17
GSM4138111,1,0.4777730838670917,273,17
GSM4138131,3,0.6141544808334181,239,17
GSM4138129,1,0.5826016964972891,230,17
GSM4138150,1,0.7954643602335368,190,17
GSM4138148,1,0.7323107212404429,176,17
GSM4138121,1,0.43762063013345964,165,17
GSM4138164,1,0.6653536666806261,154,17
GSM4138157,1,0.535055265791058,137,17
GSM4138115,1,0.5312621223594611,136,17
GSM4138113,1,0.5514601154011549,130,17
GSM4138159,1,0.4958341261123804,129,17
GSM4138161,2,0.6064812023325767,107,17
GSM4138119,1,0.4385087002670113,106,17
GSM4138131,2,0.7322957803145316,102,17
GSM4138139,3,0.7187772591869419,94,17
GSM4138127,3,0.6970093975962484,85,17
GSM4138141,2,0.6297530501241841,79,17
GSM4138111,2,0.6931224488758445,75,17
GSM4138145,2,0.6307309792075431,59,17
GSM4138123,2,0.6846592424396782,55,17
GSM4138153,1,0.5539129205961694,52,17
GSM4138143,2,0.7162008844260135,49,17
GSM4138139,4,0.90090300545462,49,17
GSM4138141,3,0.6976672750017006,46,17
GSM4138155,2,0.5694971414304794,45,17
GSM4138113,2,0.6822758821364325,39,17
GSM4138161,3,0.6728514680536464,33,17
GSM4138147,2,0.7755449615425429,32,17
GSM4138172,1,0.6304949159132032,29,17
GSM4138137,3,0.7920903612672887,29,17
GSM4138129,2,0.788363115995484,27,17
GSM4138112,2,0.894319147432829,27,17
GSM4138135,3,0.7769827212944611,26,17
GSM4138143,4,0.8958783511945286,26,17
GSM4138139,2,0.8063226423515438,25,17
GSM4138127,2,0.8318425930965778,25,17
GSM4138149,1,0.7038030067125431,24,17
GSM4138171,1,0.7322764795042169,24,17
GSM4138111,4,0.8678325227956812,24,17
GSM4138160,2,0.9330947094262356,23,17
GSM4138110,2,0.865345997294353,23,17
GSM4138147,1,0.5914771090390247,23,17
GSM4138170,1,0.7304413211339343,22,17
GSM4138130,2,0.9435974668554632,22,17
GSM4138133,2,0.9302309656056432,22,17
GSM4138128,2,0.9008315371932628,21,17
GSM4138122,2,0.9008315371932628,21,17
GSM4138115,2,0.7816480786786961,21,17
GSM4138156,2,0.9368591999401551,19,17
GSM4138151,2,0.8600173285911475,18,17
GSM4138151,1,0.7916083378288092,18,17
GSM4138135,4,0.9130594085324029,18,17
GSM4138121,3,0.7812333847268527,18,17
GSM4138135,2,0.8775455865264781,18,17
GSM4138134,2,0.953707767651091,18,17
GSM4138157,2,0.8834419066150515,18,17
GSM4138162,2,0.9574926125379545,18,17
GSM4138155,9,0.8020408036730251,17,17
GSM4138152,2,0.9074854344026949,17,17
GSM4138163,2,0.9631144655292482,17,17
GSM4138131,4,0.9369091446471272,17,17
GSM4138155,4,0.9276538720992449,16,17
GSM4138169,1,0.7841889469790512,16,17
GSM4138117,2,0.8189792468364641,15,17
GSM4138117,4,0.9645159504406875,15,17
