GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,58,0.738,0.692,0.447,0.863,14322
2,53,0.821,0.754,0.434,0.962,4475
3,49,0.823,0.749,0.428,0.958,3545
6,3,0.847,0.81,0.732,0.85,55
8,22,0.918,0.834,0.494,1.0,798
9,6,0.894,0.876,0.783,0.925,183
10,14,0.864,0.833,0.545,0.988,373
11,17,0.85,0.827,0.566,1.0,509
12,9,0.797,0.813,0.754,0.89,303
13,2,0.796,0.796,0.761,0.83,39
