GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,62,0.733,0.674,0.42,0.859,24311
2,13,0.707,0.739,0.599,0.895,429
3,2,0.909,0.909,0.887,0.93,41
4,10,0.751,0.763,0.59,0.948,351
9,12,0.884,0.897,0.855,0.974,286
10,5,0.897,0.886,0.837,0.913,148
