GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,56,0.763,0.761,0.64,0.874,18689
2,28,0.527,0.541,0.398,0.779,5302
3,29,0.88,0.842,0.642,0.973,1016
4,13,0.708,0.725,0.546,0.87,1077
