GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,61,0.735,0.664,0.416,0.852,10974
2,52,0.848,0.833,0.671,0.932,7524
4,54,0.791,0.754,0.474,0.972,5966
5,6,0.804,0.824,0.755,0.915,198
6,1,0.836,0.836,0.836,0.836,17
7,3,0.702,0.723,0.668,0.799,66
14,2,0.904,0.904,0.835,0.972,39
16,5,0.61,0.649,0.544,0.894,213
18,7,0.786,0.76,0.5,0.87,170
20,4,0.77,0.759,0.699,0.798,70
