GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,63,0.711,0.648,0.403,0.855,25688
6,2,0.763,0.763,0.758,0.768,43
8,4,0.914,0.912,0.897,0.923,91
16,1,0.758,0.758,0.758,0.758,21
18,1,0.891,0.891,0.891,0.891,17
19,1,0.937,0.937,0.937,0.937,17
