GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,59,0.731,0.704,0.487,0.861,19968
2,23,0.626,0.616,0.422,0.77,3017
3,9,0.625,0.647,0.547,0.758,326
4,28,0.881,0.876,0.718,0.967,934
5,7,0.74,0.754,0.648,0.909,402
6,5,0.799,0.796,0.722,0.873,203
7,8,0.793,0.817,0.729,0.945,217
8,5,0.768,0.714,0.53,0.778,127
10,7,0.896,0.891,0.786,0.965,195
16,1,0.833,0.833,0.833,0.833,20
