sample,cluster,ROGUE,n_cells,K,celltype,top_NES
GSM4138134,1,0.8009349220054187,1213,3,Mono_CD14_ID1,2.2976299708461276
GSM4138156,1,0.7716346361590625,921,3,Mono_CD14_ID1,2.2976299708461276
GSM4138126,1,0.8173354905137313,758,3,Mono_CD14_ID1,2.2976299708461276
GSM4138135,2,0.5093909619386401,757,3,Mac_CXCL9,1.3058427979691687
GSM4138116,1,0.8547981703310085,704,3,Mono_CD14_ID1,2.2976299708461276
GSM4138140,1,0.760678409772273,702,3,Mono_CD14_ID1,2.2976299708461276
GSM4138142,1,0.7867247532501151,689,3,Mono_CD14_ID1,2.2976299708461276
GSM4138132,1,0.7870556449345798,643,3,Mono_CD14_ID1,2.2976299708461276
GSM4138136,1,0.7652558660213421,641,3,Mono_CD14_ID1,2.2976299708461276
GSM4138110,1,0.765934054063788,628,3,Mono_CD14_ID1,2.2976299708461276
GSM4138120,1,0.7597617078099183,609,3,Mono_CD14_ID1,2.2976299708461276
GSM4138137,2,0.5796972084819373,609,3,Mac_CXCL9,1.3058427979691687
GSM4138123,2,0.4862125245220248,597,3,Mac_CXCL9,1.3058427979691687
GSM4138130,1,0.7498390278515108,586,3,Mono_CD14_ID1,2.2976299708461276
GSM4138138,1,0.742333013506475,577,3,Mono_CD14_ID1,2.2976299708461276
GSM4138128,1,0.7488271615944877,545,3,Mono_CD14_ID1,2.2976299708461276
GSM4138122,1,0.7488271615944877,545,3,Mono_CD14_ID1,2.2976299708461276
GSM4138131,2,0.5317410741548794,538,3,Mac_CXCL9,1.3058427979691687
GSM4138139,2,0.508923711173167,502,3,Mac_CXCL9,1.3058427979691687
GSM4138162,1,0.7470047792507324,485,3,Mono_CD14_ID1,2.2976299708461276
GSM4138160,1,0.783443093597136,485,3,Mono_CD14_ID1,2.2976299708461276
GSM4138155,2,0.3913175370865387,472,3,Mac_CXCL9,1.3058427979691687
GSM4138166,1,0.7504510774068978,468,3,Mono_CD14_ID1,2.2976299708461276
GSM4138152,1,0.754600462993149,462,3,Mono_CD14_ID1,2.2976299708461276
GSM4138146,1,0.77662844271595,461,3,Mono_CD14_ID1,2.2976299708461276
GSM4138165,1,0.8134654228660645,437,3,Mono_CD14_ID1,2.2976299708461276
GSM4138163,1,0.8050522566964953,424,3,Mono_CD14_ID1,2.2976299708461276
GSM4138125,2,0.5190130936652013,393,3,Mac_CXCL9,1.3058427979691687
GSM4138154,1,0.7413825320905459,356,3,Mono_CD14_ID1,2.2976299708461276
GSM4138112,1,0.7579555151266486,355,3,Mono_CD14_ID1,2.2976299708461276
GSM4138114,1,0.7118438873267371,353,3,Mono_CD14_ID1,2.2976299708461276
GSM4138124,1,0.8158878144435411,341,3,Mono_CD14_ID1,2.2976299708461276
GSM4138167,1,0.7376511976956837,340,3,Mono_CD14_ID1,2.2976299708461276
GSM4138141,1,0.7654087298288372,300,3,Mono_CD14_ID1,2.2976299708461276
GSM4138127,2,0.5484222953265105,300,3,Mac_CXCL9,1.3058427979691687
GSM4138144,1,0.7270185312203947,298,3,Mono_CD14_ID1,2.2976299708461276
GSM4138118,1,0.7912998378884278,292,3,Mono_CD14_ID1,2.2976299708461276
GSM4138145,1,0.6552215173489659,290,3,Mono_CD14_ID1,2.2976299708461276
GSM4138158,1,0.7222023603399308,277,3,Mono_CD14_ID1,2.2976299708461276
GSM4138141,2,0.4813277413423364,257,3,Mac_CXCL9,1.3058427979691687
GSM4138133,2,0.4900123340573479,234,3,Mac_CXCL9,1.3058427979691687
GSM4138161,2,0.4307216097745281,200,3,Mac_CXCL9,1.3058427979691687
GSM4138145,2,0.511094546081545,197,3,Mac_CXCL9,1.3058427979691687
GSM4138150,1,0.7954643602335368,190,3,Mono_CD14_ID1,2.2976299708461276
GSM4138117,2,0.5365041922436911,182,3,Mac_CXCL9,1.3058427979691687
GSM4138148,1,0.735698247291436,178,3,Mono_CD14_ID1,2.2976299708461276
GSM4138143,1,0.6800942629630351,176,3,Mono_CD14_ID1,2.2976299708461276
GSM4138143,2,0.4607877902163945,170,3,Mac_CXCL9,1.3058427979691687
GSM4138155,1,0.6887458340704915,169,3,Mono_CD14_ID1,2.2976299708461276
GSM4138111,2,0.4397568127866039,162,3,Mac_CXCL9,1.3058427979691687
GSM4138129,2,0.5692826284563819,161,3,Mac_CXCL9,1.3058427979691687
GSM4138164,1,0.6632213173363477,155,3,Mono_CD14_ID1,2.2976299708461276
GSM4138111,1,0.6227756013148467,148,3,Mono_CD14_ID1,2.2976299708461276
GSM4138121,2,0.4328562451487314,147,3,Mac_CXCL9,1.3058427979691687
GSM4138117,1,0.6818236964446627,143,3,Mono_CD14_ID1,2.2976299708461276
GSM4138161,1,0.6863718100825422,129,3,Mono_CD14_ID1,2.2976299708461276
GSM4138127,1,0.7885531027950279,129,3,Mono_CD14_ID1,2.2976299708461276
GSM4138139,1,0.7534783314402618,125,3,Mono_CD14_ID1,2.2976299708461276
GSM4138125,1,0.6819843963896727,124,3,Mono_CD14_ID1,2.2976299708461276
GSM4138161,3,0.645274202064333,114,3,DC_pDC,1.34227043674028
GSM4138131,3,0.770009426012463,112,3,DC_pDC,1.34227043674028
GSM4138157,2,0.5088031443300516,106,3,Mac_CXCL9,1.3058427979691687
GSM4138137,1,0.8029633501390071,103,3,Mono_CD14_ID1,2.2976299708461276
GSM4138115,2,0.5101715981242251,103,3,Mac_CXCL9,1.3058427979691687
GSM4138131,1,0.7426365578472901,102,3,Mono_CD14_ID1,2.2976299708461276
GSM4138113,1,0.7100658594958461,93,3,Mono_CD14_ID1,2.2976299708461276
GSM4138159,2,0.48817709467148,88,3,Mac_CXCL9,1.3058427979691687
GSM4138129,1,0.7647690362254785,85,3,Mono_CD14_ID1,2.2976299708461276
