GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,51,0.912,0.893,0.696,0.971,8916
2,51,0.75,0.749,0.5,0.939,5972
3,38,0.888,0.893,0.838,0.953,3628
4,15,0.72,0.723,0.579,0.865,1521
5,8,0.808,0.782,0.551,0.88,206
6,28,0.882,0.856,0.642,0.971,978
7,11,0.741,0.729,0.571,0.88,888
8,7,0.668,0.672,0.548,0.809,500
9,9,0.614,0.617,0.52,0.706,357
10,6,0.801,0.809,0.698,0.892,156
11,5,0.697,0.691,0.593,0.752,172
12,5,0.773,0.773,0.674,0.882,282
13,3,0.694,0.72,0.673,0.793,66
14,11,0.66,0.667,0.469,0.796,380
15,11,0.814,0.801,0.674,0.939,327
16,7,0.897,0.9,0.813,0.965,192
17,2,0.806,0.806,0.779,0.832,112
19,1,0.778,0.778,0.778,0.778,24
