GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,47,0.799,0.765,0.443,0.896,6204
2,53,0.767,0.761,0.493,0.915,2113
3,52,0.77,0.733,0.511,0.866,8060
4,56,0.781,0.732,0.481,0.892,6205
5,10,0.697,0.721,0.586,0.921,258
6,11,0.852,0.812,0.641,0.954,554
7,16,0.71,0.714,0.53,0.909,1450
8,7,0.723,0.746,0.684,0.816,207
9,2,0.799,0.799,0.774,0.824,97
10,6,0.898,0.885,0.786,0.935,172
