GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,53,0.853,0.842,0.66,0.932,12660
2,46,0.836,0.838,0.552,0.962,5417
3,32,0.642,0.672,0.449,0.912,1691
4,12,0.7,0.702,0.584,0.816,1415
5,14,0.594,0.614,0.511,0.788,721
6,28,0.869,0.855,0.651,0.967,968
7,11,0.737,0.729,0.594,0.886,878
8,8,0.633,0.642,0.533,0.756,703
9,4,0.804,0.789,0.679,0.868,242
10,11,0.814,0.808,0.71,0.94,328
11,7,0.897,0.898,0.813,0.965,191
