GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.484,0.0,0.0,0.0,0.0
3,0.261,0.0,1.0,0.0,0.0,1.0,1.0,0.009,1.0,1.0,0.0,1.0,0.996,0.0,0.0,0.0,0.0
4,1.0,0.0,0.511,0.0,0.0,0.0,1.0,0.0,0.893,1.0,1.0,1.0,0.022,0.0,0.0,0.0,0.0
5,1.0,0.0,0.951,0.993,0.009,0.0,0.0,0.184,0.998,0.16,0.001,0.991,0.94,0.0,0.0,0.0,0.092
6,0.0,1.0,1.0,1.0,1.0,0.992,1.0,0.893,1.0,1.0,1.0,1.0,1.0,0.283,0.004,0.938,0.691
7,0.964,0.0,0.288,0.052,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.841,0.048,0.0,0.075,0.008
8,0.0,0.109,0.391,0.531,0.999,0.927,1.0,1.0,1.0,1.0,1.0,1.0,0.991,1.0,0.736,1.0,0.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.016,0.0,0.0,0.709,0.001,0.0,0.0,0.0,0.0
10,1.0,0.0,0.459,0.0,0.0,0.022,1.0,0.672,1.0,1.0,1.0,1.0,0.879,0.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.999,1.0,0.52,0.0,0.0,0.0,0.0
12,0.038,0.018,0.193,0.023,0.596,0.794383149448345,1.0,1.0,1.0,0.0,0.392,0.652,0.682,0.2875751503006012,0.033,0.102,0.707
13,0.0,0.0,1.0,0.003,0.0,0.0,1.0,0.0,0.87,0.968,0.0,0.882,0.999,0.001,0.0,0.0,0.0
14,0.037,0.0,0.0,0.0,0.0,0.0,1.0,0.006,0.247,0.123,0.01,0.998,0.1,0.009,0.0,0.0,0.0
15,0.0,1.0,0.7727727727727728,1.0,1.0,0.8223684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6622718052738337
16,0.284,0.003,0.81,0.0,0.707,0.02,0.105,1.0,1.0,0.999,0.707,0.933,0.003,0.029,0.014,0.0,0.143
17,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.999,0.572,0.0,0.831,0.906,0.0,0.0,0.0,0.0
18,1.0,0.0,0.855,0.131,0.0,0.0,1.0,0.0,0.416,0.072,0.946,0.991,0.221,0.0,0.0,0.0,0.039
19,0.743,0.046,0.023,0.0,0.035,0.012,0.678,0.09,0.965,0.907,0.201,0.481,0.945,0.054,0.05,0.433,0.034
20,0.895,0.0,0.001,0.25,0.0,0.001,0.0,0.282,0.301,0.551,1.0,0.896,0.29,0.0,0.0,0.711,0.0
21,0.689,0.0,0.0,0.0,0.0,0.02,1.0,0.053,0.602,1.0,0.001,0.771,0.063,0.037,0.0,0.001,0.013
22,0.236,0.057,0.037,0.978,0.67,0.082,1.0,0.054,0.204,0.701,0.178,1.0,0.856,0.017,0.0,0.474,0.02
23,0.015166835187057633,0.7227822580645161,0.5484210526315789,1.0,0.6839779005524862,0.8819345661450925,1.0,0.0,1.0,1.0,1.0,1.0,0.4811800610376399,0.8344923504867872,0.6492307692307693,0.0,0.9068181818181819
24,0.005,0.0,1.0,0.0,0.8,0.6154684095860566,1.0,0.016,0.641,0.044,0.0,0.188,0.001,0.010660980810234541,0.0,1.0,0.0030425963488843813
25,0.061076604554865424,0.49693251533742333,0.9910011248593926,0.9486404833836858,0.6365883807169345,0.8800705467372134,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9365351629502573,0.00964630225080386,0.0,0.7777777777777778
26,0.5539714867617108,0.6248736097067745,0.9098805646036916,0.7567567567567568,0.8036529680365296,0.1831831831831832,1.0,0.0,0.0,0.0,1.0,0.0,0.6742502585315409,0.0,0.0,0.0,0.0
27,0.33905146316851664,0.4150753768844221,0.29270833333333335,0.985,0.4738015607580825,0.6143057503506312,1.0,0.0,1.0,1.0,1.0,1.0,0.8485158648925282,0.7247579529737206,0.061991869918699184,0.892462311557789,0.2229806598407281
28,0.1067472306143001,0.0,0.7782340862422998,0.801,0.7363344051446945,0.38511749347258484,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7644736842105263,0.0,0.0,0.7146042363433668
29,0.253,0.259,0.494,0.308,0.06913827655310621,0.30520833333333336,0.994,0.202,0.058,0.298,0.022,0.69,0.232,0.0,0.014,0.438,0.6680121089808274
30,0.18032786885245902,0.0,0.0,0.0,0.5266106442577031,0.8341463414634146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951417004048583,0.0,0.0
