GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,0.4275968295906932,-1.0,-1.0,0.6932751470742544,-1.0,0.5834890460511409,0.5185088269320772,0.8086661742994041,0.9839936734196715,-1.0,0.6388941552030067,0.6277452230255625,-1.0,0.4357112443588891,-1.0,-1.0,1.5373702314414652
2,0.7967132763598904,1.6225135953056167,1.3842307243928154,1.3012149779411677,0.935711393059929,0.7487019632540962,1.200991194944071,0.7405497365586079,0.7355498414001848,0.5955719424763442,1.174056774558556,0.8735985862218733,0.9825620145620206,1.2006361237019747,0.6873954368245929,1.6204959549846216,0.5448514071348538
3,0.4853538912833335,-1.0,0.5002405041991171,0.549036103450573,0.7392897583936434,0.8582304043908924,0.6937646837490855,0.7506390817204126,0.742943977191573,1.0385927977947902,0.7383637870209425,0.5612067555583395,0.7826251194966192,0.4716381212501397,-1.0,-1.0,1.4490753847649256
4,0.924984976535375,0.8779120602935486,0.8748986879907408,0.9480007882909749,0.9646969601907058,0.9379865857900718,0.9692173031208101,0.9224569570755915,0.935838770804321,0.9993167738641514,0.9383263674885354,0.8686590004213106,0.9363435396425001,0.8609669950284625,1.2723501360022096,0.8899467029483814,0.7816330736529343
5,1.3780599396891275,0.8964173599733806,0.8795524037983181,0.9811832280239086,1.280130426082387,-1.0,1.2171180256738658,0.8731932783562456,0.8881396557762072,-1.0,1.2039503096998614,0.9165050988102278,-1.0,0.8131015809917579,0.8997144929107123,0.838816021278746,0.7730726114161608
6,0.8464081419070821,1.036747415708901,1.3872974913722846,1.2645494607236687,1.2302760837076634,1.1506225898891351,0.951863463489904,0.9125626363760859,0.8784636725420826,0.9653976534174276,1.1192070337623725,1.0301868929093054,1.242997852315331,1.3681903112392235,0.7955326612095432,0.9806666696930292,0.7073968932594349
7,0.544798886342874,0.5217575384715146,0.5721259500941723,0.6224490158880182,0.6231498243817762,0.6275392145746028,0.7417919572334345,0.862065227638694,0.7812291844994438,0.5463235489083731,0.7468680453464739,0.7786400072916015,0.7068298912282384,0.536132805599837,0.4700574033698511,0.523170046805276,1.4016800387992319
8,0.6849982089727383,0.6162062093520958,0.6368821391315651,0.8941592661091308,0.7551318743148777,0.7671923294317791,0.8185426185779247,0.8578707540287399,0.8627975536923335,0.8580890532473284,0.8372605063501614,0.7606192033453453,0.8210891003845185,0.6252130406794122,0.5964505214318564,0.6391782946928346,1.3173273074017513
9,1.3195829505015617,0.907031261188597,0.904126790174436,1.0099939296176887,1.2609382652327634,1.230392253723436,1.151884985451399,0.9199118908519012,0.9335231995422874,1.1240138514269724,1.1901908646949901,0.9829892522253098,1.225248683191195,0.9174695465085527,0.9248232116633088,0.8729061880560836,0.8671010152320321
10,0.6085179879853186,0.5873110042367337,0.5942701979753502,0.8640388435737364,1.101744131011052,1.1157228493839482,1.0065379884136754,1.6006921387480413,1.1756889379866464,0.9516818091796815,1.2146501204882014,0.8837090012616647,1.1826651519495364,0.6532658103142237,0.5547040751619099,0.5838697952744714,0.7697705070501181
11,0.6603776657693832,0.564159022655457,0.595678602137495,0.7153734912060459,0.8801479764017431,0.9010951547933085,0.9696033101297667,1.0713703543544646,1.4838982156764313,0.711926192820516,0.8205102840355583,0.7837296540266588,0.6963051797870619,0.5904739543207683,0.5449958494018357,0.5643159648505475,0.7944208317740963
12,0.8670166696196197,0.8338078637477581,0.8456997042091654,0.9029374684174155,0.9125753625530474,0.9642275023148646,0.9791611164814324,0.947892799038873,0.9462213237747185,-1.0,0.8880166277495125,0.913837305581215,1.0032829557075849,0.8469775314168331,0.8365360975631722,0.8416681226344805,1.1821762036753727
13,0.6126025302616224,0.5748040603837556,0.6555754345223257,0.7289729358349629,0.9558999524080364,0.7691231872252317,0.9920586366669649,0.8504462960189435,0.8338927458516332,0.7917299848410664,0.9266529093953927,0.7627929407583667,0.8002977219777813,0.6592871875953129,0.5309400857041832,0.6322633211106453,1.317572541600182
14,0.9489947848970107,0.8146054660046704,0.8474548332194741,0.8617931644104522,1.182751357654902,0.9874511792183914,1.1463024802794013,1.0072215587776931,0.9695954623450144,1.3472118455105304,1.175394669138161,0.9408046938115544,1.1263102887098215,0.8651618398463916,1.4844989260877164,0.8719260570089098,0.9233583831532517
15,0.8327042724726039,0.8020234988286228,0.7986797545092003,0.8803949776074357,0.9284860309796633,0.8725632047711644,0.8978225673700195,0.9998236989734247,1.2907439235855287,1.0924204375696631,1.0265599233018758,0.8409755776826978,0.9854572175440977,0.8186277637904171,0.8035742790925331,0.8048658200816373,0.891553575258589
16,0.9133527040522144,0.8502777476547378,0.833525929742184,1.1716114065345364,1.275194003389851,-1.0,0.8839596096245109,0.9077461882496817,0.8647540146698541,-1.0,0.8749236672881494,0.8385016571028693,-1.0,0.8234421729141679,0.8297314168654648,0.8506942334209334,1.1818224303300207
17,0.9129865892766545,0.8908191384139782,0.904989527318331,0.9339123654435322,0.9361036037286989,0.9475878828512548,1.1313420549284738,1.0116994352634554,1.0502923537011006,1.0596763710380919,1.0271014764225663,0.9407700224928082,0.9888530831736764,0.913091720596872,0.8933427436287876,0.8988032575342886,1.1281228252764688
18,0.8999754833213441,0.9017161862940051,0.8992831327623207,0.9737230695017095,0.9812397365958011,1.0024072050489552,0.9273327191722852,1.059049734059009,1.2009977769421478,-1.0,1.0864075942769198,0.9347372540864589,0.9888934608963825,0.9140428667019831,0.8833927507597706,0.885201153728596,0.9253579509690711
19,0.939005176692749,0.9086242218258974,0.924243793248099,1.2248140797433078,1.1061648468200032,1.1166379639972384,1.1089552247943697,0.9711085620636773,0.9948496603027941,0.9344742074860946,0.9581673729067114,0.9055765894204523,0.9159545317725121,0.9174775530011865,0.9038580207923009,0.9097640489883406,1.1096085106150821
20,0.9540168038553009,0.924398503844129,0.9347361681065144,1.0062396679961654,1.1075392375578106,1.060754695593441,1.0888313234514309,0.9946380583481507,0.9889299499432512,1.0531521370134087,1.1160658130237069,1.2377170859871418,1.1274745272895654,1.0607207344892755,0.9321710359296879,0.934458878868499,0.9343414111676508
21,0.9293330024592684,0.940485131331134,0.9321401291712115,0.9018285613935829,1.344922724793716,1.1058477955119002,1.0251237892603104,1.0761613568215902,1.0637959659664646,1.1501803633403802,1.334459571752894,1.3991348923518931,1.3051202091575427,0.9715409731904818,0.8997703731880147,0.9525189007388091,0.9752825373279573
22,0.8543789345598792,0.8569074283367154,0.8338380821103571,0.824190517979451,0.9286396601693656,0.9092901306596598,1.1329327365666515,1.0508024319792335,0.985127722169558,0.885604976732972,0.9812792051421337,1.002534414933647,1.1634454471153552,0.98873409711491,0.8371560500109234,0.8516053785493396,1.0965282559411216
23,0.9638194329506886,0.966668620846351,0.9744595292776327,1.0013798342144404,0.978212738454658,0.9496281001896786,0.9874968552464581,0.9721779878934147,0.9847717415282988,0.9919909806977282,0.9507581842050229,0.9832817934536349,0.9634920297857932,1.0056021288180823,0.9494664435839641,0.9564666828911601,1.044287723986246
