GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,1.0,1.0,1.0,1.0,1.0,1.0,0.93,0.903,0.0,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,1.0,0.0,0.0,0.002,0.04,0.693,0.097,1.0,1.0,0.727,0.872,0.874,0.344,0.0,1.0,0.0,1.0
4,0.0,1.0,1.0,0.492,0.0,0.0,0.003,1.0,1.0,1.0,0.414,1.0,0.086,0.997,1.0,1.0,1.0
5,1.0,0.0,0.0,0.005,0.435,0.255,0.139,1.0,1.0,0.987,0.0,0.781,0.367,0.0,1.0,0.0,0.816
6,1.0,1.0,1.0,1.0,0.978,0.999,0.956,1.0,1.0,0.956,1.0,1.0,0.999,1.0,1.0,1.0,0.0
7,1.0,1.0,1.0,0.999,0.725,0.963,0.098,1.0,1.0,1.0,1.0,0.999,1.0,1.0,0.0,1.0,1.0
8,0.998,1.0,1.0,0.517,0.555,0.903,0.777,0.976,0.993,0.988,0.998,0.997,0.883,1.0,0.0,1.0,1.0
9,0.0,1.0,1.0,0.432,0.002,0.001,0.011,1.0,1.0,0.997,0.997,0.715,0.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,0.975,0.0,1.0,0.0,0.511,0.46,0.0,0.0,0.354,0.0,0.933,1.0,1.0,0.072
11,1.0,1.0,1.0,0.989,0.716,0.548,0.477,0.0,0.0,1.0,1.0,0.811,0.881,1.0,1.0,1.0,0.0
12,1.0,1.0,1.0,0.719,0.842,0.609,0.614,0.0,0.0,1.0,0.998,0.969,0.999,0.989,1.0,1.0,0.0
13,1.0,1.0,1.0,0.712,0.0,0.0,0.001,0.789,0.906,0.0,0.0,0.75,0.0,0.219,1.0,1.0,1.0
14,1.0,1.0,1.0,0.491,0.062,0.449,0.075,0.38,0.574,0.811,0.023,0.0,0.224,0.42,1.0,1.0,0.988
15,1.0,1.0,1.0,0.5015015015015015,0.392,0.633,0.16516516516516516,0.593,0.994,0.93,1.0,0.971,0.44,0.988,0.0,0.983,0.0
16,1.0,1.0,1.0,0.851,0.728,0.474,0.143,0.756,1.0,0.041,0.98,0.741,0.886,0.971,1.0,1.0,0.0
17,1.0,1.0,1.0,0.453,0.987,0.855,0.02,0.814,0.889,0.964,0.997,0.675,0.185,0.958,1.0,1.0,0.0
