K,GEP,Top_CellType,NES
3,1,Fibroblasts/Stromal,1.482
3,2,DC_CD207,1.691
3,3,Tumor/Epithelials,1.598
4,1,CD4+Tcells,1.662
4,2,Tumor/Epithelials,1.712
4,3,Tumor/Epithelials,1.555
4,4,Fibroblasts/Stromal,1.472
5,1,CD4+Tcells,1.701
5,2,Tumor/Epithelials,1.699
5,3,Tumor/Epithelials,1.552
5,4,Fibroblasts/Stromal,1.5
5,5,Mac_C1Q_ZEB2,1.5
6,1,CD4+Tcells,1.703
6,2,Tumor/Epithelials,1.688
6,3,Tumor/Epithelials,1.531
6,4,Fibroblasts/Stromal,1.502
6,5,Mac_C1Q_ZEB2,1.499
6,6,CD8+Tcells_Ki67,1.155
7,1,CD4+Tcells,1.703
7,2,Tumor/Epithelials,1.693
7,3,Tumor/Epithelials,1.526
7,4,Fibroblasts/Stromal,1.504
7,5,Mac_C1Q_ZEB2,1.486
7,6,Endothelials,1.45
7,7,Tumor/Epithelials,1.255
8,1,Tumor/Epithelials,1.681
8,2,CD4+Tcells,1.561
8,3,Tumor/Epithelials,1.515
8,4,Plasma_XBP1,1.522
8,5,Fibroblasts/Stromal,1.476
8,6,Mac_C1Q_ZEB2,1.46
8,7,Endothelials,1.494
8,8,Tumor/Epithelials,1.246
9,1,CD4+Tcells,1.568
9,2,Tumor/Epithelials,1.604
9,3,Tumor/Epithelials,1.518
9,4,Plasma_XBP1,1.522
9,5,Fibroblasts/Stromal,1.473
9,6,Mac_C1Q_ZEB2,1.451
9,7,Tumor/Epithelials,1.208
9,8,Endothelials,1.49
9,9,Tumor/Epithelials,1.213
10,1,Tumor/Epithelials,1.614
10,2,Tumor/Epithelials,1.507
10,3,CD4+Tcells,1.42
10,4,Bcells_CD19,1.516
10,5,Plasma_XBP1,1.531
10,6,Fibroblasts/Stromal,1.449
10,7,Tumor/Epithelials,1.413
10,8,Mac_C1Q_ZEB2,1.406
10,9,Endothelials,1.473
10,10,Tumor/Epithelials,1.219
11,1,Tumor/Epithelials,1.615
11,2,CD4+Tcells,1.418
11,3,Tumor/Epithelials,1.468
11,4,Bcells_CD19,1.524
11,5,Plasma_XBP1,1.535
11,6,Fibroblasts/Stromal,1.449
11,7,Tumor/Epithelials,1.403
11,8,Mac_C1Q_SPP1,1.405
11,9,Endothelials,1.474
11,10,Tumor/Epithelials,1.162
11,11,Tumor/Epithelials,1.195
12,1,CD4+Tcells,1.603
12,2,Tumor/Epithelials,1.743
12,3,Bcells_CD19,1.713
12,4,Fibroblasts/Stromal,1.676
12,5,Plasma_XBP1,1.702
12,6,Endothelials,1.802
12,7,Fibroblasts/Stromal,1.556
12,8,Tumor/Epithelials,1.15
12,9,Tumor/Epithelials,1.46
12,10,Tumor/Epithelials,1.392
12,11,Mac_C1Q_ZEB2,1.483
12,12,Mac_C1Q_ZEB2,1.176
13,1,Tumor/Epithelials,1.579
13,2,CD4+Tcells,1.409
13,3,Tumor/Epithelials,1.452
13,4,Bcells_CD19,1.512
13,5,Plasma_XBP1,1.516
13,6,Tumor/Epithelials,1.378
13,7,Fibroblasts/Stromal,1.381
13,8,Mac_C1Q_ZEB2,1.399
13,9,Tumor/Epithelials,1.34
13,10,CD8+Tcells_Ki67,1.355
13,11,Endothelials,1.443
13,12,Fibroblasts/Stromal,1.378
13,13,Tumor/Epithelials,1.188
14,1,Tumor/Epithelials,1.578
14,2,CD4+Tcells,1.398
14,3,Tumor/Epithelials,1.448
14,4,Bcells_CD19,1.5
14,5,Plasma_XBP1,1.512
14,6,Tumor/Epithelials,1.378
14,7,Fibroblasts/Stromal,1.379
14,8,Mac_C1Q_SPP1,1.394
14,9,Tumor/Epithelials,1.34
14,10,CD8+Tcells_Ki67,1.358
14,11,Endothelials,1.435
14,12,Fibroblasts/Stromal,1.379
14,13,Tumor/Epithelials,1.188
14,14,Mast,1.425
15,1,Tumor/Epithelials,1.576
15,2,CD4+Tcells,1.394
15,3,Tumor/Epithelials,1.447
15,4,Plasma_XBP1,1.509
