GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,1.0,0.0,0.0,0.0,0.488,0.98,0.237,1.0,1.0,1.0,0.0,0.903,0.765,0.01,1.0,0.0,1.0
2,1.0,1.0,1.0,1.0,1.0,0.956,1.0,1.0,1.0,0.855,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.0,1.0,1.0,0.609,0.0,0.0,0.0,1.0,1.0,1.0,0.565,0.962,0.001,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,0.884,0.771,0.809,0.655,1.0,1.0,0.913,1.0,0.999,0.931,1.0,0.0,1.0,1.0
5,1.0,1.0,1.0,0.979,0.0,0.0,0.0,0.604,0.001,0.0,0.0,0.867,0.0,0.998,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,0.999,1.0,0.972,0.52,0.0,0.827,1.0,1.0,1.0,1.0,1.0,1.0,0.959
7,1.0,1.0,1.0,0.981,0.984,0.766,0.838,0.147,0.0,0.023,1.0,0.99,1.0,1.0,1.0,1.0,0.0
8,1.0,0.017,0.0,0.002,0.085,0.102,0.786,0.984,1.0,0.992,0.044,0.32,0.025,0.0,1.0,0.697,1.0
9,1.0,1.0,1.0,0.984,0.991,0.454,0.703,0.0,0.0,1.0,1.0,0.691,0.357,1.0,1.0,1.0,0.0
10,1.0,1.0,1.0,0.993,0.997,0.996,0.685,1.0,1.0,0.182,1.0,0.929,0.908,1.0,1.0,1.0,0.0
11,1.0,1.0,1.0,0.659,0.26,0.457,0.011,0.731,0.03,0.52,1.0,1.0,0.094,1.0,0.0,1.0,0.0
12,1.0,1.0,1.0,0.971,0.306,0.977,0.726,0.806,0.984,0.997,0.997,0.978,0.987,1.0,1.0,1.0,0.0
13,1.0,1.0,1.0,0.961,0.54,0.188,0.852,0.006,0.0,0.984,1.0,0.335,0.958,1.0,1.0,1.0,0.0
14,1.0,1.0,1.0,0.625,0.972,0.976,0.436,1.0,1.0,0.975,1.0,0.715,0.987,1.0,1.0,1.0,0.0
15,1.0,1.0,1.0,0.5045045045045045,0.598,0.518,0.16,0.0,0.6,0.982,0.958,0.753,0.717,0.981,1.0,0.999,1.0
16,0.998,0.0,0.0,1.0,0.617,0.973,0.023,0.996,1.0,1.0,0.144,0.916,0.087,0.1,1.0,0.0,1.0
17,1.0,1.0,1.0,0.001,0.016,0.004,0.098,0.25,0.564,1.0,0.999,0.816,0.705,0.962,0.0,1.0,1.0
18,1.0,1.0,1.0,0.773,0.791,0.996,0.122,0.292,0.945,0.891,0.913,0.27,0.727,0.992,1.0,1.0,0.0
19,1.0,1.0,1.0,0.762,0.0,1.0,1.0,0.345,0.022,1.0,0.015,0.0,1.0,0.783,1.0,1.0,0.0
20,1.0,1.0,1.0,0.5145145145145145,0.238,0.376,0.171,0.842,0.993,0.876,0.3,0.0,0.334,0.508,1.0,0.993,1.0
21,0.956,0.996,0.973,0.8638638638638638,0.79,0.2002002002002002,0.1395582329317269,0.002,0.0,0.754,0.763,0.327,0.723,0.998,1.0,0.997,0.995
22,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.232,0.248,1.0,0.01,0.004,1.0,0.827,1.0,0.998,0.0
23,0.999,0.988,0.876,0.9979381443298969,1.0,0.0,0.9545454545454546,0.09,0.0,0.8186423505572442,0.037,0.0,0.0,0.321,1.0,0.782,1.0
24,0.998,0.981,1.0,0.41919191919191917,0.7757757757757757,1.0,0.07171717171717172,0.127,0.09,0.5573440643863179,0.7,0.36,0.15430861723446893,0.013,1.0,0.963,0.0
25,1.0,1.0,0.999,1.0,0.535140562248996,0.7354709418837675,0.0602655771195097,0.478,0.008,0.7004048582995951,0.139,0.436,0.9549098196392786,0.776,1.0,0.535,0.0
26,1.0,1.0,1.0,0.9013091641490433,0.42384769539078154,0.9317269076305221,0.18970736629667004,0.079,0.998,0.3333333333333333,0.858,0.145,0.7487487487487487,0.481,1.0,1.0,0.0
27,0.606,0.675,0.555,0.5628997867803838,0.7975951903807615,0.9180161943319838,0.0914826498422713,0.151,0.576,0.4735202492211838,0.259,0.852,0.4108761329305136,0.8188188188188188,0.319,0.842,0.993
