GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,1.0,1.0,1.0,0.047,0.975,0.505,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,1.0,1.0,1.0,0.99,1.0,1.0,0.997,1.0,1.0,1.0,1.0,0.992,1.0,1.0,1.0,1.0,0.0
3,1.0,0.0,0.0,0.0,0.895,1.0,0.787,1.0,1.0,0.997,0.573,0.025,0.589,0.0,1.0,0.0,1.0
4,0.0,1.0,1.0,0.894,0.0,0.0,0.0,1.0,1.0,1.0,0.844,0.0,0.037,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,0.898,0.997,0.985,0.588,1.0,1.0,0.993,1.0,1.0,0.998,1.0,0.0,1.0,1.0
6,1.0,1.0,1.0,0.996,1.0,0.986,0.953,0.686,0.0,0.998,1.0,0.997,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,0.984,1.0,1.0,0.981,1.0,1.0,0.985,1.0,1.0,0.999,1.0,1.0,1.0,0.0
8,1.0,1.0,1.0,0.832,0.0,0.0,0.0,0.965,1.0,0.0,0.0,0.0,0.0,0.918,1.0,1.0,1.0
9,1.0,1.0,1.0,0.233,0.883,0.869,0.691,0.0,0.0,1.0,0.993,0.012,0.929,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,0.893,0.969,0.922,0.55,0.95,1.0,0.943,1.0,0.968,0.838,0.999,1.0,1.0,0.0
