GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,-0.015748780265322428,0.17879248891785673,0.32332370347591816,-0.0001847317495941691,0.03518451219780204,0.13631907263685558,0.062072018748349354,0.0805076803712137,0.005724030240113479,0.0021419547587758878,0.036568507825266154,0.00018239964467374058,0.00127044917393488,0.022832229595516867,0.013899421652725862,0.007020560405230394,0.03565784307918294,0.03204105084176446
2,-0.043399897417523994,0.7253498872996172,0.31422438378904255,-0.02553439382689403,0.10540545581508437,0.23199715857746497,0.1533336124092798,0.17157892572796782,0.12091741840762776,-0.008130542326837242,0.09820679972591088,0.022453362088171665,0.0410268214976608,0.17052333614754392,0.0643746405105435,0.009394236710206418,0.10986553286861046,0.11804968139654211
3,0.7366301234550409,-0.06238055766700222,-0.027259248944014162,0.17853608122298414,-0.6845046553622813,-0.08462046394324974,-0.36570789604630616,-0.36852068289865564,-0.09812546153890853,-0.152381269779532,-0.3499043860310141,-0.06998442110826267,0.00967174564830632,-0.31753232811144105,-0.007259824899559141,-0.10847624642081623,-0.22021538584913858,-0.39238799541514036
4,0.19026112600137735,-0.030233519429916925,-0.0032839897300721344,0.8150028693611813,0.0884548220736639,0.0752058574189268,-0.03591703583656892,-0.14379841927809273,0.14755845905598375,0.3081212740448129,-0.08434727783793328,0.6326411919081073,0.28940075249766023,0.004810658588580423,0.012123001295321227,0.3689973100605943,-0.0655430188758071,-0.09951425028656978
5,0.7534302086063326,-0.04993995383695657,-0.01784840584886386,0.13646957344451915,-0.6810148670933294,-0.07314423209583247,-0.2138536658294584,-0.2648201378762685,-0.15085609679895423,-0.21185639445856583,-0.13078045959376777,-0.12875381173229108,-0.021893843011604627,-0.19520450002636006,0.09011820650719535,-0.13978103371710232,-0.021931854409211887,-0.29995121688957244
6,-0.23277639345207926,0.19848651247654103,0.12517020761899617,-0.11719498969831732,0.23962606170815431,0.26891156892754525,0.46337070429755034,0.5348959417969699,0.4223614902976132,-0.08365575012391092,0.36006745694804365,0.06308839602114472,0.2576486726890939,0.39265077851183344,0.2884438480057638,-0.03483671575201668,0.41047397232442245,0.41361918270810033
7,-0.27223997685155044,0.049021947048621145,0.046035998743284255,0.13465035254659888,0.6599605209424381,0.0683459135366785,0.11822837866028497,0.12815480435670243,-0.1676921515263151,0.5450437386885933,0.16022310129390618,0.2775900961499765,-0.15819283205707366,0.3385481916479895,0.03167164448785071,0.6039912447532529,0.10237858146475368,0.21961557890547226
8,-0.043890753023253834,-0.02197561167068498,0.011546411004358867,0.3082185289217434,0.3026335295175686,0.06905283353202217,0.09442514998870237,0.03800863239575446,-0.11142117588967465,0.8356288770910364,0.053591723943862225,0.4518453161627656,0.1367306594896428,-0.11137183008738488,-0.14659051762740685,0.5042985191371685,-0.14913416795741966,-0.3401800671439277
9,0.015584326510908394,0.00544471498664676,0.029902853936306917,0.854687579599222,0.09822612915817226,0.13270534764002145,0.3303958108089776,0.37344300515798745,0.14312324645314536,0.13886583504221772,0.2619124757919428,0.7393351202156115,0.19516872792467913,0.16206604780810818,0.22425066091675777,0.1993489283217153,0.19028799398659696,0.15363215109794057
10,-0.2079783043825899,0.03842926118069018,0.007065779661933511,0.005205097847163876,0.2153095981942702,0.005928269046403866,0.36010245200152813,0.14748352296431455,0.5298416778854216,-0.046233278291892804,0.08556764141321589,0.12863375204444938,0.4819820222049591,0.5051963915013816,0.5192030254267528,-0.042441046354569745,0.44551693236392587,0.3746696826916467
11,-0.23556554514996889,0.11322823326434557,0.09130063512736464,0.25846872914114705,0.29000068893820297,0.16616249972846792,0.7871612813218718,0.6335925209224276,0.2881253049273507,0.06571382713699682,0.7372848193404377,0.4278686684099729,0.12152300190938041,0.6747680466431092,0.48739560101109103,0.18408077990137547,0.7293337539767419,0.6657377924793786
12,-0.21121600851657346,0.0670525223133653,0.09872827789360637,0.09972250085271495,0.20902797558182717,0.17573389622956104,0.5658260744484894,0.5337198029325113,0.06090482741358401,0.09565063084206023,0.5428114878880332,0.09487676041831836,0.022549477851664394,0.4203709493869897,0.2415632198633774,0.263743156454352,0.36550675029109225,0.32214818603501394
13,-0.16235054799565105,0.05470346504563012,0.016776628840252363,0.275610031665208,0.15343399469740476,0.10957913675041843,0.42288809450526427,0.2661553938299813,0.9533144530437487,-0.28287861263979297,0.21134014477602103,0.3906434591498966,0.8599383318054213,0.5949202285129972,0.47844010230306155,-0.04827968153855457,0.515652349054996,0.5006776181158085
14,-0.09025671434215085,0.06382750307633812,0.05302578806679421,0.37641859130426725,0.08264316724342251,0.10629747547191104,0.6692694721780452,0.46988726199051983,0.6955357560778411,-0.1229280062654931,0.38104317462404913,0.4738137058767905,0.6006328034200908,0.8897246207657722,0.867895835180194,0.07581387104687266,0.7535288493234468,0.5995497879714807
15,-0.13908844167477627,0.022806084502450374,0.04732244464954601,0.06749177329576976,0.5379537068811877,0.08036811490625365,0.3809482200986599,0.272997696003466,-0.08331711723055359,0.37223226435876433,0.2416599560761156,0.004887572616756341,0.10512712705623022,0.09711474587128191,0.2031727075746889,0.3165088213181682,0.3061577583177745,0.2818108983296512
16,-0.3385615889314658,0.11758983018518909,0.0670964908550354,-0.04084517156647862,0.40908119392504216,0.1796996821185647,0.6476419267966286,0.7154438901491362,0.6395184409436784,-0.4295733899702512,0.3902755284010085,0.019500467880341772,0.48875507624545445,0.6463121380537215,0.557450111308495,-0.13166460403300342,0.6555782337820029,0.7780784935690891
17,-0.045867968300531886,0.0751780786628622,0.06368546468187963,0.27978596476687323,0.18277669552791867,0.1372489429683992,0.8454803376287781,0.7000670619069623,0.3534198808316118,-0.23945163743290723,0.4269233252014955,0.15620494441355154,0.3640666503390126,0.5544538234467983,0.7392284829059643,-0.12236687739240217,0.8376657594510329,0.6096016861966954
