GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,-0.0038946578953159123,0.033894874900017115,-0.04706833280398211,0.9108734317650221,0.28555966583063574,-0.057208095169297826,0.12629757962975405,0.4099915042231186,0.06630334549394643,0.0379354471689396,0.08444760665638495,0.11867310558627812,0.10634621854910578,0.08178196854451841,0.12155582375997759,0.05912495380921442,0.03387206052356686,0.08624642299541053,0.11061430552852654,0.07077657603991334
2,-0.0005427006274619056,0.028047404354931055,-0.010523528883609285,0.0965014714325868,0.1625398411420624,-0.018943162514112922,0.06543359124924197,0.1303515752488653,0.011400569872619268,0.04302217536442402,0.07995094902216811,0.04935867470057065,0.04721283108816061,0.05603565202448954,0.02430955613163774,0.029327805633720234,0.0058301177179041095,0.04564231077029496,0.05372747509496872,0.030570784199934777
3,-0.20618583624720452,-0.41975124333666847,0.9825287538043013,-0.05419203710426743,-0.10471493019969884,0.802409179587535,-0.10952591994575316,-0.0830741739070981,-0.4416218861742152,-0.1348856900912355,-0.14961126111100329,-0.1752832472429052,-0.42586958329505964,-0.07720646221751751,-0.3468535561866686,-0.17106350400875128,-0.24822893108049807,-0.15179403929030255,-0.455275887258839,-0.17814411778798875
4,0.04826939028674822,-0.3777618588093209,0.827866421839512,-0.06553968709037418,-0.14507812736533132,0.9975121882161916,-0.16055338988442022,-0.11638086470508174,-0.31505212142374667,-0.04657350983309272,-0.06329330946601266,-0.3839577180987388,-0.2973377739878062,-0.04747813084289098,-0.3686063965542769,-0.03641498015090434,-0.21601118801619143,-0.133413103893526,-0.575011239306444,-0.08980156650475764
5,0.778095569177622,0.4596769687651524,-0.38635193923744704,0.027252380870680926,0.14986803009747315,-0.14121798782896336,0.3351940207247771,0.04089715238204278,0.3849571592793854,0.35417982461116965,0.29868505500293085,0.16142329747798154,0.4250940334156666,0.45924435647916206,0.1160315125474559,0.40890443893021095,0.0024166849354244654,0.2078527676064363,0.3069473362993982,0.3483690417511692
6,0.07969063561314338,0.12855576653551024,-0.08849757057763724,0.1435023505430194,0.30583783867852854,-0.07983810549514088,0.2563234789222603,0.47260398294330275,0.08079132407582754,0.3015550944825491,0.2187450515224255,0.13520044513042984,0.10353411687460957,0.11116068815890429,0.14887436093751547,0.23360048147406565,0.02785489743317703,0.18708405683336318,0.11923682474613133,0.03386276654913385
7,0.2714150642446132,0.31187800181042813,-0.12307665861274288,-0.003954311358560462,0.003969366932956729,-0.03262236020550349,-0.008913371047333432,0.040622163314918566,0.02813878711748888,0.020719732222892917,0.07349642776394708,-0.03344808411523861,0.1140536124346989,0.03903569155696512,0.028631974087216832,0.2045385844357628,0.10018037713334078,-0.20294793053418367,0.14858693926171887,-0.1344292408127025
8,0.19681392664104413,0.4072562022071094,-0.15420175520251833,0.09778423075733235,0.3174866746779786,-0.03351782100355155,0.9167669886056148,0.24924837726827273,0.16563343322305563,0.6201390478985748,0.8127885169871838,0.5926335192985509,0.6093521151914866,0.5920165871109252,0.4099879317464756,0.618759417785924,0.07998709783765416,0.7890230408105628,0.5603259440715053,0.45097044099007927
9,0.1424244828195796,-0.13019705696959494,-0.17343218770515173,0.06829950027524992,0.2413859716425047,-0.14964416564963592,0.26615211004745987,0.137332768465362,0.8483053947915439,0.09052189361194299,0.14352343732329334,0.3611845275779337,0.6157264241393419,0.6981221686636737,0.25308970912056106,0.0481574383172526,-0.42584666549576844,0.31814853051639497,0.4623716032688632,0.467861033899098
10,0.15376672315446888,0.12190406650425423,-0.2725054512705795,0.10030417467249174,0.26613017085354856,-0.1397160972530989,0.7369043335042214,0.19162199725008536,0.14271688385866463,0.5750535003076278,0.6796939920344532,0.4693574953841531,0.5945514597126497,0.45356443677221153,0.29788122060751426,0.4540883819974645,0.3125611191194015,0.4883858599637008,0.5495501614191602,0.3930092595647175
