k_parent,k_child,parent_gep,child_gep,gated_similarity,parent_celltype,child_celltype,celltype_match
16,17,4.0,7,0.6225,Plasma_XBP1,Plasma_XBP1,True
16,17,4.0,8,0.8056,Plasma_XBP1,Plasma_XBP1,True
16,17,5.0,9,0.7642,Bcells_CD19,Bcells_CD19,True
16,17,7.0,10,0.5267,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,False
16,17,13.0,11,0.8984,Endothelials,Endothelials,True
16,17,11.0,12,0.8476,Endothelials,Endothelials,True
16,17,7.0,13,0.9169,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,False
16,17,15.0,14,0.9855,Mast,Mast,True
16,17,4.0,15,0.6086,Plasma_XBP1,Tumor/Epithelials,False
16,17,8.0,16,0.9118,Tumor/Epithelials,Tumor/Epithelials,True
16,17,16.0,17,0.8499,DC_LAMP3,DC_LAMP3,True
17,18,5.0,1,0.7534,CD8+Tcells,CD4+Tcells,False
17,18,2.0,2,0.7253,Fibroblasts/Stromal,Tumor/Epithelials,False
17,18,1.0,3,0.3233,Tumor/Epithelials,Tumor/Epithelials,True
17,18,9.0,4,0.8547,Bcells_CD19,Bcells_CD19,True
17,18,7.0,5,0.66,Plasma_XBP1,Plasma_XBP1,True
17,18,,6,0.2689,,CD8+Tcells_Ki67,False
17,18,17.0,7,0.8455,DC_LAMP3,Endothelials,False
17,18,16.0,8,0.7154,Tumor/Epithelials,Tumor/Epithelials,True
17,18,13.0,9,0.9533,Mac_C1Q_ZEB2,Mac_C1Q_SPP1,False
17,18,8.0,10,0.8356,Plasma_XBP1,Plasma_XBP1,True
17,18,11.0,11,0.7373,Endothelials,Endothelials,True
17,18,9.0,12,0.7393,Bcells_CD19,Bcells_CD19,True
17,18,13.0,13,0.8599,Mac_C1Q_ZEB2,Mac_C1Q_ZEB2,True
17,18,14.0,14,0.8897,Mast,Mast,True
17,18,14.0,15,0.8679,Mast,Mast,True
17,18,7.0,16,0.604,Plasma_XBP1,Plasma_XBP1,True
17,18,17.0,17,0.8377,DC_LAMP3,Mon_VCAN,False
17,18,16.0,18,0.7781,Tumor/Epithelials,Tumor/Epithelials,True
18,19,2.0,1,0.9969,Tumor/Epithelials,Tumor/Epithelials,True
18,19,3.0,2,0.6096,Tumor/Epithelials,Tumor/Epithelials,True
18,19,1.0,3,0.7006,CD4+Tcells,Tregs,False
18,19,1.0,4,0.8041,CD4+Tcells,CD8+Tcells,False
18,19,12.0,5,0.9095,Bcells_CD19,Bcells_CD19,True
18,19,6.0,6,1.0,CD8+Tcells_Ki67,CD8+Tcells_Ki67,True
18,19,16.0,7,0.6757,Plasma_XBP1,Plasma_XBP1,True
18,19,7.0,8,0.8862,Endothelials,Endothelials,True
18,19,9.0,9,0.9555,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,False
18,19,11.0,10,0.9288,Endothelials,Endothelials,True
18,19,13.0,11,0.9031,Mac_C1Q_ZEB2,Mac_C1Q_ZEB2,True
18,19,4.0,12,0.8674,Bcells_CD19,Bcells_CD19,True
18,19,5.0,13,0.5808,Plasma_XBP1,Plasma_XBP1,True
18,19,14.0,14,0.9307,Mast,Mast,True
18,19,5.0,15,0.6418,Plasma_XBP1,Plasma_XBP1,True
18,19,5.0,16,0.6908,Plasma_XBP1,Mac_C1Q_SPP1,False
18,19,18.0,17,0.8224,Tumor/Epithelials,Tumor/Epithelials,True
18,19,15.0,18,0.8748,Mast,Mast,True
18,19,15.0,19,0.8474,Mast,DC_LAMP3,False
19,20,5.0,1,0.7781,Bcells_CD19,Bcells_CD19,True
19,20,13.0,2,0.6566,Plasma_XBP1,Plasma_XBP1,True
19,20,3.0,3,0.9825,Tregs,Tregs,True
19,20,1.0,4,0.9109,Tumor/Epithelials,Tumor/Epithelials,True
19,20,17.0,5,0.3453,Tumor/Epithelials,Tumor/Epithelials,True
19,20,4.0,6,0.9975,CD8+Tcells,CD8+Tcells,True
19,20,8.0,7,0.9168,Endothelials,Tumor/Epithelials,False
19,20,6.0,8,0.4726,CD8+Tcells_Ki67,Fibroblasts/Stromal,False
19,20,11.0,9,0.8808,Mac_C1Q_ZEB2,Mac_C1Q_SPP1,False
19,20,8.0,10,0.6201,Endothelials,CD8+Tcells_Ki67,False
19,20,8.0,11,0.8128,Endothelials,Endothelials,True
19,20,17.0,12,0.6908,Tumor/Epithelials,Tumor/Epithelials,True
19,20,14.0,13,0.7862,Mast,Endothelials,False
19,20,14.0,14,0.9778,Mast,Mast,True
19,20,17.0,15,0.5043,Tumor/Epithelials,DC_LAMP3,False
19,20,8.0,16,0.6188,Endothelials,CD8+Tcells_Ki67,False
19,20,10.0,17,0.3126,Endothelials,Tumor/Epithelials,False
19,20,8.0,18,0.789,Endothelials,DC_LAMP3,False
19,20,17.0,19,0.842,Tumor/Epithelials,Mast,False
19,20,17.0,20,0.6683,Tumor/Epithelials,Mon_VCAN,False
20,21,5.0,1,0.6204,Tumor/Epithelials,Tumor/Epithelials,True
20,21,3.0,2,0.9846,Tregs,Tregs,True
20,21,6.0,3,0.921,CD8+Tcells,CD8+Tcells,True
20,21,5.0,4,0.6026,Tumor/Epithelials,Tumor/Epithelials,True
20,21,9.0,5,0.6602,Mac_C1Q_SPP1,Bcells_CD19,False
20,21,12.0,6,0.9079,Tumor/Epithelials,Tumor/Epithelials,True
20,21,2.0,7,0.373,Plasma_XBP1,Plasma_XBP1,True
20,21,9.0,8,0.7343,Mac_C1Q_SPP1,Fibroblasts/Stromal,False
20,21,14.0,9,0.7942,Mast,Tumor/Epithelials,False
20,21,7.0,10,0.7044,Tumor/Epithelials,Fibroblasts/Stromal,False
20,21,7.0,11,0.751,Tumor/Epithelials,Endothelials,False
20,21,16.0,12,0.7316,CD8+Tcells_Ki67,CD8+Tcells_Ki67,True
20,21,10.0,13,0.5685,CD8+Tcells_Ki67,Tumor/Epithelials,False
20,21,1.0,14,0.6435,Bcells_CD19,Bcells_CD19,True
20,21,9.0,15,0.6386,Mac_C1Q_SPP1,Plasma_XBP1,False
20,21,7.0,16,0.7933,Tumor/Epithelials,CD8+Tcells_Ki67,False
20,21,9.0,17,0.7681,Mac_C1Q_SPP1,Mac_C1Q_SPP1,True
20,21,14.0,18,0.8946,Mast,Mast,True
20,21,13.0,19,0.8746,Endothelials,Endothelials,True
20,21,18.0,20,0.9385,DC_LAMP3,Tumor/Epithelials,False
20,21,20.0,21,0.8452,Mon_VCAN,Mon_VCAN,True
