GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-0.030989335542017736,-0.016062689273667004,0.7006234450725115,0.8040939207855392,-0.14088085355330718,-0.06364851582795349,-0.0074968309195536835,-0.13329357370874417,-0.14806420036751847,-0.19069511484629334,-0.09091727070993408,0.26114944205134877,-0.27246628522211896,-0.1703357686187253,-0.2022747150812167,-0.4023495958232761,-0.35630756404057157,0.04036316754518555,-0.0760533228689902
2,0.9969430399540268,0.1526482297574838,-0.040335300418562384,-0.05704625435955561,0.01845713557684216,0.12743393218391544,0.007595977397209306,0.1029404681340783,0.08068387610618723,0.08363159159905799,0.03093680509942747,-0.030531205944093875,0.015079987581149637,0.091266081525958,0.035957675051406374,0.03117580783348952,0.1407253222275002,0.0504483882168573,0.06356028541866308
3,0.234571567484699,0.6096149007577653,-0.017475826991336395,-0.022334396656082355,0.025150640116149436,0.1536137166180253,0.011408891552907943,0.09528014136418185,0.022450697596108408,0.07261999382978893,0.007399536454200813,-0.004796160173575735,0.033370117015416194,0.06465957648757813,0.03917934845715165,0.027378535882555805,0.06771692023231533,0.04599290063812536,0.04440499408104616
4,-0.007426781915835635,-0.004392526553407956,-0.056439687459704894,0.24901553945635083,0.8468435958606995,0.09559426557406316,0.05978961479803692,0.247117444419502,0.23635630085831755,0.15545257646130933,0.364843825669706,0.8674130164995194,0.28437506570887316,0.30717361135096516,0.14234384957197974,0.00721097407872421,-0.09134153800777337,0.3424604907396236,0.08203676288824857
5,0.07830340918503811,0.03416960373586833,-0.6378534783020783,-0.7431776476736272,0.2550886012902286,0.10641169780470922,0.15383639876633248,0.14521350904187477,0.20567445947010224,-0.0023985606902181184,0.07657268044795171,-0.05524657607959997,0.5807865862777388,0.20933190273546498,0.6418442778311116,0.6908143605064778,0.3728076069695162,-0.0048030631557251765,0.10343098474221453
6,0.13164813106733908,0.05788399401572023,-0.08097908830641362,-0.07672650642592636,0.12933978098259266,0.9999796235960581,0.0031775492458320353,0.2356889975646575,0.10955982451893247,0.17823049927166806,0.061956292510820236,0.05794892667368772,0.08888888423967169,0.12258819401782371,0.03841788843626368,0.11599647334705147,0.1268292497394559,0.08713645656405673,0.08238807418476525
7,0.11276233974604723,0.06251757011906582,-0.2198105494191362,-0.20083831885873926,0.2866422344555947,0.1878314999805601,-0.08542669801608223,0.8862313606747066,0.36877103331227906,0.7405724302019497,0.38158276054666534,0.024150325244151647,0.2617133472672055,0.7133179747204769,0.22089550719793077,0.21801749742884827,0.7224124181942007,0.6138229501057741,0.7816862184533795
8,0.12587349390207092,0.06921852909095381,-0.23714698095801492,-0.31366320574239964,0.28230455577152386,0.3215757533348043,-0.15257527578921984,0.790394714626443,0.22184548386205305,0.6838944551140327,0.21566429411962815,-0.13538468908009554,0.17877876491674186,0.552602300379419,0.08838617518201992,0.3385871176211112,0.6364011584933834,0.428719512278049,0.5923221281749034
9,0.06979376605943206,0.013581148126375921,-0.23011115118522335,-0.12901227802670667,0.32829030133795745,0.10780895145209173,-0.06161788759029439,0.23253744252047004,0.9554844804726389,0.164164414604227,0.9029516327623679,0.1911659460642025,0.01426239429774882,0.6930935816331553,-0.05242134948561234,0.3464780076924514,0.5525117321962945,0.39437993729807164,0.4131865713848775
10,-0.015531311732975527,0.008514462049686542,-0.14914160527739076,-0.02909735940658311,0.24405546210304296,-0.00772108978081759,0.5100483478107319,0.08234226964633679,-0.30000560324473186,0.004876962184524804,-0.03893374234638745,0.28089061272681004,0.4729033753093487,-0.1066530714989009,0.5242635482034826,0.29368573133785936,-0.3247936760447061,-0.07090447097713368,-0.335070363782978
11,0.06696659542349037,0.0363986308992596,-0.3050137810019156,-0.15894570708962408,0.2715016141020314,0.1693067862748457,0.019077057141866843,0.6787745543671176,0.16807054891010592,0.9288102788839621,0.17451742126522782,-0.07287181763641996,0.3901654918642578,0.44100658135165616,0.24409354838659778,-0.03166563765404413,0.4349042593477826,0.3754817904453888,0.22679119677541068
12,0.013447913357064807,0.004612407199512967,-0.34679850979478716,0.0193827630266002,0.9095235918259903,0.07468622018276257,0.2140650657057585,0.29004182145741125,0.383129945476614,0.25066365999213525,0.5778146410249606,0.7103352424402218,0.42034538141031613,0.4757786604868961,0.35216950773709793,0.19284067327555174,0.08779996775592791,0.3151166328694115,-0.029311147006678386
13,0.022562044935718985,0.001097243991284773,-0.12711330774518317,-0.00968583827173877,0.3440529511022636,0.07434746215260546,-0.0043412159146549376,0.19806335541864534,0.7739177828455478,0.11191086711236092,0.9031244591646587,0.24203694615917612,0.17595082144148125,0.5372419111579184,0.06847011893369567,0.432800981340548,0.31259517298067957,0.31037921775665367,0.31541386810040467
14,0.11376465863137183,0.05867404704618695,-0.14248772616402522,-0.182413109941553,0.32451705384045226,0.09705296233496467,0.14196776983687145,0.5661557017637875,0.6574375798938727,0.4805085948770528,0.5292397099751477,-0.0024216919060870163,0.03878140103153424,0.9307144090153425,0.11654400064309768,0.12604855373466495,0.8087653280325382,0.8225282976469133,0.5716606537447939
15,0.03598875773058203,0.038194046165867614,0.17328080886946318,0.09217852861204828,0.2659151269159502,0.06925473721805339,-0.1220230446175964,0.5355877927434465,0.5232826681987939,0.3170820826342567,0.4701720859783993,0.07080616596205971,-0.04401266983140099,0.8515051105421559,-0.09298416875558722,0.041541671906915885,0.6215608820504037,0.8748024112485993,0.8473634682073398
16,0.0037190282313956137,0.016503139442167396,-0.19453257531699394,-0.05664921371552281,0.3077725759404925,-0.0033012250461378003,0.6756992409945798,0.06056141476661462,-0.0419258664978412,0.029816591165903898,0.04229195723937782,0.26902439175762,0.4252670601971285,0.06684168678584591,0.5374162702235821,0.20670380684053855,-0.09482406146239147,0.05749819071559655,-0.29385408441339794
17,0.08435937170320708,0.04339038900611953,-0.08660732464368255,-0.09702633005658379,0.21287183006508179,0.06124902243350123,-0.09807951662046835,0.6526673499474244,0.5528555779788573,0.5175866140161454,0.4707912766156796,-0.012220089346876772,0.18108650845361018,0.8080923734381333,0.27921032116210814,0.05868907681387734,0.8077767033078955,0.6806371839120536,0.7987400094774458
18,0.09214677874046537,0.03834630080698367,-0.3950672549307565,-0.4125039481008696,0.18371679186703022,0.06174989060712589,-0.13819082570104094,0.4242899260586752,0.5444475672659486,0.38093728682160527,0.3216088475100238,-0.09775421324655663,0.19591494916154292,0.6293783696585465,0.2817904748353308,0.12970988972411615,0.8224131101524436,0.430874363124901,0.5829811912047042
