GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.6427832154520652,-0.06084608718377501,0.5099863113941957,0.02960960302780932,-0.03242704835430245,0.15684702096654243,0.02886281825213628,0.1057359815754278,0.13751443429768664,0.15463776838628343,0.18144725102367765,0.15703564569528963,0.12720468366997753,0.17559451554848352,0.0746261014135937,0.11608691170297102
2,-0.054187361279676556,0.7689608349924495,-0.061298584323705024,-0.45271896655462807,0.18597228345993583,-0.5066779563638442,-0.3525287142941485,-0.5614484573622212,-0.47715961493027653,-0.3902578176055963,-0.1399143914292001,-0.25655562249649466,-0.3179254855277785,-0.5089224119020881,-0.08117233528036333,-0.15791454631649662
3,0.20499589258082232,-0.05732323194743073,0.7687098671601342,0.05091433287919514,-0.03515848332382901,0.18205782996760886,0.022814583874955243,0.14159777084981257,0.16067463357462747,0.23232878031933754,0.2384126007227095,0.1706893504388768,0.12767858965311285,0.19640904022099576,0.0540104343996868,0.13073472885229556
4,0.014241195608973281,-0.35675964667359483,0.05152471860716404,0.944705123505585,0.24481614161169896,0.23639615554098875,0.17173352925634408,0.1316102934955803,0.3132239884495805,0.25269835860493983,0.09314087109361252,0.1682626203918448,0.14152580756052846,0.29527615173674326,0.004774457714779519,-0.01918488647935119
5,-0.027384480595673572,0.22821040815456997,-0.012079060429111539,0.28480114302942827,0.8274436704476191,-0.10982583051642021,0.14658149304521984,-0.16420207288060518,0.058509832476834375,0.021147743780532476,0.060102858250746814,0.08741131851241266,0.16501376726297995,-0.01932171349340336,0.2484899595167274,0.0353174286981527
6,0.13350061367779048,-0.3708667503099794,0.19437386386846847,0.18423856983235967,-0.23394924457835872,0.9111500352054488,0.4653052351391912,0.8165622224703667,0.6670270807687924,0.8067896546037163,0.4938475232727729,0.5672671309390316,0.5187810327015043,0.82418820115348,0.4021972196837216,0.5900300604667872
7,0.11791765643100816,-0.34145552059222156,0.13176807860161682,0.245932436709011,-0.0023624938240681096,0.8985608824702376,0.6712245921796608,0.765223418811429,0.65762759632186,0.595445678867123,0.49730769807017905,0.6905568893576834,0.7215816998602391,0.8572698179723205,0.5726244511794143,0.5255671863634414
8,0.1121812886667212,-0.3411370402207932,0.15553108426605647,0.2077184484901268,-0.1505291068264628,0.8258760088869858,0.5319039875990836,0.9526133477532028,0.6681405499072791,0.7945177660336536,0.4114301061324529,0.5890697521075259,0.6162543148568892,0.7993158066114835,0.456230600380591,0.5834898343092743
9,0.030126817394865165,-0.31605704422809516,0.003966350034882012,0.12749443431142898,0.12440605885372795,0.6528689283059802,0.9808618317848504,0.6115140902958828,0.3940309966402553,0.35007783585129165,0.10136125050462196,0.14241538236055495,0.37191880332798366,0.3328705243679375,0.700603444544929,0.4672036186460786
10,0.07844592777254435,-0.2240914230059301,0.16767854898636012,0.4032296512718423,0.13027775003594913,0.5755705844741924,0.36767257621951854,0.5929880914000542,0.9374730862642335,0.7847946857480783,0.450551323385414,0.6500486892629641,0.37249051819297496,0.8415475829761874,0.3731234138410264,0.3774032607935726
11,0.13513594930687758,-0.08274569333913381,0.2189461948311368,0.1235612667716397,-0.052681575936786726,0.5049993016437148,0.17990419816894082,0.3312526548164307,0.368028051350703,0.6145840333083379,0.9432899941670371,0.6377382595356418,0.5534431237511839,0.609243540060704,0.45278323353926314,0.5408188930151576
12,0.10422473348582323,-0.3951779108385962,0.1360545170105834,0.15440496312608284,-0.2807337504243841,0.8654006778037524,0.4624448489635035,0.8174266212630766,0.683498865957694,0.7439230149739378,0.45867231783308865,0.6170316463818157,0.46992985432087,0.8426061696375134,0.42129116611815487,0.35673612598454474
13,0.10216494451463774,-0.41531917244976935,0.13120717905418128,0.01906653334896552,-0.2356259857374754,0.7523844132081082,0.5389427582836418,0.7598987363618491,0.6066733982447853,0.6921508677124442,0.33598826562171613,0.3808668799923184,0.48105059065422834,0.6327405636148951,0.41343950382566624,0.5940602988843245
14,0.03862964661449492,-0.08800544101541738,0.008839269136935118,0.14083645018216592,0.37117153236906936,0.6100769114808318,0.8431716167745308,0.5378480642479179,0.38502445222421405,0.329795893647634,0.16187730545866597,0.3661318244727524,0.5097089216098946,0.4266551580312824,0.7935935813970325,0.495659430246186
15,0.06650330283440382,-0.021662293634743767,0.04300340666540811,0.04756660704512466,0.23727066623000465,0.4285068260937407,0.4628843689693187,0.2595839147486111,0.2187306642980754,0.4659131947884775,0.4373357754789929,0.40948696515048627,0.6217002239163983,0.4088852549154553,0.8568199291883798,0.707150757392074
