GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.9970509355444566,-0.06900635780873482,0.388326429398265,0.006988107014374055,0.029326655465009868,0.17198129486183872,0.15200739114931283,0.02978024261389986,0.10358023236538245,0.1531117028472992,0.1963127084277694,0.12368160328841739,0.10908922116496174,0.06762664966972197
2,-0.06273890647051192,0.975232716460271,-0.061460564459890794,0.042025621618612716,-0.526767942808238,-0.5332620768293896,-0.5151094880107905,-0.4186085142721431,-0.5348097473414466,-0.4713053768969682,-0.07041095621427605,-0.5170887565123913,-0.4091262157665295,0.09803417870128206
3,0.5071660609073934,-0.054302262327136634,0.7390382817563816,-0.0021413944551354138,0.028140288279416663,0.18018384578771848,0.11776609203468374,0.006331635022642407,0.11336871216357054,0.1294631377793651,0.18996472494642447,0.12415782506668696,0.12523230595700252,0.06743041266699573
4,0.004491477405308734,0.08758250589773468,-0.013698694007946436,0.978607574707145,0.20656181051814412,-0.1198663551623859,0.09660469939851372,0.14794311823356376,-0.049354528949859394,0.11797078480011414,0.14690728273201403,-0.051408105651955846,0.029844664503953018,0.4479200637293366
5,0.024039618048281124,-0.47156176582439313,0.05065795057794315,0.27408974343302855,0.992629369567108,0.2489239569990488,0.1993321141539403,0.0898306263571536,0.17036355785491347,0.2997573972393115,0.0633428866548786,0.26241510159376213,0.14129634439532762,-0.0047786166558340054
6,0.1660612870821505,-0.5271980174115919,0.2350204576456376,-0.0645317582401323,0.2608171975746291,0.9926335731831845,0.8068392202733994,0.5040612087190826,0.8242978670364777,0.684355763036386,0.4468905686592779,0.8132775200509761,0.7930747423272605,0.30084110052079704
7,0.16721874494027814,-0.4667539913255768,0.17319950636244655,0.16992623469363874,0.2017019994395685,0.7752526367610791,0.980372414047185,0.6435677751197969,0.7298995860258513,0.590828489439452,0.576179047628162,0.8248113091428325,0.620061246149268,0.5359743761429466
8,0.03473067922226525,-0.3345308272162862,0.019372197341524806,0.20750738714962907,0.09655807842735356,0.4385565922033294,0.6598537085257244,0.9916583761065475,0.5196607272220766,0.35135510630278216,0.2263395331713721,0.491496807901489,0.5290532867463775,0.5102781540609896
9,0.10520712142082331,-0.5215135208897327,0.15757560360596443,-0.025722241614697307,0.1798486563347144,0.8266912871635759,0.773510656106728,0.5634615579596168,0.9999838587262829,0.6811283802511047,0.42222829747593615,0.8531563211837954,0.8129919889760493,0.37638880139662306
10,0.1468748965630493,-0.4555132651833773,0.16970055922244348,0.17507421288059768,0.3518615455315441,0.7062320869346239,0.6509959387205494,0.3379858314073559,0.6976543525123192,0.9975267810048669,0.4582805377583464,0.6953660482102468,0.5583547979998527,0.2579614605409296
11,0.19930548715721874,-0.10004688870079395,0.25373010222486037,0.2298520896005294,0.06909627974517038,0.4570989887169466,0.5294167437276611,0.2119293706315379,0.424057412125745,0.4006722376776702,0.9774317977909347,0.4604103437840967,0.443100259565212,0.5495656338656943
12,0.1371209319972325,-0.5131356341554669,0.1378924963717919,0.010763498215970325,0.17799104658882736,0.7738530453480519,0.837362496890476,0.5755480027031341,0.7953588853798684,0.6169650445655296,0.48310640189170256,0.9485316491773813,0.7111294256877393,0.4776756271882266
13,0.10068137338040513,-0.43574541912348863,0.16355217558266683,-0.06345785599036448,0.17969325069100214,0.8347104012261087,0.5934188953987173,0.5346274614218097,0.8180556143737834,0.5660789489472305,0.3575403969444936,0.7197278062492684,0.9435308978323348,0.4499011661273651
