k_parent,k_child,parent_gep,child_gep,raw_sim,kl_div,penalty,gated_sim,parent_celltype,child_celltype,celltype_match
5,6,1,1,0.9975460122699388,6.27269982658241e-06,0.9999968636550051,0.997542883621496,CD4+Tcells,CD4+Tcells,True
5,6,1,2,-0.3683391875459822,6.190086575520465,0.045273052648789225,-0.016675839430381503,CD4+Tcells,Tumor/Epithelials,False
5,6,1,3,-0.3644980646889986,7.890994911783526,0.019341592387033618,-0.007049972993077223,CD4+Tcells,Tumor/Epithelials,False
5,6,1,4,-0.6121706780328395,3.04101758268148,0.21860063654203918,-0.13382089989035045,CD4+Tcells,Fibroblasts/Stromal,False
5,6,1,5,-0.559166260832768,1.110420729737623,0.5739515092619488,-0.3209343193333277,CD4+Tcells,Mac_C1Q_ZEB2,False
5,6,1,6,-0.5223790068306121,1.0613201292543775,0.5882165805535458,-0.30727199315085996,CD4+Tcells,CD8+Tcells_Ki67,False
5,6,2,1,-0.38387546259185845,6.230528426271686,0.04436678331181509,-0.017031319467535763,Tumor/Epithelials,CD4+Tcells,False
5,6,2,2,0.9972677595628415,0.0001730872871934235,0.9999134601011964,0.9971814561118488,Tumor/Epithelials,Tumor/Epithelials,True
5,6,2,3,0.8010859161436896,1.3646400556191305,0.505442989241044,0.4049032600945668,Tumor/Epithelials,Tumor/Epithelials,True
5,6,2,4,0.6809665013189694,2.1533824011682228,0.3407210401458345,0.23201961463386903,Tumor/Epithelials,Fibroblasts/Stromal,False
5,6,2,5,0.09833609822371833,3.6055450675091,0.16484122620925976,0.01620984301183194,Tumor/Epithelials,Mac_C1Q_ZEB2,False
5,6,2,6,0.8345629388723464,3.656208052242212,0.16071799621248276,0.13412928324876425,Tumor/Epithelials,CD8+Tcells_Ki67,False
5,6,3,1,-0.3658709387556238,7.928132049043858,0.018985760569075156,-0.006946338042397034,Tumor/Epithelials,CD4+Tcells,False
5,6,3,2,0.7851511149184083,1.389269402480028,0.4992567925652224,0.39199202731317284,Tumor/Epithelials,Tumor/Epithelials,True
5,6,3,3,0.9969278033794163,8.497700962907203e-05,0.9999575123978092,0.9968854463074933,Tumor/Epithelials,Tumor/Epithelials,True
5,6,3,4,0.7124612538170634,3.1035449102577894,0.2118721070188639,0.1509506670155228,Tumor/Epithelials,Fibroblasts/Stromal,False
5,6,3,5,0.0329287820852485,4.778783146517261,0.09168545079079948,0.0030190902294780107,Tumor/Epithelials,Mac_C1Q_ZEB2,False
5,6,3,6,0.8273356498918686,4.640947020819714,0.09822706305388912,0.08126675104865891,Tumor/Epithelials,CD8+Tcells_Ki67,False
5,6,4,1,-0.6367558458253231,3.0485673144131535,0.21777700399014632,-0.13867078037705038,Fibroblasts/Stromal,CD4+Tcells,False
5,6,4,2,0.6511336831659479,2.17089752826414,0.33775018171284493,0.2199205198086529,Fibroblasts/Stromal,Tumor/Epithelials,False
5,6,4,3,0.6890793207767351,3.129785969917895,0.20911038993289982,0.1440936454623208,Fibroblasts/Stromal,Tumor/Epithelials,False
5,6,4,4,0.9975369458128076,5.6397383646137884e-05,0.9999718017057563,0.9975088169724906,Fibroblasts/Stromal,Fibroblasts/Stromal,True
5,6,4,5,0.3046692242925828,1.364575326674059,0.5054593479015059,0.15399790743658656,Fibroblasts/Stromal,Mac_C1Q_ZEB2,False
5,6,4,6,0.621623497951802,1.3959467741117833,0.497592710462829,0.30931532123322203,Fibroblasts/Stromal,CD8+Tcells_Ki67,False
5,6,5,1,-0.5567137772326243,1.1145485396662331,0.5727681494838365,-0.318867919977687,Mac_C1Q_ZEB2,CD4+Tcells,False
5,6,5,2,0.10609947439927504,3.6009342215025777,0.16522169336439962,0.01752993482532099,Mac_C1Q_ZEB2,Tumor/Epithelials,False
5,6,5,3,0.03567284725901921,4.773430119605584,0.09193117683137993,0.0032794468294477016,Mac_C1Q_ZEB2,Tumor/Epithelials,False
5,6,5,4,0.2923841749259464,1.3662907100198791,0.5050260054914697,0.14766161193176985,Mac_C1Q_ZEB2,Fibroblasts/Stromal,False
5,6,5,5,1.0,7.017494315453239e-06,0.9999964912589979,0.9999964912589979,Mac_C1Q_ZEB2,Mac_C1Q_ZEB2,True
5,6,5,6,0.38480392156862747,0.0650652612270243,0.9679908631802232,0.3724866801943506,Mac_C1Q_ZEB2,CD8+Tcells_Ki67,False
6,7,1,1,0.9950920245398773,0.0010232455976606253,0.9994885080577964,0.9945830429875742,CD4+Tcells,CD4+Tcells,True
6,7,1,2,-0.3553922916744187,6.203613480788239,0.044967883662909026,-0.01598123922670989,CD4+Tcells,Tumor/Epithelials,False
6,7,1,3,-0.385047735600674,7.234257607714081,0.02685968531088938,-0.010342261007904642,CD4+Tcells,Tumor/Epithelials,False
6,7,1,4,-0.8105458298474991,1.1860488559008275,0.5526532945083152,-0.4479508232151967,CD4+Tcells,Fibroblasts/Stromal,False
6,7,1,5,-0.523605248630684,1.115406089949489,0.5725226133830715,-0.29977584532713214,CD4+Tcells,Mac_C1Q_ZEB2,False
6,7,1,6,-0.35315763842069553,0.5635361531892761,0.7544486385417613,-0.2664392994971173,CD4+Tcells,Endothelials,False
6,7,1,7,-0.5971797566349957,1.2463266121575518,0.5362454433213932,-0.320234923339295,CD4+Tcells,Tumor/Epithelials,False
6,7,2,1,-0.34891884373863696,6.236728730625417,0.04422945251512445,-0.015432489430770172,Tumor/Epithelials,CD4+Tcells,False
6,7,2,2,0.989071038251366,0.002021884933925402,0.9989895683632186,0.9880716495832926,Tumor/Epithelials,Tumor/Epithelials,True
6,7,2,3,0.8938415078557025,0.4630732521041019,0.7933136390243798,0.7090966593080461,Tumor/Epithelials,Tumor/Epithelials,True
6,7,2,4,0.6521235987467637,3.042798512916752,0.21840606694208295,0.14242775036239771,Tumor/Epithelials,Fibroblasts/Stromal,False
6,7,2,5,0.055637529258156425,3.6811353076777,0.15872729836841337,0.008831194707040723,Tumor/Epithelials,Mac_C1Q_ZEB2,False
6,7,2,6,0.7103489200634391,2.9613076213665903,0.22748890507458533,0.1615964980461459,Tumor/Epithelials,Endothelials,False
6,7,2,7,0.7103489200634391,3.44924283609488,0.17824051764460713,0.12661295922039503,Tumor/Epithelials,Tumor/Epithelials,True
6,7,3,1,-0.3342948352232435,7.937155440073857,0.018900295539335314,-0.006318271182992703,Tumor/Epithelials,CD4+Tcells,False
6,7,3,2,0.7503842758814308,1.404998893968111,0.4953456650025973,0.37169959814397974,Tumor/Epithelials,Tumor/Epithelials,True
6,7,3,3,0.9448481162683381,0.648203724965581,0.7231765740665571,0.6832920237361768,Tumor/Epithelials,Tumor/Epithelials,True
6,7,3,4,0.6462273484230019,3.9869272667711813,0.1362227816112911,0.0880308869554703,Tumor/Epithelials,Fibroblasts/Stromal,False
6,7,3,5,-0.03841691243278992,4.887659240437992,0.08682769683792986,-0.0033356520261635814,Tumor/Epithelials,Mac_C1Q_ZEB2,False
6,7,3,6,0.7312933688098938,3.8788706148953134,0.14378512124418902,0.10514910569940202,Tumor/Epithelials,Endothelials,False
6,7,3,7,0.7779424767639959,4.350307183026993,0.11359070576245556,0.08836703497821498,Tumor/Epithelials,Tumor/Epithelials,True
6,7,4,1,-0.6023366109158461,3.0678458111173392,0.21568788232050518,-0.12991670805254893,Fibroblasts/Stromal,CD4+Tcells,False
6,7,4,2,0.6213008650129264,2.1687147048409443,0.338119007450514,0.21007363180631644,Fibroblasts/Stromal,Tumor/Epithelials,False
6,7,4,3,0.7528939317115863,2.5659774531482835,0.27720756353075626,0.2087078924068604,Fibroblasts/Stromal,Tumor/Epithelials,False
6,7,4,4,0.8918945840178029,1.0480596666595114,0.5921295501478452,0.5281171388137611,Fibroblasts/Stromal,Fibroblasts/Stromal,True
6,7,4,5,0.2604430465726918,1.4010287541742943,0.4963299373722731,0.1292656809944681,Fibroblasts/Stromal,Mac_C1Q_ZEB2,False
6,7,4,6,0.6781347250383295,1.662963522193197,0.4354036439148969,0.29526233034691535,Fibroblasts/Stromal,Endothelials,False
6,7,4,7,0.6412795769384203,1.3428691757507834,0.5109750131723756,0.3276778402732848,Fibroblasts/Stromal,Tumor/Epithelials,False
6,7,5,1,-0.5591662608327679,1.121366704287663,0.5708188602488755,-0.319182647698186,Mac_C1Q_ZEB2,CD4+Tcells,False
6,7,5,2,0.12680181086742628,3.602622553289471,0.16508227769925782,0.020932731754385234,Mac_C1Q_ZEB2,Tumor/Epithelials,False
6,7,5,3,0.07165459747107923,4.082049491144238,0.12989553278119187,0.00930761211472768,Mac_C1Q_ZEB2,Tumor/Epithelials,False
6,7,5,4,0.49754901960784315,0.07788889884406765,0.961804136438064,0.4785447051395269,Mac_C1Q_ZEB2,Fibroblasts/Stromal,False
6,7,5,5,0.9779411764705883,0.002758706557565206,0.9986215975917055,0.976593179997771,Mac_C1Q_ZEB2,Mac_C1Q_ZEB2,True
6,7,5,6,0.32598039215686275,0.7137137869406625,0.6998726469141493,0.22814475990093594,Mac_C1Q_ZEB2,Endothelials,False
6,7,5,7,0.4264705882352942,0.062360733992188985,0.9693007274477876,0.4133782514115566,Mac_C1Q_ZEB2,Tumor/Epithelials,False
6,7,6,1,-0.5101165888298935,1.0693630170569277,0.5858558505262137,-0.2988547880164681,CD8+Tcells_Ki67,CD4+Tcells,False
6,7,6,2,0.8138606024041953,3.6547643769642297,0.16083405039251064,0.13089649713955542,CD8+Tcells_Ki67,Tumor/Epithelials,False
6,7,6,3,0.878432287515823,4.129033291611962,0.1268796035373662,0.11145514037442929,CD8+Tcells_Ki67,Tumor/Epithelials,False
6,7,6,4,0.7254901960784315,0.05159520075587515,0.974532314621109,0.7070136400192361,CD8+Tcells_Ki67,Fibroblasts/Stromal,False
6,7,6,5,0.3186274509803922,0.06257137753180683,0.9691986443555761,0.3088132935446689,CD8+Tcells_Ki67,Mac_C1Q_ZEB2,False
6,7,6,6,0.786764705882353,0.46392766044029743,0.7929748045120909,0.6238845888440716,CD8+Tcells_Ki67,Endothelials,False
6,7,6,7,0.8995098039215688,0.005605083421021845,0.9972013817434384,0.8969924193623577,CD8+Tcells_Ki67,Tumor/Epithelials,False
7,8,1,1,-0.39262041603583203,5.715971694301166,0.057384224544457164,-0.022530218114538376,CD4+Tcells,Tumor/Epithelials,False
7,8,1,2,0.9625998130564097,0.2023544363646367,0.9037728537105889,0.8699715800272708,CD4+Tcells,CD4+Tcells,True
7,8,1,3,-0.3553922916744187,6.377496159476323,0.04122344711640859,-0.014650495341419656,CD4+Tcells,Tumor/Epithelials,False
7,8,1,4,-0.10079918794918243,1.869513604908442,0.392681353061219,-0.039581961511357074,CD4+Tcells,Plasma_XBP1,False
7,8,1,5,-0.7283876292426846,1.1577586510669706,0.5605261820913633,-0.40828033690198146,CD4+Tcells,Fibroblasts/Stromal,False
7,8,1,6,-0.5309626994311152,1.100565224068281,0.576786780459172,-0.30625226594878396,CD4+Tcells,Mac_C1Q_ZEB2,False
7,8,1,7,-0.279583130416384,0.6331643725611426,0.7286351252880622,-0.20371408925937057,CD4+Tcells,Endothelials,False
7,8,1,8,-0.5775598878338459,1.237124037964981,0.5387185479290021,-0.3111422241158868,CD4+Tcells,Tumor/Epithelials,False
7,8,2,1,0.9693396122440273,0.4442672991608726,0.8008083294849916,0.776255235584769,Tumor/Epithelials,Tumor/Epithelials,True
7,8,2,2,-0.280775438349301,4.2411536590479555,0.11996241068968104,-0.03368249844683407,Tumor/Epithelials,CD4+Tcells,False
7,8,2,3,0.8107923497267759,0.9198619291836857,0.6313272279354045,0.5118752865842385,Tumor/Epithelials,Tumor/Epithelials,True
7,8,2,4,0.34761718543520725,2.889965854517209,0.2357501014220212,0.08195078672238766,Tumor/Epithelials,Plasma_XBP1,False
7,8,2,5,0.6055433416934235,3.1227890016103146,0.20984324050405787,0.12706917708660395,Tumor/Epithelials,Fibroblasts/Stromal,False
7,8,2,6,-0.019408440438891776,3.7906587306687882,0.15026883355019813,-0.0029164837057807625,Tumor/Epithelials,Mac_C1Q_ZEB2,False
7,8,2,7,0.687058791536769,2.916709489880608,0.23261867712428083,0.15982270719389022,Tumor/Epithelials,Endothelials,False
7,8,2,8,0.6676503510978772,3.4822479221337095,0.1753232333451898,0.117054618298531,Tumor/Epithelials,Tumor/Epithelials,True
7,8,3,1,0.8552222057299633,0.9093454171968604,0.6346556512975144,0.5427716059816468,Tumor/Epithelials,Tumor/Epithelials,True
7,8,3,2,-0.30519550774718934,4.9233667947813835,0.08529125097981603,-0.026030506649177915,Tumor/Epithelials,CD4+Tcells,False
7,8,3,3,0.9582877607731982,0.454167511353866,0.7968540384456839,0.7636154721651944,Tumor/Epithelials,Tumor/Epithelials,True
