GEP,1,2,3,4,5,6,7,8,9,10,11
1,0.9947851341459207,-0.0772650787877983,0.29097164861005964,0.06809229584518262,0.07755985154275619,0.21924731824364108,0.1885119716160598,0.06081515617004691,0.27337417200712444,0.18785700529317417,0.14626943875238765
2,0.4232522538009526,-0.04734001084343663,0.46353579398686484,-0.0015288653353317562,0.04045188484734068,0.21467173983664178,0.17420136115896245,0.036039463514337435,0.2658821643738583,0.14151169124663002,0.13142345598784272
3,-0.07813911896181672,0.9999886003045164,-0.12801828592902104,0.07639567375688812,-0.4916032413132255,-0.4502383423805329,-0.5319289297286995,-0.3911444720633831,-0.07063795161877173,-0.4436941218980718,-0.5097759413056393
4,0.05999804326823705,0.07683544591283231,-0.030124046124438756,0.9999862445368919,0.25824468030876974,0.024752539678840255,-0.1110007809533251,0.16394067551267022,0.1957968993523117,-0.09772616027048234,-0.07629570826817773
5,0.06563418041193914,-0.4619339962844914,0.08005292117762393,0.26235400850211094,0.9950767312085037,0.2099700275435103,0.22441549963177568,0.09171846852374461,0.1380446981757452,0.19441011748649203,0.19149352722412447
6,0.22388274845016595,-0.42028373744706193,0.4114280016806817,0.026591184209714534,0.20763772370841857,0.9975385389390592,0.8851550798054735,0.495378203352388,0.645211540309829,0.5877814161555088,0.8184440924097086
7,0.19634859671309599,-0.5451450453452277,0.40357264899215717,-0.14327581228869438,0.2240726470493353,0.8726208713324479,0.9950465051964891,0.5002217101876368,0.45272263512610456,0.7432470324763484,0.891652018690768
8,0.0656398632402903,-0.37000158353711876,0.15725293128759507,0.1812346360236707,0.07760185715138601,0.5142125349704957,0.46246061023219004,0.9975445212166099,0.18893737374928535,0.3647442820927389,0.5238948595941331
9,0.2730684847210654,-0.07507021558676237,0.2839772436517394,0.16492950335498338,0.15882380942940585,0.6484124117406667,0.48007613408861693,0.16119500282819754,0.9975346151944064,0.39968881478690343,0.4672633791128241
10,0.182239292228524,-0.4499864481160074,0.3578834777108288,0.02281998341729015,0.23675141385712237,0.8596549422488675,0.8679644968420251,0.47530218286091863,0.5712432063005748,0.646159968438042,0.9606059602143513
