GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.9918754968181297,-0.07388001332590634,0.38334479821002226,0.025535459724613276,-0.015222364255716221,0.17167122927473036,0.14404531245590715,0.1365127230724546,0.028436203837787093,0.1639861590199741,0.20921444137657785,0.12961683888061654,0.14582651671397487,0.03534725623712832,0.07268005471455724
2,-0.07376577334638258,0.9950659594216791,-0.06644650283031442,-0.4892593889036174,0.12450307537822071,-0.49240003342128086,-0.5012333349904743,-0.575035899513451,-0.4418553048846914,-0.4313295441067126,-0.10232768611931548,-0.5277050646499879,-0.6106807150912649,-0.23162983302155055,0.03348858569818976
3,0.3852273970795868,-0.07095188330222955,0.9999377200879461,0.05663620899880751,-0.009281192677375533,0.24060351480158024,0.16223232246533234,0.19587255390665717,0.0157945942556166,0.19397198027558368,0.2891776907804678,0.15565536975784744,0.18161552712440185,0.00889961423419888,0.06276308724738475
4,0.011345572871305111,0.03584210782412202,0.0025512000048770827,0.28096883833662617,0.924347499029596,-0.05167746114561634,0.12467661968474945,-0.027556299612185496,0.16216468198599876,0.21350397830183737,0.13019833079950088,-0.09462755420091562,-0.08025909503243434,0.3527558541341078,0.3259038497411583
5,0.030770487669948474,-0.509060161722359,0.0528943950169967,0.9969979780633821,0.17881535764894155,0.2228682419114965,0.26341043299571626,0.22743314314147828,0.11132986597775388,0.34474291958824876,0.07692636124819026,0.1907594359694963,0.08377848937667583,0.12942551728841112,-0.14070637812265158
6,0.17348012150811265,-0.5294937776572685,0.24479141158536735,0.2818255951632804,-0.14658763636231328,0.9901401675305971,0.7897121244707971,0.8834510000464213,0.45956809647048497,0.7341173333205734,0.5398246110934559,0.8544969940539728,0.788140741394671,0.38122432134701173,0.2623072150754523
7,0.15652683201565604,-0.508817497147455,0.15890179680876723,0.22746898552445818,0.07091166765806026,0.7971757470258585,0.990035489507475,0.7831790255348773,0.6526778508542975,0.6646707276845805,0.5064350173765987,0.8072192021598865,0.661512183029358,0.6726231099701785,0.5096150112715901
8,0.033227380874411724,-0.3818054654469298,0.01682516337668439,0.12057889806451956,0.11997785106418936,0.470274956098659,0.6857922132727785,0.5468106306107514,0.9893133315585125,0.3453633390944306,0.16992613570319537,0.47204362145379847,0.5565659175433793,0.8518614482844896,0.484778548332108
9,0.11215525453943943,-0.5262332399417589,0.15720337701144016,0.18906727256703035,-0.07898747908730744,0.8070747910565272,0.7784249414696676,0.9531360153700127,0.5793343841135412,0.7211479438992409,0.42423253097692487,0.8359704870060043,0.7152897609661936,0.5325566634798208,0.37419413059865175
10,0.14120495344028428,-0.46047537476056116,0.16680923245014007,0.32973144954959754,0.12467470933450239,0.6602521564909821,0.6464190440963362,0.6393358845421181,0.3339693043561574,0.9478333678789848,0.4009489052048154,0.6967244289320914,0.5518526968523849,0.3536533925171819,0.29226979118287
11,0.19066488723191896,-0.11612007406813137,0.24656913657559854,0.05766004331502608,0.114398498773925,0.47628908087832716,0.5406645439520851,0.416292864028501,0.1778418742170698,0.4973693981255927,0.943364788449635,0.46271744996789976,0.36701197692230014,0.22013810958859942,0.5372752387271789
12,0.13034251449351045,-0.522477082528304,0.1471793178765664,0.262033408236711,-0.13278997690188626,0.8110307372593983,0.8562391629852099,0.8191423088991858,0.5053753490044052,0.7138130949906064,0.4473104565893489,0.9800448483939113,0.6198132685054509,0.5239906662981226,0.3293008022977811
13,0.11895234324197748,-0.4356765234457992,0.16870656973283918,0.1506735680512605,-0.07306842876132075,0.7906386469720635,0.5788280729212244,0.8400851943965626,0.5767839419844818,0.6058690119284195,0.4967984927564603,0.68824216030415,0.8229710027881352,0.494580076141547,0.5037393232172308
14,0.07687871181797053,0.06451365981633873,0.07333516021328589,-0.01432356710765811,0.27948287404294747,0.3491189623945811,0.4295151360829287,0.3160302077371324,0.4496998718599455,0.317846917799895,0.5266016667806659,0.32179477472950313,0.23807336557076492,0.5510480460017455,0.9424286795671686
