GEP,1,2,3,4,5,6,7,8,9,10,11,12
1,-0.06781314487867306,0.29883455421539445,0.10502058603082762,0.1707984615971728,0.10075974581656326,0.35590909164104156,0.2309078792256317,0.01919741878799905,0.20131106103691448,0.20057678430749132,0.06938424399708629,0.06309016053632081
2,0.8370882114541311,-0.05031216088082055,-0.04726161470686896,-0.10436311633819473,-0.5243018090917689,-0.2396227634669326,-0.4549230472666406,-0.23169657405955105,-0.3717859450173347,-0.45747382823722604,-0.4374288564180265,-0.08139198577381253
3,-0.08860154579218361,0.41545619778664006,0.004909082795335095,0.27966016779794384,0.11486129935957555,0.3226609870929526,0.49180752348354373,0.10163120084440391,0.42774886825957636,0.41788086160745824,0.08158677500209018,0.12330123466941006
4,0.1568002636367503,0.002710968609723441,0.966725959050166,-0.021729325272344946,0.15733866227205415,0.1460519052536816,-0.03486495697165475,-0.2508477567795496,-0.05973531520275801,-0.04637864672641626,0.06619523703711344,0.2859954510340431
5,-0.4141757073959885,0.040554944946322426,0.2745914250861703,0.1206816893264872,0.9406500255633686,0.16042595937299042,0.2605445338651269,-0.08253704190458347,0.22447902162998215,0.2271506409945087,0.14827139029234102,-0.06235091836374006
6,-0.36816369563665247,0.21494602641537253,0.08614339717834703,0.2636422983871837,0.2803644737725364,0.6970520795248968,0.8764681401658475,0.23740356957532036,0.812702300035662,0.8097340659354142,0.3226055396571345,0.4613176326464905
7,-0.4285758600434128,0.1818906594376383,-0.04130099552609982,0.2573854825909495,0.34701446715283246,0.5221124252796578,0.830118551479453,0.21695319796886478,0.8713661064414638,0.8187714078321829,0.45935144620323204,0.34432155681077337
8,-0.26677203541725564,0.016523854054020463,0.1802841705396138,0.13718449200152105,0.02525992787231983,0.17551927395223696,0.4529768942843009,-0.17796299187025513,0.4470121621881341,0.4776620648233404,0.5995799357481728,0.8891061377531978
9,-0.06728898879919074,0.23058557911155958,0.2247969906236647,0.09014526372329494,0.1657366049700436,0.9174072828755324,0.5279588415637989,0.09584246758568578,0.5180880805460956,0.5292727212291736,0.04973811493993431,0.28313416795847934
10,-0.35259060830525474,0.10367761381937933,-0.022202188113663517,0.17636032815034608,0.31283477566565676,0.42298195459995513,0.783430302742293,0.15242737943615367,0.7291146399303011,0.8460629346632247,0.3528888541088944,0.32254962469977194
11,-0.4103223718128124,0.12120471750806298,0.007339327667957007,0.18001269118104732,0.3053066019596978,0.5059913363472479,0.8048394567796969,0.07478550610208587,0.9520480870705602,0.8796465240262998,0.41465692283269784,0.4684617070329234
