GEP,1,2,3,4,5,6,7,8
1,-0.022530218114538376,0.8699715800272708,-0.014650495341419656,-0.039581961511357074,-0.40828033690198146,-0.30625226594878396,-0.20371408925937057,-0.3111422241158868
2,0.776255235584769,-0.03368249844683407,0.5118752865842385,0.08195078672238766,0.12706917708660395,-0.0029164837057807625,0.15982270719389022,0.117054618298531
3,0.5427716059816468,-0.026030506649177915,0.7636154721651944,0.03273217803837397,0.123568253645989,-0.010550680062928391,0.16318440173098608,0.10934860503952282
4,0.1910702206120475,-0.5460201033954277,0.1501192009875034,0.17396295800834705,0.9726594066692889,0.3880224507873878,0.5621714175713707,0.7422627613886159
5,0.044673160566071665,-0.3048437584702732,-0.007551011138023591,0.1864351538606642,0.4218306398534785,0.9669488545913176,0.11231956088859592,0.34192347324480576
6,0.2143299415279572,-0.2643881105418123,0.1675236471346927,0.28198062545216473,0.5663866774299144,0.1356890565345438,0.9258203455927978,0.5246926406716865
7,0.1536697878383082,-0.3926305369584247,0.13111578622600337,0.08890046991724683,0.7568324822688479,0.24278651670301643,0.5475819099429785,0.9852125247070506
