K,GEP,Top_CellType,NES
13,4,Mac_CXCL9,1.268
13,5,cDC2_CD1C,1.214
13,6,DC_pDC,1.252
13,7,Mac_IL1B,1.3
13,8,Mac_SPP1,1.321
13,9,Mono_TIL,1.299
13,10,mregDC_LAMP3,1.313
13,11,Mast,1.253
13,12,Mast,1.176
13,13,Mac_SPP1,1.152
14,1,Mono_CD14_ID1,1.806
14,2,Mono_CD16,1.954
14,3,cDC2_CD1C,1.255
14,4,Mac_CXCL9,1.257
14,5,cDC2_CD1C,1.294
14,6,cDC2_CD1C,1.202
14,7,DC_pDC,1.238
14,8,Mac_SPP1,1.305
14,9,Mac_IL1B,1.253
14,10,Mono_TIL,1.289
14,11,mregDC_LAMP3,1.286
14,12,Mast,1.236
14,13,Mac_SPP1,1.158
14,14,Mast,1.181
15,1,Mono_CD14_ID1,2.172
15,2,Mono_CD16,2.055
15,3,Mac_CXCL9,1.392
15,4,DC_pDC,1.444
15,5,Mac_IL1B,1.251
15,6,Mono_TIL,1.304
15,7,Mac_CXCL9,1.102
15,8,mregDC_LAMP3,1.401
15,9,mregDC_LAMP3,1.183
15,10,Mast,1.427
15,11,Mac_IL1B,1.099
15,12,DC_pDC,1.127
15,13,Mast,1.267
15,14,Mac_IL1Bint,1.073
15,15,Mac_SPP1,1.132
16,1,Mac_CXCL9,2.542
16,2,DC_pDC,1.469
16,3,DC_pDC,1.534
16,4,DC_pDC,1.113
16,5,Mast,1.52
16,6,Mast,1.282
16,7,Mast,1.26
16,8,cDC2_CD1C,1.747
16,9,DC_pDC,1.01
16,10,Mac_SPP1,1.391
16,11,Mast,1.014
16,12,mregDC_LAMP3,1.19
16,13,cDC2_CD33,1.013
16,14,Mast,1.09
16,15,Mac_SPP1,1.086
16,16,Mac_SPP1,1.048
17,1,Mac_CXCL9,2.527
17,2,DC_pDC,2.39
17,3,Mono_TIL,1.977
17,4,Mast,1.443
17,5,Mast,1.462
17,6,Mast,1.163
17,7,cDC1_CLEC9A,1.657
17,8,cDC2_CD1C,1.016
17,9,mregDC_LAMP3,1.012
