GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.979,1.0,1.0,1.0,1.0
2,1.0,0.0,1.0,0.996,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,0.0,1.0,0.999
5,1.0,0.002,0.0,0.0,0.242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.997
6,0.482,0.0,0.324,0.0,0.0,0.342,1.0,1.0,1.0,1.0,1.0,1.0,0.842,0.001,0.0,1.0,0.0
7,1.0,0.0,1.0,0.072,0.011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956,0.032,1.0,0.969
9,1.0,0.0,0.192,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988,0.789,0.001,1.0,1.0
10,0.031,0.0,0.322,0.0,0.043,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.002,0.0,1.0,0.0
11,0.874,0.631,0.992,0.986,0.998,0.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.073,0.0,1.0,0.0
12,0.003,0.0,0.0,0.0,0.0,0.891,1.0,1.0,1.0,1.0,1.0,1.0,0.243,0.004,0.0,1.0,0.0
13,1.0,0.858,1.0,0.999,0.555,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.729,0.324,0.999,0.896
14,0.0,0.015,0.999,0.702,0.004,0.921,1.0,1.0,1.0,1.0,1.0,1.0,0.998,0.002,0.0,0.153,0.0
15,0.881,0.042,0.033,0.066,0.023,0.015,1.0,0.997,0.999,1.0,1.0,1.0,0.478,0.084,0.039,0.705,0.021
16,0.045,0.042,0.027,0.0,0.022,0.064,1.0,0.996,1.0,0.893,0.992,1.0,0.063,0.41,0.041,0.863,0.049
17,0.048,0.044,1.0,0.104,0.0,0.009,1.0,0.218,0.99,0.984,0.459,0.953,0.967,0.077,0.044,0.795,0.015
18,0.0,0.0,0.0,0.0,0.0,0.001,1.0,0.984,1.0,0.999,0.958,1.0,0.978,0.454,0.0,0.981,0.0
19,0.057,0.047,0.962,0.278,0.0,0.008,1.0,0.659,1.0,0.979,0.974,0.992,0.999,0.103,0.036,0.057,0.019
20,0.001,0.0,0.678,0.789,0.0,0.691,0.965,0.309,0.649,0.948,0.003,0.873,0.314,0.022,0.0,0.007,0.0
