GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.7115294117647059,0.0
2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.07952941176470588,1.0,0.0,1.0
3,1.0,0.00625,1.0,0.02383333333333333,0.013000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7491428571428571
4,1.0,0.0,1.0,0.0,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016,1.0,1.0
5,1.0,0.0,0.10457142857142858,0.0006666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
6,1.0,0.04239999999999999,0.0,0.0,0.7856666666666665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.00425,1.0,1.0
7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.0,0.10400000000000001,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1282,1.0,1.0
9,0.06385714285714286,0.0,0.9515555555555555,0.004166666666666667,0.173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016,0.0,1.0,0.0
11,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,0.1522,0.1865,0.09912499999999999,0.12749999999999997,0.083,1.0,1.0,1.0,1.0,1.0,1.0,0.6204444444444445,0.11000000000000001,0.056,0.6271,0.24299999999999997
