GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6967058823529412,0.0
2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
3,1.0,0.024249999999999997,1.0,0.20700000000000002,0.0422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.18766666666666665
4,1.0,0.0,1.0,0.0,0.0006666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02775,1.0,1.0
5,0.2287272727272727,0.0002,0.0,0.0,0.0,1.0,1.0,1.0,0.0016666666666666663,1.0,1.0,1.0,0.003875,0.0047777777777777775,0.0,0.20049999999999998,0.004285714285714286
6,1.0,0.0,0.08885714285714286,0.00016666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6935,0.0,0.0,1.0,0.0
7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.0,0.124,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18039999999999998,1.0,1.0
9,1.0,0.09899999999999999,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.10200000000000001,1.0,1.0
10,0.0852857142857143,0.0,0.7012222222222222,0.0036666666666666666,0.16975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0009999999999999998,0.0,1.0,0.0005
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013999999999999999,0.0,1.0,0.0
12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.09425,0.18,0.10600000000000001,0.1855,0.056999999999999995,0.12333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.5606,0.2637777777777778,0.2303333333333333,1.0,0.1448
14,0.9904545454545454,0.14679999999999999,0.182,0.10425000000000001,0.11442857142857144,0.07999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.5867777777777777,0.12533333333333332,0.053,0.6143,0.23966666666666664
