GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,0.0,0.0,0.0,1.0,0.3531428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.009058823529411765,1.0,1.0,1.0,0.0,0.0
2,1.0,0.0,1.0,0.026,0.021333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015,1.0,1.0
4,1.0,0.13049999999999998,0.0,0.0,0.0048000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.002,1.0,1.0
5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024,0.25066666666666665,1.0,1.0
6,1.0,1.0,1.0,1.0,0.9355,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
