k	gep	program_class	top_identity_label	second_identity_label	top_identity_nes	second_identity_nes	top_identity_fdr	second_identity_fdr	nes_gap	runner_up_ratio	n_significant_identity_sets	significant_identity_sets	classification_reason
5	4	identity_supported	Mac_IL1B	Mono_TIL	1.360238756347714	1.2193340265549992	0.0	0.0	0.14090472979271484	0.0	1	Mac_IL1B:NES=1.360,q=0	single significant identity (Mac_IL1B); no competitor set
5	5	non_identity_unresolved	Mast	cDC2_CD1C	1.2548338661059304	1.0381037640958493	0.0	0.9125	0.21673010201008114		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
6	1	identity_ambiguous	Mono_CD14_ID1	cDC2_CD33	2.326572227758878	2.033569000205186	0.0	0.0	0.293003227553692	0.8740622689217201	5	Mono_CD14_ID1:NES=2.327,q=0; cDC2_CD33:NES=2.034,q=0; Mono_CD16:NES=1.789,q=0; Mono_CD14_THBS1:NES=1.621,q=0; Mono_CD14_IL1B:NES=1.381,q=0	5 significant sets, top two near-tied (runner_up_ratio=0.874 > 0.8)
6	2	identity_ambiguous	cDC2_CD1C	mregDC_LAMP3	1.3800473636571902	1.3678883270600037	0.0	0.0	0.012159036597186423	0.991189406307792	3	cDC2_CD1C:NES=1.380,q=0; mregDC_LAMP3:NES=1.368,q=0; cDC1_CLEC9A:NES=1.336,q=0	3 significant sets, top two near-tied (runner_up_ratio=0.991 > 0.8)
6	3	non_identity_unresolved	Mac_CXCL9	Mac_SPP1	1.2887665203921246	1.2271629838951115	0.0	0.0	0.06160353649701311		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
6	4	identity_supported	Mac_IL1B	Mono_TIL	1.3552137471930392	1.219526005417659	0.0	0.0	0.13568774177538012	0.0	1	Mac_IL1B:NES=1.355,q=0	single significant identity (Mac_IL1B); no competitor set
6	5	identity_supported	DC_pDC	cDC1_CLEC9A	1.3027596713777	1.0751510899039143	0.0	0.024	0.22760858147378582	0.0	1	DC_pDC:NES=1.303,q=0	single significant identity (DC_pDC); no competitor set
6	6	non_identity_unresolved	Mast	Mac_SPP1	1.2587499885965259	1.042769485608366	0.0	0.9355	0.21598050298815985		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
7	1	identity_supported	Mono_CD14_ID1	Mono_CD16	2.301713502236851	1.7767476937814333	0.0	0.0	0.5249658084554178	0.7719239132301889	5	Mono_CD14_ID1:NES=2.302,q=0; Mono_CD16:NES=1.777,q=0; cDC2_CD33:NES=1.707,q=0; Mono_CD14_THBS1:NES=1.653,q=0; Mono_CD14_IL1B:NES=1.387,q=0	Mono_CD14_ID1 dominates 5 significant sets (runner_up_ratio=0.772 <= 0.8)
7	2	identity_ambiguous	cDC2_CD1C	cDC1_CLEC9A	1.3586803371782599	1.3417202390626677	0.0	0.0	0.01696009811559218	0.987517227083145	2	cDC2_CD1C:NES=1.359,q=0; cDC1_CLEC9A:NES=1.342,q=0	2 significant sets, top two near-tied (runner_up_ratio=0.988 > 0.8)
