NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGHA1	7	0.002989398315548897	0.24898116	Yes	
row_1	IGHG1	38	0.0011355571914464235	0.33806604	Yes	
row_2	IGHA2	53	8.4631924983114E-4	0.40613958	Yes	
row_3	IGHD	55	8.314332226291299E-4	0.47557828	Yes	
row_4	IGHG3	86	5.153781967237592E-4	0.5127179	Yes	
row_5	IGHE	225	5.5032251111697406E-5	0.48959973	No	
row_6	TREM2	956	-3.971072510466911E-5	0.34625116	No	
row_7	C4BPB	1210	-5.605675687547773E-5	0.30011255	No	
row_8	C7	1598	-8.306484232889488E-5	0.22931227	No	
row_9	C1QB	2015	-1.1033157352358103E-4	0.15496899	No	
row_10	C1QA	2103	-1.160259562311694E-4	0.14720675	No	
row_11	SERPING1	2144	-1.2020314170513302E-4	0.14923781	No	
row_12	C1QC	2148	-1.2032499944325536E-4	0.1587133	No	
row_13	CFI	2190	-1.2350331235211343E-4	0.16081986	No	
row_14	C2	2521	-1.512125600129366E-4	0.10718019	No	
row_15	C3	2688	-1.672909129410982E-4	0.08783881	No	
row_16	SUSD4	3068	-2.10243058972992E-4	0.029298175	No	
row_17	C1R	3351	-2.445726713631302E-4	-0.0068774126	No	
row_18	C1S	3461	-2.5917121092788875E-4	-0.007070354	No	
row_19	CLU	3819	-3.1429994851350784E-4	-0.052475005	No	
row_20	CD55	4459	-5.352745647542179E-4	-0.13603178	No	
row_21	CR2	4833	-9.981358889490366E-4	-0.12737411	No	
row_22	CR1	4982	-0.001916541950777173	0.003415845	No	
