GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.806,1.0,0.0,1.0
3,1.0,0.042,1.0,0.0,0.034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.597
4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.148,0.287,0.692
5,1.0,0.0,0.0,0.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.997,0.0,0.986,0.852
6,0.989,0.0,0.001,0.0,0.0,0.908,1.0,1.0,1.0,1.0,1.0,1.0,0.051,0.001,0.0,0.999,0.0
7,1.0,0.0,0.194,0.0,0.0,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.118,0.012,1.0,0.998
8,0.0,0.0,1.0,0.0,0.022,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.001,0.0,0.925,0.0
9,1.0,0.0,0.963,0.0,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,0.691,0.0,1.0,1.0
10,0.936,0.817,0.994,1.0,0.963,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
11,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.751,0.37,0.0,1.0,0.989
12,0.995,0.941,0.999,1.0,0.679,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.453,0.514,0.995,0.69
13,0.951,0.0,0.999,0.165,0.0,0.651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.961,0.097
14,0.146,0.06,0.031,0.058,0.022,0.015,1.0,0.961,0.742,1.0,0.992,1.0,0.286,0.107,0.03,0.143,0.019
15,0.046,0.0,0.027,0.0,0.004,0.01,1.0,0.989,1.0,0.975,1.0,1.0,0.009,0.016,0.0,0.96,0.01
