k	gep	program_class	top_identity_label	second_identity_label	top_identity_nes	second_identity_nes	top_identity_fdr	second_identity_fdr	nes_gap	runner_up_ratio	n_significant_identity_sets	significant_identity_sets	classification_reason
4	1	identity_ambiguous	Mono_CD16	cDC2_CD33	2.414203864991582	2.408288958423073	0.0	0.0	0.005914906568508904	0.9975499556378477	5	Mono_CD16:NES=2.414,q=0; cDC2_CD33:NES=2.408,q=0; Mono_CD14_ID1:NES=2.150,q=0; Mono_Int:NES=1.395,q=0; Mono_CD14_THBS1:NES=1.322,q=0	5 significant sets, top two near-tied (runner_up_ratio=0.998 > 0.8)
4	2	non_identity_unresolved	Mac_CXCL9	Mac_SPP1	1.2843520558687243	1.256760121560846	0.0	0.0	0.02759193430787832		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
4	3	non_identity_unresolved	mregDC_LAMP3	cDC2_CD1C	1.1735340214016796	1.1640912072515952	0.0	0.0	0.009442814150084411		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
4	4	identity_supported	DC_pDC	cDC1_CLEC9A	1.3121333286134809	1.148340927448588	0.0	0.0	0.1637924011648928	0.0	1	DC_pDC:NES=1.312,q=0	single significant identity (DC_pDC); no competitor set
5	1	identity_ambiguous	Mono_CD16	cDC2_CD33	2.3459446888572772	2.3404149487717953	0.0	0.0	0.0055297400854819045	0.9976428514654472	5	Mono_CD16:NES=2.346,q=0; cDC2_CD33:NES=2.340,q=0; Mono_CD14_ID1:NES=2.118,q=0; Mono_Int:NES=1.381,q=0; Mono_CD14_THBS1:NES=1.318,q=0	5 significant sets, top two near-tied (runner_up_ratio=0.998 > 0.8)
5	2	non_identity_unresolved	Mac_CXCL9	Mac_SPP1	1.2801921985240692	1.2422633754714845	0.0	0.0	0.037928823052584715		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
5	3	non_identity_unresolved	mregDC_LAMP3	cDC2_CD1C	1.2682421605815934	1.213714381078937	0.0	0.0	0.054527779502656415		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
5	4	non_identity_unresolved	DC_pDC	cDC1_CLEC9A	1.2954378639195578	1.1384236592344352	0.0	0.0	0.15701420468512262		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
5	5	non_identity_unresolved	cDC1_CLEC9A	Mac_SPP1	1.182335337382352	1.1717567969941303	0.0	0.0	0.010578540388221702		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
6	1	identity_ambiguous	Mono_CD16	cDC2_CD33	2.306810270408364	2.246684409949865	0.0	0.0	0.060125860458499325	0.9739354981942856	5	Mono_CD16:NES=2.307,q=0; cDC2_CD33:NES=2.247,q=0; Mono_CD14_ID1:NES=2.016,q=0; Mono_Int:NES=1.381,q=0; Mono_CD14_THBS1:NES=1.309,q=0	5 significant sets, top two near-tied (runner_up_ratio=0.974 > 0.8)
6	2	non_identity_unresolved	Mac_CXCL9	Mac_SPP1	1.2595161080514756	1.2155561444778296	0.0	0.0	0.043959963573646066		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
6	3	non_identity_unresolved	mregDC_LAMP3	cDC2_CD1C	1.2550171762937834	1.1941166962190148	0.0	0.0	0.06090048007476856		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
6	4	non_identity_unresolved	Mac_IL1B	Mono_TIL	1.2713864811360176	1.153671962126132	0.0	0.0	0.11771451900988561		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
6	5	non_identity_unresolved	DC_pDC	cDC1_CLEC9A	1.2979107002455752	1.1403570039927042	0.0	0.0	0.15755369625287097		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
6	6	non_identity_unresolved	cDC1_CLEC9A	cDC2_CD1C	1.1855852713886066	1.180391779416067	0.0	0.0	0.005193491972539599		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
7	1	identity_ambiguous	Mono_CD16	cDC2_CD33	2.3221645888511833	2.2035702608728593	0.0	0.0	0.11859432797832392	0.9489294046822948	4	Mono_CD16:NES=2.322,q=0; cDC2_CD33:NES=2.204,q=0; Mono_CD14_ID1:NES=1.970,q=0; Mono_Int:NES=1.413,q=0	4 significant sets, top two near-tied (runner_up_ratio=0.949 > 0.8)
7	2	non_identity_unresolved	Mac_CXCL9	Mac_SPP1	1.2506296819005571	1.2038367010130062	0.0	0.0	0.046792980887550906		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
7	3	identity_ambiguous	Mac_IL1B	Mono_TIL	1.467192070587646	1.3077342116048476	0.0	0.0	0.1594578589827984	0.8913176657784609	2	Mac_IL1B:NES=1.467,q=0; Mono_TIL:NES=1.308,q=0	2 significant sets, top two near-tied (runner_up_ratio=0.891 > 0.8)
7	4	non_identity_unresolved	DC_pDC	cDC1_CLEC9A	1.2978829299403913	1.0977994157798217	0.0	0.0005	0.2000835141605697		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
7	5	non_identity_unresolved	Mast	Mac_SPP1	1.2161923236002279	1.1623340823615806	0.0	0.0	0.05385824123864724		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
7	6	non_identity_unresolved	mregDC_LAMP3	cDC2_CD1C	1.1782177277586618	1.1565482786961219	0.0	0.0	0.02166944906253998		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
7	7	non_identity_unresolved	Mac_SPP1	cDC1_CLEC9A	1.1772738344101352	1.1625035818839313	0.0	0.0	0.014770252526203898		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
8	1	identity_ambiguous	Mono_CD16	cDC2_CD33	2.3066884420830918	2.1683911354973606	0.0	0.0	0.13829730658573114	0.9400450862532438	5	Mono_CD16:NES=2.307,q=0; cDC2_CD33:NES=2.168,q=0; Mono_CD14_ID1:NES=1.958,q=0; Mono_Int:NES=1.402,q=0; Mono_CD14_THBS1:NES=1.302,q=0	5 significant sets, top two near-tied (runner_up_ratio=0.940 > 0.8)
8	2	identity_ambiguous	Mac_IL1B	Mono_TIL	1.4659908543429452	1.3092205295165547	0.0	0.0	0.15677032482639053	0.8930618670901227	2	Mac_IL1B:NES=1.466,q=0; Mono_TIL:NES=1.309,q=0	2 significant sets, top two near-tied (runner_up_ratio=0.893 > 0.8)
8	3	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.2756431923683098	1.127628798381323	0.0	0.0	0.1480143939869869		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
8	4	non_identity_unresolved	DC_pDC	cDC1_CLEC9A	1.2864868580187054	1.1007164523675812	0.0	0.0	0.18577040565112424		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
8	5	non_identity_unresolved	mregDC_LAMP3	cDC2_CD1C	1.1929144814247683	1.1663427394472263	0.0	0.0	0.026571741977541974		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
8	6	non_identity_unresolved	Mast	Mac_CXCL9	1.2038859699676452	1.1441717856466682	0.0	0.0	0.05971418432097697		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
8	7	non_identity_unresolved	Mac_SPP1	Mast	1.295458000994199	1.1610582954848956	0.0	0.0	0.13439970550930336		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
8	8	non_identity_unresolved	Mac_SPP1	cDC2_CD1C	1.176448995036531	1.1624886475529297	0.0	0.0	0.01396034748360142		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
9	1	identity_ambiguous	Mono_CD16	cDC2_CD33	2.3064840475179613	2.163842013676888	0.0	0.0	0.14264203384107343	0.9381560717948288	5	Mono_CD16:NES=2.306,q=0; cDC2_CD33:NES=2.164,q=0; Mono_CD14_ID1:NES=1.959,q=0; Mono_Int:NES=1.401,q=0; Mono_CD14_THBS1:NES=1.300,q=0	5 significant sets, top two near-tied (runner_up_ratio=0.938 > 0.8)
9	2	identity_supported	Mac_IL1B	Mono_TIL	1.4570821040908732	1.2995626401535965	0.0	0.0	0.15751946393727678	0.0	1	Mac_IL1B:NES=1.457,q=0	single significant identity (Mac_IL1B); no competitor set
9	3	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.2747135093196102	1.1259857484099445	0.0	0.0	0.14872776090966577		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
9	4	non_identity_unresolved	DC_pDC	cDC1_CLEC9A	1.2788874934814414	1.1013162968880978	0.0	0.0	0.17757119659334353		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
9	5	non_identity_unresolved	mregDC_LAMP3	cDC2_CD1C	1.1919072380309945	1.1640574438966966	0.0	0.0	0.02784979413429789		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
9	6	non_identity_unresolved	Mac_CXCL9	cDC2_CD1C	1.1519722024813694	1.1508273438314982	0.0	0.0	0.0011448586498712388		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
9	7	non_identity_unresolved	Mac_SPP1	Mac_CXCL9	1.296664359354042	1.1454198321846698	0.0	0.0	0.1512445271693721		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
9	8	non_identity_unresolved	Mac_SPP1	cDC2_CD1C	1.1763046811871167	1.1623449220471138	0.0	0.0	0.013959759140002914		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
9	9	non_identity_unresolved	Mast	cDC2_CD1C	1.2471129427759795	1.0389925249743166	0.0	0.7415	0.2081204178016629		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	1	identity_ambiguous	Mono_CD16	Mono_CD14_ID1	2.419327181562553	1.964513261842614	0.0	0.0	0.454813919719939	0.8120080974636131	5	Mono_CD16:NES=2.419,q=0; Mono_CD14_ID1:NES=1.965,q=0; cDC2_CD33:NES=1.878,q=0; Mono_Int:NES=1.477,q=0; Mono_CD14_THBS1:NES=1.338,q=0	5 significant sets, top two near-tied (runner_up_ratio=0.812 > 0.8)
10	10	non_identity_unresolved	cDC1_CLEC9A	Mac_SPP1	1.2088502461113184	1.202516858329729	0.0	0.0	0.006333387781589428		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	2	identity_supported	Mac_IL1B	Mono_TIL	1.373820092415254	1.2399395588554731	0.0	0.0	0.1338805335597808	0.0	1	Mac_IL1B:NES=1.374,q=0	single significant identity (Mac_IL1B); no competitor set
10	3	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.2786442234323434	1.1343180211229777	0.0	0.0	0.14432620230936566		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	4	non_identity_unresolved	cDC2_CD1C	cDC1_CLEC9A	1.1947039601719596	1.1933148067781516	0.0	0.0	0.0013891533938079625		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	5	non_identity_unresolved	DC_pDC	cDC2_CD1C	1.2567070919487369	1.022768255029993	0.0	0.9055000000000001	0.23393883691874384		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	6	non_identity_unresolved	Mac_CXCL9	mregDC_LAMP3	1.1335917369711315	1.1203408128144725	0.0	0.0	0.01325092415665896		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	7	non_identity_unresolved	Mac_SPP1	Mac_CXCL9	1.295631304046205	1.1565166878129214	0.0	0.0	0.1391146162332837		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	8	non_identity_unresolved	mregDC_LAMP3	cDC2_CD1C	1.2764735340626503	1.1578897040917355	0.0	0.0	0.11858382997091477		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	9	non_identity_unresolved	Mast	cDC2_CD1C	1.1825657767788078	0.9936393102289514	0.0	1.0	0.18892646654985645		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	1	identity_supported	Mono_CD14_ID1	Mono_CD14_THBS1	2.0968517896098176	1.655159851011745	0.0	0.0	0.44169193859807265	0.7893547170159019	4	Mono_CD14_ID1:NES=2.097,q=0; Mono_CD14_THBS1:NES=1.655,q=0; Mono_CD14_IL1B:NES=1.552,q=0; cDC2_CD33:NES=1.520,q=0	Mono_CD14_ID1 dominates 4 significant sets (runner_up_ratio=0.789 <= 0.8)
11	10	non_identity_unresolved	Mast	cDC2_CD1C	1.2495859619085175	1.0171241055497553	0.0	1.0	0.23246185635876215		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	11	non_identity_unresolved	cDC1_CLEC9A	Mac_SPP1	1.2348742223988967	1.2226900110053003	0.0	0.0	0.012184211393596378		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	2	identity_supported	Mono_CD16	Mono_Int	1.695203044927316	1.3257771484080936	0.0	0.0	0.36942589651922253	0.7820757238345675	2	Mono_CD16:NES=1.695,q=0; Mono_Int:NES=1.326,q=0	Mono_CD16 dominates 2 significant sets (runner_up_ratio=0.782 <= 0.8)
11	3	non_identity_unresolved	cDC2_CD1C	cDC1_CLEC9A	1.241049568287916	1.2394011081837641	0.0	0.0	0.001648460104151761		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	4	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.2768910778534301	1.1341700228782532	0.0	0.0	0.14272105497517695		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	5	identity_supported	Mac_IL1B	Mono_TIL	1.3145901558122794	1.193879328084281	0.0	0.0	0.12071082772799846	0.0	1	Mac_IL1B:NES=1.315,q=0	single significant identity (Mac_IL1B); no competitor set
