K,GEP,Top_CellType,NES
4,1,Mono_CD16,2.414
4,2,Mac_CXCL9,1.284
4,3,mregDC_LAMP3,1.174
4,4,DC_pDC,1.312
5,1,Mono_CD16,2.346
5,2,Mac_CXCL9,1.28
5,3,mregDC_LAMP3,1.268
5,4,DC_pDC,1.295
5,5,cDC1_CLEC9A,1.182
6,1,Mono_CD16,2.307
6,2,Mac_CXCL9,1.26
6,3,mregDC_LAMP3,1.255
6,4,Mac_IL1B,1.271
6,5,DC_pDC,1.298
6,6,cDC1_CLEC9A,1.186
7,1,Mono_CD16,2.322
7,2,Mac_CXCL9,1.251
7,3,Mac_IL1B,1.467
7,4,DC_pDC,1.298
7,5,Mast,1.216
7,6,mregDC_LAMP3,1.178
7,7,Mac_SPP1,1.177
8,1,Mono_CD16,2.307
8,2,Mac_IL1B,1.466
8,3,Mac_CXCL9,1.276
8,4,DC_pDC,1.286
8,5,mregDC_LAMP3,1.193
8,6,Mast,1.204
8,7,Mac_SPP1,1.295
8,8,Mac_SPP1,1.176
9,1,Mono_CD16,2.306
9,2,Mac_IL1B,1.457
9,3,Mac_CXCL9,1.275
9,4,DC_pDC,1.279
9,5,mregDC_LAMP3,1.192
9,6,Mac_CXCL9,1.152
9,7,Mac_SPP1,1.297
9,8,Mac_SPP1,1.176
9,9,Mast,1.247
10,1,Mono_CD16,2.419
10,2,Mac_IL1B,1.374
10,3,Mac_CXCL9,1.279
10,4,cDC2_CD1C,1.195
10,5,DC_pDC,1.257
10,6,Mac_CXCL9,1.134
10,7,Mac_SPP1,1.296
10,8,mregDC_LAMP3,1.276
10,9,Mast,1.183
10,10,cDC1_CLEC9A,1.209
11,1,Mono_CD14_ID1,2.097
11,2,Mono_CD16,1.695
11,3,cDC2_CD1C,1.241
11,4,Mac_CXCL9,1.277
11,5,Mac_IL1B,1.315
11,6,DC_pDC,1.263
11,7,Mac_CXCL9,1.148
11,8,Mac_SPP1,1.295
11,9,mregDC_LAMP3,1.256
11,10,Mast,1.25
11,11,cDC1_CLEC9A,1.235
12,1,Mono_CD14_ID1,2.119
12,2,Mono_CD16,1.649
12,3,cDC2_CD1C,1.259
12,4,Mac_CXCL9,1.24
12,5,Mac_IL1B,1.308
12,6,DC_pDC,1.251
12,7,Mac_SPP1,1.311
12,8,Mac_CXCL9,1.144
12,9,Mono_TIL,1.187
12,10,mregDC_LAMP3,1.25
12,11,Mast,1.253
12,12,cDC1_CLEC9A,1.237
13,1,Mono_CD14_ID1,2.091
13,2,Mono_CD16,1.668
13,3,cDC2_CD1C,1.268
13,4,Mac_CXCL9,1.246
13,5,Mac_IL1B,1.32
13,6,DC_pDC,1.252
13,7,Mac_CXCL9,1.146
13,8,Mac_SPP1,1.281
13,9,Mono_TIL,1.31
13,10,cDC1_CLEC9A,1.307
13,11,mregDC_LAMP3,1.243
13,12,Mast,1.243
13,13,cDC1_CLEC9A,1.23
14,1,Mono_CD14_ID1,2.086
14,2,Mono_CD16,1.668
14,3,cDC2_CD1C,1.269
14,4,Mac_CXCL9,1.246
14,5,Mac_IL1B,1.318
14,6,DC_pDC,1.253
14,7,Mac_CXCL9,1.146
14,8,Mac_SPP1,1.282
14,9,Mono_TIL,1.31
14,10,cDC1_CLEC9A,1.304
14,11,mregDC_LAMP3,1.242
14,12,Mast,1.243
14,13,cDC1_CLEC9A,1.227
14,14,cDC2_CD1C,1.145
15,1,Mono_CD14_ID1,2.108
15,2,Mono_CD16,1.687
15,3,cDC2_CD1C,1.271
15,4,DC_pDC,1.277
15,5,Mac_IL1B,1.31
15,6,Mac_CXCL9,1.16
15,7,Mac_SPP1,1.3
15,8,Mono_TIL,1.313
15,9,Mac_CXCL9,1.141
15,10,mregDC_LAMP3,1.263
15,11,Mac_CXCL9,1.192
15,12,Mast,1.255
15,13,Mac_SPP1,1.24
15,14,cDC2_CD1C,1.064
15,15,cDC2_CD1C,1.091
16,1,Mono_CD16,2.597
16,2,Mac_CXCL9,1.695
16,3,Mac_SPP1,1.641
16,4,Mac_CXCL9,1.357
16,5,Mac_IL1B,1.589
16,6,DC_pDC,1.447
16,7,Mac_CXCL9,1.132
16,8,DC_pDC,1.217
16,9,mregDC_LAMP3,1.413
16,10,Mast,1.458
16,11,Mac_IL1B,1.129
16,12,Mac_SPP1,1.315
16,13,mregDC_LAMP3,1.113
16,14,Mac_SPP1,1.145
16,15,cDC2_CD1C,1.162
16,16,cDC2_CD1C,1.131
17,1,Mono_CD14_ID1,2.026
17,2,Mono_CD16,1.605
17,3,cDC2_CD33,1.547
17,4,Mac_CXCL9,1.246
17,5,DC_pDC,1.258
17,6,Mac_IL1B,1.312
17,7,Mac_SPP1,1.261
17,8,Mono_TIL,1.298
17,9,cDC2_CD1C,1.123
17,10,cDC2_CD1C,1.234
17,11,mregDC_LAMP3,1.28
17,12,cDC1_CLEC9A,1.328
17,13,mregDC_LAMP3,1.183
17,14,Mast,1.279
17,15,cDC1_CLEC9A,1.224
17,16,Mac_SPP1,1.16
17,17,cDC2_CD1C,1.15
18,1,Mono_CD14_ID1,2.029
18,2,Mono_CD16,1.6
18,3,cDC2_CD33,1.543
18,4,Mac_CXCL9,1.246
18,5,DC_pDC,1.25
18,6,Mac_IL1B,1.311
18,7,Mac_SPP1,1.262
18,8,Mono_TIL,1.296
18,9,cDC2_CD1C,1.202
18,10,mregDC_LAMP3,1.172
18,11,cDC2_CD1C,1.232
18,12,mregDC_LAMP3,1.282
18,13,cDC1_CLEC9A,1.327
18,14,Mast,1.27
18,15,cDC1_CLEC9A,1.226
18,16,cDC2_CD1C,1.152
18,17,Mac_SPP1,1.073
18,18,Mac_SPP1,1.106
