K,GEP,pathway,NES,pval,fdr,Name,ES,FWER p-val,Tag %,Gene %,Lead_genes,spectra_file
15,1,MUSCLE_T,-2.9354819174148106,0.0,0.0,prerank,-0.8403590965943172,0.0,33/37,11.64%,CYBA;CORO1A;LAPTM5;IL2RG;ARHGDIB;LTB;IL32;TRAF3IP3;CD2;CD37;PTPRC;ETS1;FYB1;CXCR4;CD52;CD3E;CD3D;EVL;GIMAP4;SELL;IL7R;CD48;LCK;EMP3;TSC22D3;CRIP1;COTL1;CD7;CD3G;ISG20;GMFG;PLAC8;LIMD2,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,MHC_II_POS_B,-2.887311596965707,0.0,0.0,prerank,-0.6961066291857144,0.0,62/76,22.00%,ITM2C;CORO1A;LAPTM5;CD79A;LTB;CD37;IRF8;MS4A1;CIITA;CXCR4;SP140;POU2AF1;CD52;FCMR;CD22;RCSD1;HSH2D;P2RX5;EVI2B;PARP15;RIPOR2;CYBB;MPEG1;SELL;PAX5;KLF2;PRKCB;PTPN6;SMAP2;FCRL2;CD19;CD79B;NIBAN3;BIRC3;FCRL1;CLEC2D;ISG20;POU2F2;PLAC8;TTN;LIMD2;BANK1;RNASET2;CCR7;TLR6;CYFIP2;AEBP1;TLR10;MAP3K8;CXXC5;KIAA0040;SPIB;RUBCNL;SEPTIN6;RALGPS2;AFF3;DOK3;FCRLA;TCL1A;RHEX;TNFRSF13C;CD83,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,ADRENAL_LYMPHOID,-2.8451525349195155,0.0,0.0,prerank,-0.6462241523282791,0.0,101/133,21.32%,IL2RG;ACAP1;SEPTIN1;CD79A;JCHAIN;TBC1D10C;LTB;IL32;TRAF3IP3;IGKC;MYO1G;CD2;MZB1;CYTIP;CD96;TRBC2;MS4A1;SLAMF7;IKZF3;CD27;SULT1B1;CD52;ZAP70;FCMR;CD3E;HSH2D;P2RX5;CD3D;IRF4;CARD11;SELL;IL7R;IL2RB;PAX5;TIGIT;ADAM8;PYHIN1;THEMIS;NKG7;BLK;LCK;PLAAT4;SLAMF1;KLRK1;ITK;RHOH;CST7;CCR6;FCRL2;CD8A;CRIP1;CD19;CD79B;FCRL5;P2RY10;NIBAN3;GZMA;RASGRP1;SLAMF6;GBP5;BIRC3;FCRL1;CD247;LY9;CD7;CD3G;ISG20;PTPN22;PLAC8;SIT1;CD5;PTGDR;CCR7;SKAP1;SLFN12L;ICOS;LAX1;SH2D2A;CXCR5;PRF1;SPIB;SH2D1A;FCRL3;GPR171;UBASH3A;MATK;TRAT1;GZMM;MYBL1;CD244;GZMK;GPR18;FCRLA;TCL1A;TCF7;IL2RA;EOMES;KLRB1;RUNX3;ZNF831;GZMH,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,CL4_T_LYMPHOCYTE_NK,-2.8378265471616393,0.0,0.0,prerank,-0.6613921372872057,0.0,73/97,22.30%,CYBA;ADGRE5;CORO1A;AKNA;LAPTM5;IL2RG;WIPF1;CD53;SRGN;LCP1;ARHGDIB;IL32;TRAC;CD2;CD37;PTPRC;LSP1;CYTIP;ITGB2;TRBC2;CXCR4;TNFRSF1B;CD52;CD3E;SPOCK2;SSR4;TRBC1;CD3D;CCL5;FNBP1;ITM2A;GIMAP7;IRF1;ZFP36;NKG7;PLAAT4;EMP3;CDC42SE2;ALOX5AP;STK4;CST7;DOK2;TSC22D3;FYN;S100A4;CRIP1;GZMA;COTL1;BIRC3;CLEC2D;CD247;CD7;IFITM2;ISG20;LIMD2;ID2;GNG2;SAMSN1;SH2D2A;CD69;PRF1;S1PR4;HCST;GZMM;GZMK;TUBA4A;KLRB1;ARID5A;RUNX3;GZMH;PSMB9;APOBEC3G;FTH1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,MUSCLE_B,-2.8295076854629597,0.0,0.0,prerank,-0.7427451526477399,0.0,35/49,12.40%,CYBA;CTSS;CD74;LAPTM5;RAC2;CD53;CD79A;JCHAIN;TBC1D10C;LTB;CD37;PTPRC;IRF8;RASGRP2;MS4A1;CXCR4;TRIM22;CD52;FCMR;EVI2B;SELL;CD48;GPR183;ALOX5AP;RHOH;STK4;TSC22D3;CD79B;FCRL1;GMFG;BTK;PLAC8;LIMD2;BANK1;RNASET2,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,PLACENTA_LYMPHOID,-2.7995216145888806,0.0,0.0,prerank,-0.6486748659604966,0.0,85/119,21.32%,AKNA;IL2RG;SEPTIN1;CD79A;JCHAIN;TBC1D10C;LTB;IL32;TXNDC5;TRAF3IP3;IGKC;MYO1G;CD2;RASAL3;MZB1;ITGB7;CARMIL2;PIM2;DENND1C;CD96;TRBC2;IKZF3;CD27;POU2AF1;NLRC3;CD52;ZAP70;CD3E;PSTPIP1;PTPN7;CD3D;NUGGC;IRF4;CARD11;ZBP1;IGHA1;TIGIT;THEMIS;CD6;NKG7;ADGRG5;CD38;LCK;ITK;ALOX5AP;RHOH;CST7;CD8A;CEP55;CD79B;FCRL5;GZMA;RASGRP1;SLAMF6;CD247;CD7;CD3G;ISG20;CD5;PTGDR;DAPK2;SIRPG;SLFN12L;SAMD3;KLRG1;CDHR1;LAX1;SH2D2A;CD69;CXCR3;PRF1;STAP1;JSRP1;SH2D1A;TRAT1;SCML4;IGHG1;CD244;ITGA8;GZMK;EOMES;KLRB1;RUNX3;VAMP1;GZMH,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,SPLEEN_LYMPHOID,-2.7871177706704793,0.0,0.0,prerank,-0.6498746728354452,0.0,68/93,20.40%,ACAP1;CD79A;IGKC;CD2;CD37;MZB1;STK17A;CD96;MS4A1;IKZF3;CD27;PLCG2;SP140;POU2AF1;CD52;FCMR;CD22;ALOX5;PARP15;CD3D;TNFRSF13B;CARD11;IL2RB;PAX5;EMB;TIGIT;PYHIN1;THEMIS;ADGRG5;BLK;LCK;SLAMF1;ALOX5AP;RHOH;CCR6;FCRL2;CD8A;FCRL5;P2RY10;NIBAN3;RASGRP1;SLAMF6;FCRL1;CD247;LY9;CD3G;PTPN22;PLAC8;CD5;SIRPG;CCR7;TAGAP;CYFIP2;TLR10;SAMD3;CXCR5;CNR2;SPIB;STAP1;DTX1;SH2D1A;RALGPS2;FCRL3;VNN2;SCML4;GZMM;GPR18;EOMES,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,LEUKOCYTE,-2.7740588636207537,0.0,0.0,prerank,-0.5424068751811251,0.0,140/224,25.54%,C15orf48;CTSS;CORO1A;CD74;WIPF1;RAC2;CD53;SRGN;TMEM176B;CELF2;LCP1;ARHGDIB;KYNU;FMNL1;HCLS1;CD37;STK17B;CTSZ;PTPRC;CYTIP;FERMT3;IRF8;METRNL;FYB1;CXCR4;TNFRSF1B;KCTD12;ANPEP;PRDM1;LYZ;HSD17B11;IL10RA;CD4;GPSM3;LCP2;EVI2B;RNASE1;CCL5;CD68;FNBP1;GLIPR1;CD93;ENG;CD48;MGAT4A;ADAM8;TNFAIP3;CD300A;SPI1;PTPN6;WAS;NCF4;GPR183;ALOX5AP;SMAP2;STK4;CD84;DOK2;FGL2;RNF213;NFKBIA;COTL1;BIRC3;IQGAP2;APOE;SERPINB9;GMFG;CD14;HK2;PLEK;RBM47;RASGRP3;RNASET2;MS4A6A;THEMIS2;SAMSN1;TAGAP;IL1RN;RGS1;PDE4B;TNFRSF14;ARHGAP18;PTGER4;MAP3K8;CLEC2B;C1QC;LHFPL2;ITGAX;LGALS9;FCGR2B;STAB1;NRP1;SIRPA;C1QB;DAB2;MXD1;CITED2;MPP1;HCST;FPR3;LAIR1;CCL20;CLEC7A;C1QA;CD163;CSF1R;THBD;PFKFB3;LY86;PLXND1;GLRX;CCL2;IL18;TYROBP;MS4A7;ACP5;AIF1;FCGR2A;PHACTR1;ARID5A;HAVCR2;FCER1G;NCF2;CSF2RA;CXCL8;BCL2A1;CD83;STX11;CSGALNACT2;ADAP2;LY96;G0S2;LPAR6;SLCO2B1;FCGR3A;LST1;CCL4;CXCL1;CTSH;RNASE6,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,CD5_POS_CCL22_NEG_MATURE_B,-2.745271519162933,0.0,0.0,prerank,-0.6090311785576982,0.0,78/117,23.30%,ITGAL;SRGN;TMC8;FCGBP;CCND2;SEL1L3;ARHGAP9;TRAC;TENT5C;CTSZ;ITGB7;DENND1C;ABI3;TRBC2;LPXN;CD27;SP140;SPOCK2;PPP1R16B;IL10RA;EVI2B;KCNN4;NFKBIZ;TNFRSF13B;CYBB;CD40;BIN2;MPEG1;SELL;ZBP1;ADAM8;GPR183;CCR6;MCOLN2;DOK2;FCRL2;S100A4;FCRL5;ENTPD1;BIRC3;ADAM28;SEMA7A;LY9;PTPN22;TTN;PLEK;CD5;MS4A6A;EVI2A;CCR7;PCED1B;RGS1;TLR10;SKAP1;PTGER4;SIGLEC10;RHOF;CXCR5;IGFLR1;RAB8B;CLEC17A;HCST;IL27RA;CD1D;FCRL3;SCML4;SH2B2;ACP5;RUNX3;RHEX;TNFRSF13C;BCL2A1;PLK3;APOBEC3G;CMTM3;CR2;COL19A1;PKIG,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,OLFACTORY_NEUROEPITHELIUM_CD4_T,-2.7069505317057208,0.0,0.0,prerank,-0.8078921443110603,0.0,27/29,16.98%,CORO1A;ACAP1;ARHGDIB;LTB;IL32;TRAC;CD2;PTPRC;TRBC2;FYB1;CXCR4;CD52;CD3E;TRBC1;CD3D;IL7R;CD48;TNFAIP3;GPR183;STK4;TSC22D3;CLEC2D;CD3G;GMFG;TAGAP;CD69;HCST,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
