GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,59,0.844,0.818,0.623,0.946,15913
2,43,0.96,0.91,0.702,0.988,1960
3,42,0.961,0.951,0.844,1.0,1431
4,12,0.836,0.829,0.709,0.912,591
5,45,0.938,0.896,0.682,0.993,2600
6,4,0.776,0.779,0.709,0.856,235
7,1,0.943,0.943,0.943,0.943,17
8,1,0.787,0.787,0.787,0.787,35
9,2,0.947,0.947,0.933,0.962,42
11,10,0.808,0.815,0.679,0.936,600
12,6,0.887,0.869,0.786,0.919,138
13,4,0.959,0.954,0.932,0.967,94
14,1,0.935,0.935,0.935,0.935,15
15,11,0.84,0.827,0.695,0.944,547
16,5,0.837,0.83,0.786,0.858,138
18,10,0.801,0.795,0.702,0.888,434
