GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,55,0.889,0.878,0.764,0.952,18705
2,28,0.787,0.792,0.626,0.959,1355
3,12,0.81,0.815,0.717,0.907,1314
4,12,0.817,0.811,0.707,0.962,1013
5,13,0.735,0.735,0.652,0.851,666
6,28,0.93,0.924,0.827,0.99,963
7,8,0.752,0.768,0.665,0.881,667
8,4,0.885,0.877,0.777,0.963,230
9,11,0.881,0.881,0.816,0.952,329
10,7,0.954,0.944,0.857,0.984,191
