sample,cluster,ROGUE,n_cells,K
GSM4138134,1,0.9375479955841113,1211,24
GSM4138156,1,0.8869085194564251,917,24
GSM4138126,1,0.9523197543188398,757,24
GSM4138140,1,0.9130792867491695,699,24
GSM4138116,1,0.9192491658288223,698,24
GSM4138142,1,0.8933657775963146,680,24
GSM4138136,1,0.902218372452755,639,24
GSM4138132,1,0.9240363232571003,639,24
GSM4138110,1,0.9194568918866773,622,24
GSM4138120,1,0.8339801774857254,606,24
GSM4138130,1,0.9146817704118967,580,24
GSM4138138,1,0.8916034771053397,573,24
GSM4138128,1,0.8843740567882148,544,24
GSM4138122,1,0.8843740567882148,544,24
GSM4138135,2,0.6792963106417053,499,24
GSM4138123,2,0.6744379650067287,497,24
GSM4138162,1,0.889705058552527,483,24
GSM4138160,1,0.9043640279652901,481,24
GSM4138166,1,0.878146566513164,463,24
GSM4138152,1,0.8578195979622503,460,24
GSM4138146,1,0.8765277165986326,460,24
GSM4138165,1,0.8797257749369869,436,24
GSM4138163,1,0.9084437472719714,420,24
GSM4138137,2,0.7374183105594814,375,24
GSM4138145,1,0.7275400939136047,373,24
GSM4138154,1,0.8256502423023702,358,24
GSM4138112,1,0.8689506222094523,354,24
GSM4138114,1,0.8659271931397147,349,24
GSM4138141,1,0.7700566555956325,344,24
GSM4138124,1,0.9286797788464348,340,24
GSM4138167,1,0.8946195528030005,332,24
GSM4138155,1,0.5950323685781371,332,24
GSM4138144,1,0.8395347146350346,295,24
GSM4138118,1,0.8701773167311858,290,24
GSM4138125,1,0.7154620206271601,283,24
GSM4138158,1,0.8919101711133577,272,24
GSM4138139,1,0.7064775949247076,255,24
GSM4138139,2,0.6953504971664043,218,24
GSM4138125,2,0.7118811106488026,214,24
GSM4138155,2,0.5698177896427778,204,24
GSM4138143,1,0.7384211661035701,202,24
GSM4138135,1,0.7697788555704377,202,24
GSM4138111,1,0.7286773817135007,195,24
GSM4138127,1,0.7735717367731881,194,24
GSM4138150,1,0.8894653191086348,189,24
GSM4138161,1,0.7172134044849742,188,24
GSM4138131,5,0.7342962773432193,181,24
GSM4138148,1,0.8315908692634104,177,24
GSM4138131,2,0.7410290149163133,165,24
GSM4138137,1,0.8066487169935476,160,24
GSM4138131,1,0.774086526048434,159,24
GSM4138164,1,0.8498413236837918,155,24
GSM4138117,1,0.7802165972648833,145,24
GSM4138129,1,0.8033006402176718,129,24
GSM4138133,2,0.7200795785313584,127,24
GSM4138133,1,0.784274125598165,119,24
GSM4138131,4,0.8887044478774355,106,24
GSM4138161,4,0.8429155922978616,105,24
GSM4138113,1,0.7763243178604793,102,24
GSM4138137,6,0.8320369764018988,92,24
GSM4138141,2,0.7645529656230976,92,24
GSM4138157,1,0.7532687265603593,91,24
GSM4138117,2,0.7251921399139232,90,24
GSM4138129,2,0.7400699289712003,86,24
GSM4138115,1,0.8047287634136324,83,24
GSM4138121,1,0.6827756520412429,81,24
GSM4138127,3,0.69613277321537,81,24
GSM4138159,1,0.7330873250321184,81,24
GSM4138141,4,0.89326491312065,70,24
GSM4138139,5,0.8020100050441165,65,24
GSM4138111,4,0.8698182709172356,65,24
GSM4138121,2,0.6798873771354614,61,24
GSM4138117,3,0.7180913155301347,61,24
GSM4138139,10,0.9469565804195199,60,24
GSM4138119,1,0.7658597319456788,60,24
GSM4138123,1,0.7460602023467932,58,24
GSM4138127,5,0.836521710598544,57,24
GSM4138143,2,0.7514001694123904,53,24
GSM4138145,2,0.7513203272460305,50,24
GSM4138135,6,0.8681959976819349,50,24
GSM4138131,7,0.8509545936016549,50,24
GSM4138123,4,0.9011735667574421,46,24
GSM4138143,4,0.8686542379614236,46,24
GSM4138137,3,0.7414209362372959,46,24
GSM4138155,4,0.8648075354031565,45,24
GSM4138155,8,0.671693996759055,44,24
GSM4138111,2,0.7052417302590389,43,24
GSM4138145,4,0.8994639718777624,42,24
GSM4138161,2,0.7522030726297002,40,24
GSM4138127,2,0.7971173711892997,38,24
GSM4138141,5,0.8593584093278603,36,24
GSM4138143,7,0.838662045650043,36,24
GSM4138159,2,0.7920424960592604,35,24
GSM4138131,3,0.7277094786174825,35,24
GSM4138157,2,0.7486351934333613,35,24
GSM4138161,3,0.7188533245401714,35,24
GSM4138141,7,0.8419424996935979,33,24
GSM4138113,4,0.9124859284887719,32,24
GSM4138143,10,0.9499099441330963,31,24
GSM4138153,1,0.8063309020206825,31,24
GSM4138119,2,0.6646869835086364,30,24
GSM4138147,4,0.9312231576786633,29,24
GSM4138111,10,0.8559705668702753,29,24
GSM4138127,4,0.906578799809118,28,24
GSM4138115,2,0.8620369219617046,26,24
GSM4138135,7,0.9252577495114513,26,24
GSM4138145,8,0.8231623367935383,25,24
GSM4138161,5,0.8259098363631335,25,24
GSM4138172,1,0.8789371453369063,24,24
GSM4138127,6,0.9440079587349911,24,24
GSM4138112,4,0.960475000321927,24,24
GSM4138129,4,0.954707442314534,24,24
GSM4138160,4,0.9637168406872293,23,24
GSM4138135,5,0.8169295216840331,23,24
GSM4138141,8,0.8628306955775226,22,24
GSM4138113,2,0.8157711202917413,22,24
GSM4138155,10,0.8868842979750106,21,24
GSM4138121,6,0.8594686926127008,21,24
GSM4138115,7,0.8959293962120423,21,24
GSM4138135,10,0.9632808291710414,21,24
GSM4138127,16,0.9594561110487346,20,24
GSM4138151,1,0.9490662021067536,20,24
GSM4138123,7,0.9277318862108175,20,24
GSM4138168,4,0.9011449212070114,20,24
GSM4138139,4,0.950525347229094,20,24
GSM4138110,4,0.9515832936947742,20,24
GSM4138133,4,0.9722280129792089,20,24
GSM4138128,4,0.9746144436587548,19,24
GSM4138155,3,0.8174202068229118,19,24
GSM4138131,8,0.8457561646243177,19,24
GSM4138111,3,0.8566791826759499,19,24
GSM4138122,4,0.9746144436587548,19,24
GSM4138130,4,0.9474344524505759,19,24
GSM4138135,4,0.9370978128138574,18,24
GSM4138131,10,0.9666702146494965,18,24
GSM4138171,1,0.9417133147015392,18,24
GSM4138153,2,0.8829178329239127,17,24
GSM4138162,4,0.9844611143723536,17,24
GSM4138161,8,0.8336249031045124,17,24
GSM4138163,4,0.9903020421816136,16,24
GSM4138145,7,0.9617513943934901,16,24
GSM4138115,4,0.9465731863386734,16,24
GSM4138131,6,0.9172923238899556,16,24
GSM4138147,1,0.9210401790916307,16,24
GSM4138117,10,0.9843483876594742,15,24
GSM4138137,5,0.9423019743069823,15,24
GSM4138123,3,0.8765241559115953,15,24
GSM4138151,4,0.9660966498243028,15,24
GSM4138152,4,0.962282917656284,15,24
GSM4138139,7,0.948523882410452,15,24
GSM4138143,3,0.8893816664178912,15,24
GSM4138156,4,0.9536502391004582,15,24
