sample,cluster,ROGUE,n_cells,K
GSM4138134,1,0.9343263764866119,1145,30
GSM4138156,1,0.8874114808129201,888,30
GSM4138126,1,0.9528894346195137,708,30
GSM4138116,1,0.9181860378310092,684,30
GSM4138140,1,0.9153657669194427,661,30
GSM4138142,1,0.8924724250894425,655,30
GSM4138135,1,0.6848632067260267,649,30
GSM4138120,1,0.8333197777893063,608,30
GSM4138136,1,0.904388513465219,605,30
GSM4138132,1,0.923316070739337,604,30
GSM4138110,1,0.9189972812816599,589,30
GSM4138123,1,0.6518201116832512,566,30
GSM4138130,1,0.914958690209563,554,30
GSM4138138,1,0.8911121502783088,541,30
GSM4138155,1,0.547965418608495,525,30
GSM4138137,1,0.7184325704076351,523,30
GSM4138128,1,0.8847725293419921,516,30
GSM4138122,1,0.8847725293419921,516,30
GSM4138125,1,0.6796774091823832,483,30
GSM4138160,1,0.9026181965773936,478,30
GSM4138162,1,0.8891854291584664,478,30
GSM4138131,1,0.6846530352318402,469,30
GSM4138141,1,0.6972851893378909,453,30
GSM4138139,1,0.6600891185269447,452,30
GSM4138152,1,0.858032245131666,449,30
GSM4138146,1,0.8749429812172823,446,30
GSM4138166,1,0.8749908398278052,444,30
GSM4138165,1,0.881157182035151,419,30
GSM4138163,1,0.9103140581088873,418,30
GSM4138145,1,0.6982747435173507,398,30
GSM4138154,1,0.8284972830772078,356,30
GSM4138112,1,0.8671732922950671,344,30
GSM4138114,1,0.8708946382403724,338,30
GSM4138167,1,0.8908071917262034,324,30
GSM4138124,1,0.9277007656974458,323,30
GSM4138127,1,0.6840597171148937,301,30
GSM4138117,1,0.6687752945659209,296,30
GSM4138118,1,0.8701384488297516,289,30
GSM4138144,1,0.8468645319742418,287,30
GSM4138143,1,0.656745333608262,278,30
GSM4138161,1,0.6367316496217752,274,30
GSM4138158,1,0.8998893520999008,261,30
GSM4138111,1,0.6990868569830745,228,30
GSM4138129,1,0.7121941514703537,206,30
GSM4138133,1,0.7245567765770504,199,30
GSM4138150,1,0.892238741190912,181,30
GSM4138148,1,0.8333892732371743,169,30
GSM4138164,1,0.8569860284719066,148,30
GSM4138131,6,0.6867071946526742,143,30
GSM4138121,1,0.6208893839979819,134,30
GSM4138141,6,0.6904640059265652,106,30
GSM4138115,1,0.7429125021300127,104,30
GSM4138113,1,0.7454505113750536,104,30
