GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,53,0.944,0.926,0.81,0.983,12669
2,46,0.924,0.925,0.854,0.99,5361
3,33,0.808,0.808,0.628,0.96,1585
4,15,0.806,0.831,0.713,0.963,1556
5,13,0.781,0.791,0.693,0.891,1223
6,14,0.74,0.749,0.641,0.881,744
7,28,0.931,0.923,0.827,0.99,968
8,8,0.768,0.774,0.659,0.893,690
9,11,0.881,0.88,0.815,0.951,329
10,7,0.954,0.942,0.857,0.984,192
