K,celltype,n_GEPs,n_samples,median_ROGUE,max_ROGUE,total_cells
3,DC_pDC,1,30,0.9219813955213986,0.9903020421816136,1048
3,Mac_CXCL9,1,27,0.6592061349125975,0.9155732980030667,6412
3,Mono_CD14_ID1,1,56,0.882734241458788,0.952463858652414,18670
4,DC_pDC,1,29,0.9372135155166408,0.9903020421816136,1016
4,Mac_CXCL9,1,28,0.6801130590495568,0.9337810089115642,5302
4,Mac_IL1B,1,13,0.8084416438187683,0.9590931618417232,1077
4,Mono_CD14_ID1,1,56,0.8814311904857928,0.952463858652414,18689
5,DC_pDC,1,29,0.9372135155166408,0.9903020421816136,1018
5,Mac_CXCL9,1,28,0.6905645746795601,0.9325110308439294,4935
5,Mac_IL1B,1,13,0.8084416438187683,0.9590931618417232,1084
5,Mast,1,7,0.9499099441330964,0.9843483876594742,195
5,Mono_CD14_ID1,1,56,0.8811270131175313,0.952463858652414,18739
6,DC_pDC,1,28,0.9352069543585955,0.9903020421816136,948
6,Mac_CXCL9,1,19,0.7779272873037748,0.9408731729591974,2313
6,Mac_IL1B,1,13,0.8047836821678288,0.9445828450306212,1139
6,Mast,1,7,0.9536975701437346,0.9843483876594742,193
6,Mono_CD14_ID1,1,55,0.8846269032403777,0.952463858652414,18765
6,cDC2_CD1C,1,26,0.6926847361832094,0.9409297615712336,2447
7,DC_pDC,1,28,0.9323466177725694,0.9903020421816136,961
7,Mac_CXCL9,1,19,0.7718618276150674,0.961603309659957,2296
7,Mac_IL1B,1,13,0.8042344849273926,0.9141729736401032,1177
7,Mast,1,7,0.9536975701437346,0.9843483876594742,192
7,Mono_CD14_ID1,1,55,0.8935792123325513,0.9524984459421776,18525
7,cDC2_CD1C,1,30,0.7979277336573382,0.9629668472436136,1465
7,mregDC_LAMP3,1,17,0.727470795884557,0.934575891907837,1049
8,DC_pDC,1,29,0.9313771396418056,0.9903020421816136,980
8,Mac_CXCL9,1,13,0.7946094248972597,0.887846199303265,1559
8,Mac_IL1B,1,13,0.7874038607482015,0.9433541428398052,1184
8,Mac_SPP1,1,8,0.7624644061001096,0.8927126205323255,660
8,Mast,1,7,0.9536975701437346,0.9843483876594742,192
8,Mono_CD14_ID1,1,55,0.8913312494576806,0.9524984459421776,18563
8,cDC2_CD1C,1,30,0.7915466744450708,0.9629668472436136,1444
8,mregDC_LAMP3,1,17,0.7156846499879327,0.9192274827084678,978
9,DC_pDC,1,29,0.9313771396418056,0.9903020421816136,979
9,Mac_CXCL9,1,13,0.7985261076665768,0.9626012103085496,1455
9,Mac_IL1B,1,13,0.7810420370327625,0.914362194075249,1202
9,Mac_SPP1,1,8,0.7668426180240919,0.8807180749629699,657
9,Mast,1,7,0.9536975701437346,0.9843483876594742,192
9,Mono_CD14_ID1,1,55,0.8946226388164885,0.9524984459421776,18437
9,cDC2_CD1C,2,30,0.7641447624589104,0.963710681969744,2197
9,mregDC_LAMP3,1,11,0.881353640916401,0.9508347199820468,329
10,DC_pDC,1,28,0.9305278242526165,0.9903020421816136,968
10,Mac_CXCL9,1,15,0.8063320840197844,0.9626012103085496,1556
10,Mac_IL1B,1,13,0.7810229901750421,0.8912076717544235,1223
10,Mac_SPP1,1,8,0.767835133113886,0.8928088665325568,690
10,Mast,1,7,0.9536975701437346,0.9843483876594742,192
10,Mono_CD14_ID1,1,53,0.9440611992636638,0.9827129559925734,12669
10,Mono_CD16,1,46,0.9242658096594127,0.9898190298589437,5361
10,cDC2_CD1C,2,33,0.7766198945500761,0.9603546817406848,2329
10,mregDC_LAMP3,1,11,0.881353640916401,0.9508347199820468,329
11,DC_pDC,1,28,0.9295583461218526,0.9903020421816136,963
11,Mac_CXCL9,1,12,0.8098679841833921,0.9067446106577052,1314
11,Mac_IL1B,1,12,0.8171956403840093,0.9624478146613404,1013
11,Mac_SPP1,1,8,0.7516636674280031,0.8807180749629699,667
11,Mast,1,7,0.954392453358975,0.9843483876594742,191
11,Mono_CD14_ID1,1,55,0.8886245107092298,0.952463858652414,18705
11,Mono_TIL,1,4,0.8846433667881685,0.9626145173817916,230
11,cDC2_CD1C,2,28,0.7634884945028537,0.9594459219627484,2021
11,mregDC_LAMP3,1,11,0.881353640916401,0.951599360583245,329
12,DC_pDC,1,28,0.9305278242526165,0.9903020421816136,969
12,Mac_CXCL9,1,14,0.8118564950050138,0.9473700711704308,1434
12,Mac_IL1B,1,12,0.8142978353918154,0.9402950279394796,1043
12,Mac_SPP1,1,8,0.7636878516002481,0.8753079785885789,699
12,Mast,1,7,0.954392453358975,0.9843483876594742,191
12,Mono_CD14_ID1,1,53,0.9436682902882716,0.9828696821717002,12592
12,Mono_CD16,1,45,0.9214081375250396,1.0,5435
12,Mono_TIL,1,4,0.8866179764545178,0.975931747135998,240
12,cDC2_CD1C,2,32,0.7708696384529059,0.9664585561115177,2306
12,mregDC_LAMP3,1,11,0.881353640916401,0.951599360583245,328
13,DC_pDC,1,28,0.9305278242526165,0.9903020421816136,968
13,Mac_CXCL9,1,12,0.8069635594286757,0.9243493392583944,1415
13,Mac_IL1B,1,11,0.8388248531235172,0.911471842163775,878
13,Mac_SPP1,1,8,0.7596260810865059,0.8753079785885789,703
13,Mast,1,7,0.954392453358975,0.9843483876594742,191
13,Mono_CD14_ID1,1,53,0.9425400450606868,0.9828902478835186,12660
13,Mono_CD16,1,46,0.9228723143731238,0.9853374304067354,5417
13,Mono_TIL,1,4,0.892630311276866,0.9529358369993068,242
13,cDC2_CD1C,2,32,0.7701446224347902,0.9603546817406848,2412
13,mregDC_LAMP3,1,11,0.881353640916401,0.951599360583245,328
14,DC_pDC,1,27,0.9313771396418056,0.9903020421816136,957
14,Mac_CXCL9,1,14,0.8213301809629334,0.9506247882429124,1449
14,Mac_IL1B,1,11,0.8349988993340165,0.9113087175559028,792
14,Mac_SPP1,1,8,0.7755627488985359,0.8570630962014787,714
14,Mast,1,7,0.954392453358975,0.9843483876594742,193
14,Mono_CD14_ID1,1,53,0.9434473347373667,0.98285860288298,12475
14,Mono_CD16,1,48,0.9237630570653035,0.989060914279452,5542
14,Mono_TIL,1,5,0.8761918577413053,0.9158939991308968,261
14,cDC2_CD1C,3,31,0.8122425577838994,0.963808069286544,2404
14,mregDC_LAMP3,1,11,0.8915195456984419,0.9508347199820468,328
15,DC_pDC,2,29,0.9374122045309048,0.9903020421816136,976
15,Mac_CXCL9,2,20,0.7902898730115284,0.9297902978559232,2308
15,Mac_IL1B,2,11,0.8584865427953021,0.9350512554964812,920
15,Mast,1,7,0.9499099441330964,0.9843483876594742,194
15,Mono_CD14_ID1,1,56,0.8721504247389593,0.962574357280452,15238
15,Mono_CD16,1,51,0.8919081946686076,0.967453273255116,5007
15,Mono_TIL,1,5,0.8575938354694094,0.944180392266635,300
15,mregDC_LAMP3,2,12,0.8853461134224074,0.9587677503250608,421
16,DC_pDC,3,25,0.9272714059882149,0.985707629631537,928
16,Mac_CXCL9,1,62,0.8628315710692476,0.9523004174829048,24715
16,Mast,1,6,0.9696223855970256,0.9827575232591388,132
17,DC_pDC,1,30,0.9272090894830995,0.985707629631537,1057
17,Mac_CXCL9,1,62,0.8619074887253211,0.9720502498430842,24015
17,Mast,1,7,0.9602263776266536,0.9843483876594742,165
17,Mono_TIL,1,8,0.8159682491790872,0.8511147929853957,570
17,mregDC_LAMP3,1,1,0.9376362573578834,0.9376362573578834,17
18,DC_pDC,2,25,0.9186083921879524,0.985707629631537,902
18,Mac_CXCL9,2,62,0.857685084205237,0.9720502498430842,24685
18,Mast,1,6,0.9689650673337398,0.9766125027725826,130
19,DC_pDC,1,53,0.9022938363248236,0.9812704209518982,2113
19,Mac_CXCL9,2,56,0.8793251722159384,0.9644696377058408,14265
19,Mac_IL1B,1,16,0.8006037756508997,0.9462244408033,1450
19,Mac_SPP1,1,47,0.9004345666419541,0.965778768525842,6204
19,Mast,1,6,0.9542135457415737,0.9753346617577004,172
19,Mono_TIL,1,11,0.9166386996560112,0.9940412143897048,554
19,cDC2_CD1C,1,2,0.8896413182549584,0.9258353488609772,97
19,mregDC_LAMP3,2,13,0.8421387194970935,0.9512180145021084,465
20,DC_pDC,1,25,0.9341137821327924,0.9939497440455548,891
20,Mac_CXCL9,1,17,0.8042062646436346,0.9436343740902462,1651
20,Mac_IL1B,1,12,0.81894898126125,0.9269611126223236,964
20,Mac_IL1Bint,1,2,0.8802821323932142,0.9016873413331342,112
20,Mac_SPP1,1,7,0.7726136084352723,0.8798752801783501,537
20,Mast,1,7,0.954392453358975,0.9843483876594742,192
20,Mono_CD14_THBS1,1,52,0.9720440831414,0.991253121941168,8919
20,Mono_CD16,1,39,0.9616052005339192,1.0,3635
20,Mono_TIL,1,5,0.8615813393638037,0.929491124514669,279
20,cDC1_CLEC9A,1,12,0.8370759720913817,0.9080565953137064,391
20,cDC2_CD1C,1,12,0.7327221380474596,0.816939537029491,528
20,cDC2_CD33,1,53,0.8758058252166641,0.9467185528295684,6673
20,mregDC_LAMP3,1,12,0.8689385889854637,0.9538365979708816,371
21,DC_pDC,1,28,0.9305278242526165,0.9903417728935672,972
21,Mac_CXCL9,2,17,0.81326317367908,0.9665633196176584,1664
21,Mac_IL1B,1,11,0.8110671320578012,0.9120479395536156,876
21,Mac_SPP1,3,8,0.8248961410130271,0.9401290714402372,548
21,Mast,1,7,0.954392453358975,0.9843483876594742,192
21,Mono_CD14_THBS1,1,51,0.9708493553262544,0.9907827340079725,8729
21,Mono_TIL,1,5,0.8724023266250296,0.924853848014224,281
21,cDC1_CLEC9A,1,7,0.9129657744857318,0.9396787104740892,167
21,cDC2_CD1C,3,18,0.8095915655708654,0.9683587097531048,958
21,cDC2_CD33,1,53,0.8822623487759879,0.9525733619695292,10045
21,mregDC_LAMP3,2,11,0.8939152823887438,0.9508347199820468,438
22,DC_pDC,1,28,0.9305278242526165,0.9903417728935672,978
22,Mac_CXCL9,3,17,0.7933031333888655,0.9416551809239918,2050
22,Mac_IL1B,1,11,0.8169793917638448,0.911937715010774,888
22,Mac_SPP1,3,8,0.8138599824007604,0.9401290714402372,590
22,Mast,1,7,0.954392453358975,0.9843483876594742,192
22,Mono_CD14_THBS1,1,51,0.9709832606920336,0.9913391935470924,8916
22,Mono_CD16,1,38,0.9607257686677657,0.9919055167309104,3628
22,Mono_TIL,1,5,0.8724023266250296,0.924883683067622,282
22,cDC1_CLEC9A,1,6,0.9012135063470563,0.9346747927494377,156
22,cDC2_CD1C,2,15,0.8798120272799864,0.952160545996088,586
22,cDC2_CD33,1,51,0.8824768583449718,0.9777122693577532,5972
22,mregDC_LAMP3,2,11,0.8955322967630677,0.9508347199820468,439
23,DC_pDC,1,28,0.9305278242526165,0.9903417728935672,975
23,Mac_CXCL9,3,17,0.8019336842336413,0.9416551809239918,2050
23,Mac_IL1B,2,13,0.8454442995137852,0.942353785666162,1165
23,Mac_SPP1,3,8,0.8287895585906284,0.9401290714402372,555
23,Mast,1,7,0.954392453358975,0.9843483876594742,191
23,Mono_CD14_THBS1,1,48,0.973383413507802,0.991268963481752,8693
23,Mono_CD16,1,40,0.9633073904422662,1.0,3621
23,Mono_TIL,1,5,0.8884220539168598,0.901481121187705,259
23,cDC1_CLEC9A,1,6,0.9107833713688875,0.9346747927494377,153
23,cDC2_CD1C,2,14,0.8389822701131824,0.9893216540402064,506
23,cDC2_CD33,1,50,0.8833125223435533,0.9699359428782643,5966
