GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,51,0.971,0.953,0.835,0.991,8916
2,51,0.882,0.881,0.764,0.978,5972
3,38,0.961,0.959,0.91,0.992,3628
4,15,0.813,0.822,0.701,0.942,1521
5,8,0.913,0.893,0.721,0.952,206
6,28,0.931,0.923,0.82,0.99,978
7,11,0.817,0.809,0.721,0.912,888
8,7,0.806,0.803,0.715,0.881,500
9,9,0.721,0.742,0.667,0.832,357
10,6,0.901,0.895,0.84,0.935,156
11,5,0.793,0.802,0.742,0.871,172
12,5,0.872,0.863,0.775,0.925,282
13,3,0.814,0.832,0.811,0.871,66
14,11,0.815,0.795,0.629,0.906,380
15,11,0.896,0.889,0.798,0.951,327
16,7,0.954,0.94,0.857,0.984,192
17,2,0.896,0.896,0.856,0.936,112
19,1,0.94,0.94,0.94,0.94,24
