sample,cluster,ROGUE,n_cells,K,celltype,top_NES
GSM4138134,1,0.9375265302853202,1213,3,Mono_CD14_ID1,2.2976299708461276
GSM4138156,1,0.8872548812707727,921,3,Mono_CD14_ID1,2.2976299708461276
GSM4138126,1,0.952463858652414,758,3,Mono_CD14_ID1,2.2976299708461276
GSM4138135,2,0.6564988257794164,757,3,Mac_CXCL9,1.3058427979691687
GSM4138116,1,0.917358931747166,704,3,Mono_CD14_ID1,2.2976299708461276
GSM4138140,1,0.9132339081662536,702,3,Mono_CD14_ID1,2.2976299708461276
GSM4138142,1,0.8939122300750916,689,3,Mono_CD14_ID1,2.2976299708461276
GSM4138132,1,0.924501759892542,643,3,Mono_CD14_ID1,2.2976299708461276
GSM4138136,1,0.900254442022012,641,3,Mono_CD14_ID1,2.2976299708461276
GSM4138110,1,0.9189053976740236,628,3,Mono_CD14_ID1,2.2976299708461276
GSM4138120,1,0.8350058803258972,609,3,Mono_CD14_ID1,2.2976299708461276
GSM4138137,2,0.7017061104587874,609,3,Mac_CXCL9,1.3058427979691687
GSM4138123,2,0.6366317250817843,597,3,Mac_CXCL9,1.3058427979691687
GSM4138130,1,0.9144422904626788,586,3,Mono_CD14_ID1,2.2976299708461276
GSM4138138,1,0.8917051116700222,577,3,Mono_CD14_ID1,2.2976299708461276
GSM4138128,1,0.8848603499237071,545,3,Mono_CD14_ID1,2.2976299708461276
GSM4138122,1,0.8848603499237071,545,3,Mono_CD14_ID1,2.2976299708461276
GSM4138131,2,0.651456611089368,538,3,Mac_CXCL9,1.3058427979691687
GSM4138139,2,0.6293473734254722,502,3,Mac_CXCL9,1.3058427979691687
GSM4138162,1,0.8899451442375059,485,3,Mono_CD14_ID1,2.2976299708461276
GSM4138160,1,0.9043595733831084,485,3,Mono_CD14_ID1,2.2976299708461276
GSM4138155,2,0.5335574056956156,472,3,Mac_CXCL9,1.3058427979691687
GSM4138166,1,0.8787661686891861,468,3,Mono_CD14_ID1,2.2976299708461276
GSM4138152,1,0.8579958550273622,462,3,Mono_CD14_ID1,2.2976299708461276
GSM4138146,1,0.8766444694029204,461,3,Mono_CD14_ID1,2.2976299708461276
GSM4138165,1,0.8800031964381653,437,3,Mono_CD14_ID1,2.2976299708461276
GSM4138163,1,0.9087111349062196,424,3,Mono_CD14_ID1,2.2976299708461276
GSM4138125,2,0.6664908644063515,393,3,Mac_CXCL9,1.3058427979691687
GSM4138154,1,0.8306580194411339,356,3,Mono_CD14_ID1,2.2976299708461276
GSM4138112,1,0.8710378138208937,355,3,Mono_CD14_ID1,2.2976299708461276
GSM4138114,1,0.8669014489056055,353,3,Mono_CD14_ID1,2.2976299708461276
GSM4138124,1,0.9287415601125042,341,3,Mono_CD14_ID1,2.2976299708461276
