GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,59,0.866,0.837,0.595,0.952,19968
2,23,0.74,0.737,0.57,0.883,3017
3,9,0.741,0.782,0.696,0.889,326
4,28,0.947,0.931,0.843,0.99,934
5,7,0.826,0.831,0.734,0.942,402
6,5,0.868,0.884,0.832,0.944,203
7,8,0.911,0.899,0.839,0.962,217
8,5,0.834,0.807,0.672,0.863,127
10,7,0.95,0.936,0.856,0.984,195
16,1,0.959,0.959,0.959,0.959,20
