sample,cluster,ROGUE,n_cells,K
GSM4138134,1,0.9828696821717002,806,12
GSM4138116,1,0.9471786657498115,680,12
GSM4138126,1,0.9734850061493342,673,12
GSM4138156,1,0.9488649542251179,648,12
GSM4138120,1,0.8930049164816263,511,12
GSM4138142,1,0.95850203070947,484,12
GSM4138110,1,0.9649740736985983,460,12
GSM4138140,1,0.9675667155312717,455,12
GSM4138132,1,0.970411427902525,415,12
GSM4138160,1,0.9488406988999036,409,12
GSM4138134,2,0.9564920829944699,405,12
GSM4138123,4,0.7138943898345781,394,12
GSM4138136,1,0.9596551337786066,383,12
GSM4138138,1,0.9737451374328367,371,12
GSM4138163,1,0.9524010827431639,346,12
GSM4138125,8,0.6970668728497942,337,12
GSM4138128,2,0.8981413478194967,328,12
GSM4138122,2,0.8981413478194967,328,12
GSM4138162,1,0.9589649657669788,319,12
GSM4138135,4,0.76786575631156,305,12
GSM4138130,1,0.9474833645000398,301,12
GSM4138152,1,0.9419270363651435,300,12
GSM4138146,2,0.9214081375250396,291,12
GSM4138154,1,0.9102557496583127,289,12
GSM4138130,2,0.9480953596607528,280,12
GSM4138118,1,0.9117140461588115,267,12
GSM4138165,1,0.9522787596352066,264,12
GSM4138156,2,0.9238579846698907,261,12
GSM4138136,2,0.9212667032875644,250,12
GSM4138166,1,0.9627736650713609,250,12
GSM4138140,2,0.9273363813790253,235,12
GSM4138135,6,0.734345042485929,232,12
GSM4138114,1,0.9426125661564475,231,12
GSM4138124,1,0.9768188149326336,227,12
GSM4138137,4,0.7993475581830665,225,12
GSM4138132,2,0.9479638464502735,220,12
GSM4138158,1,0.9483514607024375,219,12
GSM4138167,1,0.9791475505026427,210,12
GSM4138128,1,0.9636422754863403,208,12
GSM4138122,1,0.9636422754863403,208,12
GSM4138141,1,0.9013721571940803,207,12
GSM4138166,2,0.8888430225908435,204,12
GSM4138138,2,0.9461499147002917,200,12
GSM4138142,2,0.9446453528967738,198,12
GSM4138145,1,0.8358567070575046,185,12
GSM4138112,1,0.9538184172638223,184,12
GSM4138145,3,0.6970691254718617,183,12
GSM4138155,3,0.6315532898467586,176,12
GSM4138165,2,0.9208214400643968,166,12
GSM4138112,2,0.90994120462783,165,12
GSM4138144,1,0.9298903743030903,162,12
GSM4138110,2,0.9303923068383129,161,12
GSM4138155,1,0.8083578402726499,159,12
GSM4138146,1,0.9455017529312431,159,12
GSM4138137,6,0.7675461011025212,156,12
GSM4138131,9,0.7810646658139133,154,12
GSM4138162,2,0.9005805982829507,145,12
GSM4138152,2,0.9151646115890106,142,12
GSM4138155,6,0.6983142611119808,132,12
GSM4138139,6,0.8073090812287984,126,12
GSM4138117,1,0.8173022771857883,124,12
GSM4138150,1,0.9436682902882716,124,12
GSM4138127,1,0.8830135868646394,120,12
GSM4138167,2,0.8890195643011969,120,12
GSM4138139,1,0.854470417949373,114,12
GSM4138127,5,0.704383149223184,113,12
GSM4138144,2,0.9204860497557545,111,12
GSM4138131,7,0.8805059006911912,111,12
GSM4138124,2,0.9108079921836917,110,12
GSM4138135,1,0.9029406451024854,109,12
GSM4138114,2,0.8901097021120663,108,12
GSM4138148,1,0.9376491660839745,107,12
GSM4138161,7,0.8292133355754832,107,12
GSM4138137,1,0.8856926812151188,106,12
GSM4138143,3,0.7156117154711464,102,12
GSM4138131,4,0.7848953472397165,101,12
GSM4138161,3,0.6734865101436465,101,12
GSM4138161,1,0.8715718229182474,99,12
GSM4138141,3,0.7316557988947809,98,12
GSM4138164,1,0.9707397056209864,90,12
GSM4138121,6,0.7074215108889804,89,12
GSM4138139,4,0.7889218240117188,89,12
GSM4138127,6,0.815394212339593,87,12
GSM4138125,1,0.9292740026288752,86,12
GSM4138126,2,0.9422681224612861,85,12
GSM4138123,5,0.640104494605591,84,12
GSM4138139,8,0.7283256498308694,84,12
GSM4138111,5,0.686716164543957,84,12
GSM4138137,8,0.745901210739218,80,12
GSM4138115,3,0.7523022187075391,80,12
GSM4138143,1,0.8390055140706985,79,12
GSM4138133,3,0.7660652022556692,79,12
GSM4138120,2,0.895973303489182,76,12
GSM4138131,5,0.6828465317099999,74,12
GSM4138141,7,0.8916216841926786,73,12
GSM4138129,1,0.922709634374925,71,12
GSM4138155,8,0.667520437492936,70,12
GSM4138133,4,0.737245878339669,70,12
GSM4138160,2,0.9372250215605757,69,12
GSM4138111,3,0.7151145040286616,67,12
GSM4138163,2,0.8980949230927117,67,12
GSM4138131,3,0.7950327773127678,64,12
GSM4138150,2,0.9033677087259945,64,12
GSM4138111,7,0.8804975836349698,64,12
GSM4138131,10,0.8157398887819808,63,12
GSM4138131,1,0.9197571474090371,63,12
GSM4138117,5,0.7362235879385299,62,12
GSM4138141,2,0.9116013254061042,61,12
GSM4138133,5,0.7412734334854592,60,12
GSM4138131,6,0.8195516704286931,60,12
GSM4138139,11,0.954392453358975,59,12
GSM4138117,4,0.8113301363538864,58,12
GSM4138164,2,0.8503662458073266,57,12
GSM4138137,5,0.7651613471610634,57,12
GSM4138113,1,0.8801955103183688,56,12
GSM4138148,2,0.8962137214214474,54,12
GSM4138157,3,0.7297372431386657,53,12
GSM4138141,10,0.8416797320919569,53,12
GSM4138154,2,0.917640030370489,53,12
GSM4138111,1,0.8240108477954005,53,12
