GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,56,0.881,0.875,0.753,0.952,18739
2,28,0.691,0.711,0.576,0.933,4935
3,29,0.937,0.913,0.759,0.99,1018
4,13,0.808,0.81,0.683,0.959,1084
5,7,0.95,0.94,0.849,0.984,195
