GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,62,0.863,0.805,0.541,0.972,24415
2,25,0.919,0.906,0.718,0.986,683
3,6,0.969,0.966,0.943,0.977,130
5,6,0.919,0.91,0.867,0.943,219
6,7,0.806,0.824,0.729,0.944,270
